,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,178524104062_10154898871374063,"Rention is all about making soldiers not hate their lives, which is why Soldiers are leaving in droves.",2016-11-16T10:26:41+0000,10154898871374063_10154900383814063,10205831926187171,0
1,178524104062_10154879294834063,Happy birthday to you all,2016-11-11T06:08:57+0000,10154879294834063_10154881827949063,1444023092588599,0
2,178524104062_10154876167249063,Why put an age limit on Sergeant Major school? Those that have put a 35 total years and 24 active years. To change from 1959 to 1962??????,2016-11-09T16:33:07+0000,10154876167249063_10154876310744063,10152472833336646,0
3,178524104062_10154876167249063,One of the best quotes!!!,2016-11-09T18:15:02+0000,10154876167249063_10154876690934063,930046537007135,1
4,178524104062_10154876167249063,Thank you!,2016-11-11T16:46:30+0000,10154876167249063_10154883334219063,377765785947000,0
5,178524104062_10154858399124063,"Why have 1962 as cut off for Sergeant Major selection? If you want dedicated soldiers and those that have dedicated their lives to the Military and can still pass the PT, why have an age cut-off. Especially, when a whole group lost 3 years, for limited spaces in their MOS.",2016-11-04T15:17:43+0000,10154858399124063_10154858638664063,10152472833336646,0
6,178524104062_10154858399124063,Important Post http://facebook.com/1573561219336904_1574789335880759,2016-11-07T06:30:18+0000,10154858399124063_10154867773394063,1573561219336904,0
7,178524104062_10154835093239063,Nice one,2016-10-29T02:33:29+0000,10154835093239063_10154835336899063,717678278312875,0
8,178524104062_10154835093239063,Looking good Mr. D...,2016-10-29T15:32:52+0000,10154835093239063_10154837171409063,10152603056827470,1
9,178524104062_10154835070034063,Thank you USASMA we are really enjoyed ...,2016-10-29T02:34:53+0000,10154835069584063_10154835338474063,717678278312875,1
10,178524104062_10154835070034063,We had an awesome time Class 67. Thank you?,2016-10-30T02:46:50+0000,10154835069584063_10154839124579063,975561029127298,1
11,178524104062_10154835070034063,Can't wait to attend!,2016-10-30T03:41:36+0000,10154835069584063_10154839252244063,722479587789599,0
12,178524104062_10154835070034063,Had a good time Davina Thomas,2016-10-30T02:39:20+0000,10154835069584063_10154839112099063,552177738221808,0
13,178524104062_10154831461014063,Way to go!,2016-10-28T13:01:34+0000,10154831461014063_10154833233464063,10207639855139119,2
14,178524104062_10154828366724063,Add Inspector General,2016-10-27T03:21:05+0000,10154828366724063_10154828679964063,10203981602077023,0
15,178524104062_10154828366724063,Not Recruiting,2016-10-27T00:40:45+0000,10154828366724063_10154828392169063,413453512151388,0
16,178524104062_10154828182179063,I would say no. Since a military times article recently reported the Army was the most obese amongst the services.,2016-10-27T00:08:37+0000,10154828182179063_10154828299594063,10102306669812198,2
17,178524104062_10154827754844063,Nice! Well done Randy and congrats! ??,2016-10-26T21:38:18+0000,10154827754344063_10154827880004063,10152914792841875,1
18,178524104062_10154827754844063,Congrats and thanks for your service.,2016-10-26T23:08:44+0000,10154827754344063_10154828124669063,10205114979455162,0
19,178524104062_10154827754844063,1SG you went to SGM academy?,2016-10-26T21:28:24+0000,10154827754344063_10154827847099063,879533232093027,0
