,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,112252738806828_1338487956183294,Joshua Balog,2016-11-29T05:59:16+0000,1338487956183294_1338938979471525,967422116507,0
1,112252738806828_1338487956183294,Andrew Dapkins,2016-11-29T02:47:56+0000,1338487956183294_1338725312826225,10152742951423218,0
2,112252738806828_1323450237687066,"Laurie Corbett, this is when you will be here - maybe you can still register!",2016-11-15T18:52:04+0000,1323450237687066_1323510911014332,852631704747718,0
3,112252738806828_1317366304962126,Danielle Zeigler,2016-11-09T23:05:12+0000,1317366304962126_1317449658287124,903747732987492,0
4,112252738806828_1316073955091361,Heather Marie,2016-11-08T16:38:10+0000,1316073955091361_1316075278424562,10152998988098134,0
5,112252738806828_1316073955091361,Daniel Ing,2016-11-08T17:31:29+0000,1316073955091361_1316141851751238,599595150170316,0
6,112252738806828_1316073955091361,Mike Whyne,2016-11-08T16:40:31+0000,1316073955091361_1316076998424390,10204623006568958,0
7,112252738806828_1316073955091361,Kelli Miller,2016-11-08T16:51:07+0000,1316073955091361_1316084311756992,10205915952250969,0
8,112252738806828_1313374065361350,Hollon!,2016-11-06T19:38:24+0000,1313374065361350_1314138555284901,10202679173475674,0
9,112252738806828_1307401579291932,Adorables! ??,2016-11-01T10:34:51+0000,1307401579291932_1307752175923539,716143595105888,0
10,112252738806828_1307401579291932,Great job??,2016-11-01T10:17:34+0000,1307401579291932_1307739469258143,740267062760968,0
11,112252738806828_1307401579291932,Oj bo?e,2016-11-01T09:12:12+0000,1307401579291932_1307689679263122,231672170527525,0
12,112252738806828_1307401579291932,Sherri Manuel did u dress up???,2016-11-01T01:11:13+0000,1307401579291932_1307429685955788,4285547993118,0
13,112252738806828_1307401579291932,Ryan Hoover,2016-11-01T17:04:16+0000,1307401579291932_1308030032562420,10205862326904885,1
14,112252738806828_1305148456183911,Early last night... :Doctor Strange,2016-10-30T16:39:07+0000,1305148456183911_1306117169420373,716143595105888,1
15,112252738806828_1305148456183911,3-D Spectacular! What an ageless & ancient trip watching this premier last night with our children & the community. Doctor Strange & MARVEL nailed it. ? Thanks for the free film appreciation.,2016-10-30T16:44:02+0000,1305148456183911_1306119472753476,716143595105888,1
16,112252738806828_685464848275744,OLE BLACKJACKS PLACE.,2016-10-28T19:35:51+0000,685498988272330,743479562354113,0
17,112252738806828_1303979539634136,How cool! ?? Our appointment is at 1300. ?? Thanks for all you do! ????????,2016-10-28T17:23:12+0000,1303979539634136_1304098722955551,716143595105888,1
18,112252738806828_1303086746390082,Danielle Zeigler,2016-10-27T13:43:10+0000,1303086746390082_1303089283056495,903747732987492,0
19,112252738806828_1303086746390082,Joshua Balog,2016-10-28T06:55:55+0000,1303086746390082_1303718226326934,967422116507,1
20,112252738806828_1303086746390082,Ashley Warlow,2016-10-28T17:40:50+0000,1303086746390082_1304109046287852,10152833254285491,0
21,112252738806828_1299873943378029,Is this open to the public again this year ??? We really enjoyed it last year and appreciated the feeling of safety and security as I was alone with my boys. Ive been told that I may not get into the barracks this year.,2016-10-24T17:38:33+0000,1299873943378029_1300502109981879,774005562632894,0
22,112252738806828_1299873943378029,Boo! Rosie The Riveter & Rocky Balboa got a huge pot filled with candies for y'all up in Lovell Avenue. :D Happy Halloween!,2016-10-31T23:10:11+0000,1299873943378029_1307351622630261,716143595105888,1
23,112252738806828_1297742426924514,No way lol,2016-10-22T13:13:46+0000,1297742426924514_1298483310183759,10152878322046798,0
24,112252738806828_1297742426924514,Joe Arnoso Jane Arnoso,2016-10-22T13:11:37+0000,1297742426924514_1298480753517348,10100689921598501,0
25,112252738806828_1297738163591607,Is this a dance for your seafood?,2016-10-21T22:12:19+0000,1297738163591607_1297902026908554,807240439346066,1
26,112252738806828_1297727410259349,Ashley Shakespeare Brittany Shakespeare,2016-10-31T00:57:20+0000,1297727410259349_1306438256054931,10153115590583464,1
27,112252738806828_1723228474670469,,2016-10-18T17:25:02+0000,1723274537999196,112252738806828,0
28,112252738806828_1634928923199895,danielle Danielle Zeigler,2016-10-20T01:37:41+0000,1636595423033245,903747732987492,0
29,112252738806828_1287411264624297,Phone's are back in service!,2016-10-11T18:31:19+0000,1287411264624297_1287523587946398,112252738806828,0
30,112252738806828_1223594514365081,Ed Reisinger. Get ready! Lol,2016-09-23T18:02:57+0000,1223598441031355,10152367653962493,0
31,112252738806828_1223594514365081,Amber Ing,2016-09-23T18:44:43+0000,1223621971029002,788451934509128,0
32,112252738806828_1223594514365081,Can i make my reservations now?,2016-09-23T18:57:01+0000,1223627274361805,817608984940154,0
33,112252738806828_1223594514365081,This is a very well done event! You do not want to miss it!,2016-09-23T19:02:52+0000,1223629567694909,10203584190954582,1
34,112252738806828_1271623676203056,"We still have seats available to tomorrow night's event!  Remember, aMuse Uncorked is a military-family owned business, so in support of our fellow servicemembers and spouses - use code HOOAH16 to save 10% OFF your ticket purchase!  Tickets:  http://www.rezclick.com/amuseuncorked/index.php?page=classes#1235",2016-10-04T14:40:02+0000,1271623676203056_1281268531905237,149780551866200,0
35,112252738806828_1271623676203056,Bobbi Coyle,2016-09-23T17:43:22+0000,1271623676203056_1271628282869262,10202793362208069,0
36,112252738806828_1034715066626044,Megan Boyle,2016-09-24T02:19:41+0000,1035006969930187,10153115590583464,1
37,112252738806828_1271502419548515,These two enjoyed it last year! We miss CBKS! ;),2016-09-24T00:00:47+0000,1271502392881851_1271860749512682,10204224881274794,0
38,112252738806828_1271502419548515,Looks like a fun time!!!,2016-09-23T20:02:20+0000,1271502392881851_1271718646193559,780577998621349,0
39,112252738806828_1271502419548515,Been there,2016-09-24T06:18:41+0000,1271502392881851_1272060126159411,1423463041296289,0
40,112252738806828_315629068789740,Hollon,2016-09-20T22:55:12+0000,315707028781944,10202679173475674,0
41,112252738806828_1267232476642176,I'm very poud to have served in the United States Air Force.,2016-09-18T18:38:13+0000,1267232476642176_1267351996630224,669958423125065,2
42,112252738806828_1266475626717861,Next weekend is blocked out!,2016-09-17T20:02:17+0000,1266475626717861_1266570193375071,10152621674131858,1
43,112252738806828_1266475626717861,Lots of fun! Wish we were still there.,2016-09-17T22:17:24+0000,1266475626717861_1266653330033424,10152165825684389,0
44,112252738806828_1266475626717861,Chad Bridges get fired up.,2016-09-17T20:01:30+0000,1266475626717861_1266568930041864,10152336239696382,0
45,112252738806828_1263157787049645,Could a menu be listed here as well?,2016-09-15T18:48:45+0000,1263157787049645_1264934640205293,10204631204413014,0
46,112252738806828_1260750737290350,"Anita Strawser Kammler
Dorothy Fisher",2016-09-11T10:57:58+0000,1260750737290350_1261168827248541,776052542412844,1
47,112252738806828_1260571233974967,Great movie loved it,2016-09-11T00:54:50+0000,1260571233974967_1260808770617880,660301047340371,1
48,112252738806828_1260571233974967,Cool! I went last night. ?????? ????????,2016-09-10T20:21:44+0000,1260571233974967_1260612273970863,716143595105888,1
49,112252738806828_1260284840670273,The sun has arrived!,2016-09-10T12:52:28+0000,1260284840670273_1260313167334107,112252738806828,1
50,112252738806828_1260284840670273,Got some good stuff today,2016-09-11T00:49:54+0000,1260284840670273_1260806280618129,660301047340371,1
51,112252738806828_1260284840670273,Mary Ann Mikolay,2016-09-10T12:51:36+0000,1260284840670273_1260312714000819,10152620392268648,0
52,112252738806828_1252837001415057,"Tracy Leakway, Erica Conrad, sounds like your kind of party!",2016-09-02T14:32:28+0000,1252837001415057_1253503424681748,1329920670357596,0
53,112252738806828_1252837001415057,Megan Escobar Collin Tanawath,2016-09-02T02:09:25+0000,1252837001415057_1253114264720664,975448905809780,1
54,112252738806828_1252837001415057,Thomas Hayward,2016-09-02T11:11:01+0000,1252837001415057_1253378081360949,760150226466,1
55,112252738806828_1252836651415092,ARE YOU GOING HOLLY ?,2016-09-01T20:30:26+0000,1252836651415092_1252903788075045,740267062760968,0
56,112252738806828_1252836651415092,Margaret Winesickle Farkas,2016-09-01T23:57:53+0000,1252836651415092_1253036128061811,497072883771007,0
57,112252738806828_1247394201959337,David Dias,2016-08-28T21:30:45+0000,1247394201959337_1249504658414958,862503207128466,0
58,112252738806828_1247394201959337,Boots Hill,2016-08-28T01:15:20+0000,1247394201959337_1248726485159442,10205275659713986,0
59,112252738806828_1242064119159012,John R. Miller look at this for Pebbles!!,2016-08-21T03:32:16+0000,1242064119159012_1242070352491722,10203486362430779,0
60,112252738806828_1239794719385952,Deann Palmer,2016-08-18T14:34:49+0000,1239794719385952_1239796972719060,845759535503306,1
61,112252738806828_1239794719385952,David Dias,2016-08-18T17:44:20+0000,1239794719385952_1239919942706763,862503207128466,1
62,112252738806828_1239794719385952,Sue Ackert Napoli we have always been wanting to try this place out!!,2016-08-20T11:23:39+0000,1239794719385952_1241374992561258,10205767525735838,0
