,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,127503813936902_1281207865233152,,2016-11-24T13:22:23+0000,1281207865233152_1282139348473337,10201679043562644,0
1,127503813936902_1281207865233152,,2016-11-24T16:03:18+0000,1281207865233152_1282238235130115,306844816181243,0
2,127503813936902_1281207865233152,Thank you ?? God bless the Depot and keep it open many more years.,2016-11-24T16:09:02+0000,1281207865233152_1282241005129838,10204815759614836,0
3,127503813936902_1281207865233152,"That's an awesome bird, fresh out of the CCAD oven!",2016-11-24T18:41:25+0000,1281207865233152_1282330571787548,10205426055797496,2
4,127503813936902_1281207865233152,I am Apache. I approve this message.  ??,2016-11-24T20:49:36+0000,1281207865233152_1282409135113025,10203193484465193,0
5,127503813936902_1281544251866180,,2016-11-23T22:31:46+0000,1281544251866180_1281622648525007,10201679043562644,0
6,127503813936902_1281544251866180,Happy Thanksgiving!!!!,2016-11-24T19:20:40+0000,1281544251866180_1282363785117560,10204377325925892,0
7,127503813936902_1280624298624842,Thanks for the share! #ArmySafety,2016-11-23T19:57:47+0000,1280624298624842_1281511225202816,61118583543,1
8,127503813936902_1276986222321983,Congratulations Mr. Cantu. Enjoy your Retirement...,2016-11-18T20:41:01+0000,1276986222321983_1277005378986734,783845028316023,0
9,127503813936902_1276986222321983,Congrats on your retirement.,2016-11-19T01:17:50+0000,1276986222321983_1277172635636675,732036400198081,0
10,127503813936902_1276986222321983,"Congratulations,  Leonard",2016-11-19T01:23:14+0000,1276986222321983_1277174968969775,10153573831959280,0
11,127503813936902_1276986222321983,Congrats !!,2016-11-19T01:49:57+0000,1276986222321983_1277188815635057,10204235600946169,0
12,127503813936902_1276986222321983,Congrats Leonard !,2016-11-19T02:01:07+0000,1276986222321983_1277196712300934,835113503187147,0
13,127503813936902_1276986222321983,Congratulations.,2016-11-19T02:02:01+0000,1276986222321983_1277197418967530,392145450991575,0
14,127503813936902_1276986222321983,Good luck Leonard.,2016-11-19T02:05:28+0000,1276986222321983_1277199108967361,1228218873859890,0
15,127503813936902_1276986222321983,Congratulations and Good Luck.,2016-11-19T02:23:01+0000,1276986222321983_1277214988965773,767256340026928,0
16,127503813936902_1276986222321983,Congratulation on your retirement.,2016-11-19T02:28:40+0000,1276986222321983_1277219698965302,764212217015681,0
17,127503813936902_1276986222321983,Congratulations Leonard.,2016-11-19T04:58:53+0000,1276986222321983_1277337028953569,4108129919133,0
18,127503813936902_1276986222321983,Congratulations Leonard!!!!!!  Enjoy your retirement !!!,2016-11-19T05:00:10+0000,1276986222321983_1277337472286858,10204612588209756,0
19,127503813936902_1276986222321983,Congratulations Leonard,2016-11-19T05:12:16+0000,1276986222321983_1277343912286214,1627131094199571,0
20,127503813936902_1276986222321983,Congrats well done.,2016-11-19T10:47:07+0000,1276986222321983_1277553878931884,555898951184851,0
21,127503813936902_1276986222321983,Congratulations Leonard.,2016-11-19T12:09:04+0000,1276986222321983_1277597688927503,10200232726377907,0
22,127503813936902_1276986222321983,Awesome job !  Have a happy & healthy retirement ~ you will be missed,2016-11-19T13:25:02+0000,1276986222321983_1277648925589046,10202627427259909,0
23,127503813936902_1276986222321983,Congratulations Mr. Cantu. Enjoy your Retirement. The CCAD will be missing a good man,2016-11-19T17:26:19+0000,1276986222321983_1277805715573367,1859539810946946,0
24,127503813936902_1276986222321983,Congrats BOSS.  CCAD is loosing a GOOD MAN.  You will be missed Sir.,2016-11-21T14:01:08+0000,1276986222321983_1279454545408484,791314010931767,0
25,127503813936902_1276986222321983,Congratulations Mr. Cantu.  Enjoy!,2016-11-21T15:42:47+0000,1276986222321983_1279533535400585,823266391071575,0
26,127503813936902_1276986222321983,Congrats Leonard! Enjoy your retirement!,2016-11-21T21:37:20+0000,1276986222321983_1279764482044157,942670892419240,0
27,127503813936902_1276984852322120,Congratulations Mr. Cantu.  Enjoy your retirement.  Well deserved.,2016-11-18T20:25:14+0000,1276984852322120_1276996542320951,10200609459634461,0
28,127503813936902_1276984852322120,Congrats Leonard!  Welcome to the good life!,2016-11-18T20:50:51+0000,1276984852322120_1277011495652789,729101320501298,0
29,127503813936902_1276031172417488,"Congrats, Riki. I'm so happy for you. I'm sure Terry's just as happy and anxious too. Enjoy Retirement ??.",2016-11-17T19:10:34+0000,1276031172417488_1276078459079426,783845028316023,0
30,127503813936902_1275099442510661,Vega Jacob N Melissa,2016-11-17T04:59:08+0000,1275099442510661_1275494932471112,619443854850006,0
31,127503813936902_1269076523112953,"Carol Nash, Davey Castro, and Victor Lopez  Just a few of the Marines that I worked with at CCAD. Semper Fi.",2016-11-11T11:30:24+0000,1269076523112953_1269692683051337,10207628422482950,2
