,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,208564685839038_1484535781575249,Well done CSM Boozer and welcome aboard CSM Bonds. Enjoy the exciting and very rewarding time with DPG.,2016-11-17T16:37:01+0000,1484535781575249_1484559764906184,10206624030302342,0
1,208564685839038_1484535781575249,Congrats CSM Bonds!!,2016-11-17T21:06:34+0000,1484535781575249_1484762784885882,10204650429974268,0
2,208564685839038_1482903561738471,Thank you for your service!,2016-11-16T00:20:05+0000,1482903561738471_1482913571737470,858284800895177,0
3,208564685839038_1461786533850174,Thank you!,2016-10-27T18:10:43+0000,1461786533850174_1461807853848042,10204003781967131,0
4,208564685839038_1460087997353361,"This year, 115 runners participated in courses that went 5K, 10K, 20K, 30K and 50K. Last year there were 88 runners, so the event is steadily growing from its 2013 beginning with 35 runners. New this year was changing the direction of the course, along the same route but now the slopes that led down in previous years now had to be scaled. Most runners said that the new direction was tougher, but they still liked the course. The Dugway Trail and Ultra Run is the one day of the year when this secured post is open to the public, to run. Organizers are already planning the 2017 event for next October. A date is unset.",2016-10-25T23:31:09+0000,1460087854020042_1460161640679330,208564685839038,1
5,208564685839038_1460087997353361,June 1991 the 7th Ranger Training Battalion had the Dugway Scorpion 50k race. I won that race. It was just before we were moved to Ft. Bliss.,2016-10-26T00:22:10+0000,1460087854020042_1460186697343491,10205604242333345,1
6,208564685839038_1460087997353361,Good job Nick Nicholas Slater,2016-10-26T02:53:49+0000,1460087854020042_1460268167335344,708713202517522,1
7,208564685839038_1455029257859235,Where were you?,2016-10-22T11:53:45+0000,1455029257859235_1456670831028411,1070699156321832,0
8,208564685839038_1455029257859235,Awesome!,2016-10-22T21:18:50+0000,1455029257859235_1457129970982497,10204646606268745,0
9,208564685839038_1453732051322289,Sounds suppressive,2016-10-20T11:20:07+0000,1453732051322289_1454398207922340,10201673084255535,0
10,208564685839038_1453730867989074,Sebastian Olvera-Vazquez way to go!,2016-10-20T01:30:27+0000,1453730867989074_1453997827962378,10203015676048053,1
11,208564685839038_1453725511322943,Great job Robert Robert L. Rampton !!!,2016-10-19T21:30:36+0000,1453725511322943_1453844051311089,951734144855575,0
12,208564685839038_1424853934210101,"Looking good lady, miss you",2016-09-20T23:47:26+0000,1424853934210101_1424875994207895,10206497810341377,0
13,208564685839038_1424853934210101,Hi Lisbeth!!! I'm proud to be a part of the Hispanic race also....,2016-09-21T00:22:52+0000,1424853934210101_1424891214206373,10201952663890065,0
14,208564685839038_1424853934210101,Proud to know you and Roberto!,2016-09-21T02:41:12+0000,1424853934210101_1425003457528482,10152609694620941,0
15,208564685839038_1424853934210101,Great article about a great lady!,2016-09-22T22:05:34+0000,1424853934210101_1426613200700841,10205651309512291,0
16,208564685839038_1417219834973511,Interesting! We do build a lot of our fixtures right here in DPG. Lots of talented folks!,2016-09-18T23:00:06+0000,1417219834973511_1423158871046274,10205651309512291,0
17,208564685839038_1413369498691878,Did any of it get released?,2016-09-08T19:00:29+0000,1413369498691878_1413389628689865,10152599613368882,0
18,208564685839038_1413369498691878,Doesn't US Magnesium near Tooele release this much every few hours?,2016-09-08T19:44:23+0000,1413369498691878_1413416765353818,10152595023529820,2
19,208564685839038_1413369498691878,Sterling Blakeman,2016-09-08T20:06:46+0000,1413369498691878_1413431748685653,10204696042854256,0
20,208564685839038_1413369498691878,Miss those days of testing!,2016-09-08T20:15:25+0000,1413369498691878_1413438292018332,951734144855575,1
21,208564685839038_1413369498691878,Yeah Brandon Meckley you should be used to that chlorine release working at ATI next to US pollution,2016-09-08T20:43:13+0000,1413369498691878_1413456952016466,866397623410869,1
22,208564685839038_1413369498691878,Hold your breath if your on 80 west !! Lol,2016-09-08T20:53:35+0000,1413369498691878_1413463842015777,10203160650190153,0
