,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,195617127139802_1311746062193564,One of many things to be thankful for: this awesome team.  Feeling truly blessed to be part of this family.  Heartfelt thanks to our phenomenal MWR staff for putting this together.,2016-11-17T23:56:29+0000,1311746062193564_1311900515511452,309676852555515,1
1,195617127139802_1308805309154306,David Knapp,2016-11-14T21:11:45+0000,1308805309154306_1308978755803628,804300139634527,1
2,195617127139802_1302047103163460,Thanks to ALL Veterans New and Old. Fort A P Hill was a wonderful place to work and I love the people there.,2016-11-11T11:35:47+0000,1302047103163460_1305080202860150,10203320521321823,1
3,195617127139802_1302047103163460,Please Thank those at AP Hill from the McKinney family.  We are so thankful that there are men and women willing to make the sacrifices that you all do on a daily basis.,2016-11-12T01:21:20+0000,1302047103163460_1305758019459035,10204571298698771,1
4,195617127139802_1302047103163460,Happy veterans day...,2016-11-11T13:29:11+0000,1302047103163460_1305205982847572,416942408457221,1
5,195617127139802_1303434473024723,Gonna miss you Dave....all those days you come in our office--harassing me and Julie.  Best of luck on your next assignment.  Glad you will be reunited with your family.,2016-11-09T22:21:44+0000,1303434473024723_1303462413021929,10203378892660359,0
6,195617127139802_1303434473024723,Wishing you all the best!,2016-11-09T22:48:18+0000,1303434473024723_1303482666353237,861496463871821,0
7,195617127139802_1303434473024723,"Best wishes, David San Miguel.",2016-11-10T02:11:03+0000,1303434473024723_1303600826341421,10201977057427591,0
8,195617127139802_1303434473024723,Pleasure to serve with you.  Wish for everything great in life to come your way.,2016-11-10T00:50:28+0000,1303434473024723_1303546103013560,309676852555515,0
9,195617127139802_1296612440373593,Lindsay Taylor,2016-11-02T23:25:59+0000,1296612440373593_1297002757001228,1423130401330992,1
10,195617127139802_1291355684232602,been there a lot of times with the 728th mait bn. co B,2016-10-28T13:21:33+0000,1291355684232602_1291401150894722,221128954918512,2
11,195617127139802_1291355684232602,Great photo!,2016-10-28T15:43:08+0000,1291355684232602_1291527000882137,1051867254832203,2
12,195617127139802_1291355684232602,:),2016-10-28T14:52:21+0000,1291355684232602_1291477220887115,509686035832206,1
13,195617127139802_1291300810904756,"hey there nikki and gm this is rodney from thornburg,va i hope thats your havig a blast at fort ap hill with the men and women of our armed forces your lookin great in your army uniform being all thats you can be. well any way have a wonderful day. hugs to ya.",2016-10-29T14:24:53+0000,1291300810904756_1292501304118040,194113027706824,1
14,195617127139802_1291300810904756,How did you manage to find 2 chiefs?,2016-10-28T17:45:27+0000,1291300810904756_1291615700873267,326129807537488,1
15,195617127139802_1291300810904756,I spent a lot of time at A.P. Hill many years ago,2016-10-28T23:38:18+0000,1291300810904756_1291876727513831,722737234456583,1
16,195617127139802_1290720057629498,Oh wow. Can't wait to see what y'all put her through!,2016-10-27T23:27:36+0000,1290720057629498_1290904500944387,10203939739200822,1
17,195617127139802_1290419454326225,Loved hearing those coming in for landings at the airfield back in 1986 & 1987!!!,2016-10-27T12:49:10+0000,1290419454326225_1290421077659396,10152861291813866,2
18,195617127139802_1290419454326225,Gordon Hallock,2016-10-27T13:08:03+0000,1290419454326225_1290433254324845,1534038943499223,0
19,195617127139802_1288557911179046,Yay! Flamethrowers!!!!,2016-10-25T16:21:34+0000,1288557911179046_1288721654496005,10203939739200822,1
20,195617127139802_1287495101285327,How far away from the testing sites can noise be heard? I hear a lot of explosions tonight and I'm wondering if that's what it is ??,2016-10-30T00:23:13+0000,1287495101285327_1293043537397150,10152768379271039,1
21,195617127139802_1287495101285327,Thank you for the information! I appreciate the noise even more! ???? Thank you all for everything you do everyday! ??,2016-10-24T18:30:00+0000,1287495101285327_1287797747921729,10204820247559076,3
22,195617127139802_1287495101285327,Bring on the noise!  It is a wonderful sound!,2016-10-24T14:31:13+0000,1287495101285327_1287630327938471,10151934966696642,2
23,195617127139802_1287495101285327,"Bring it, the sound of freedom????????",2016-10-24T23:13:52+0000,1287495101285327_1288001184568052,10204571298698771,4
24,195617127139802_1287495101285327,I love hearing y'all!! ????,2016-10-24T13:34:01+0000,1287495101285327_1287586961276141,1534038943499223,2
25,195617127139802_1287495101285327,Myra Hendrix Pilling Wiggins,2016-10-25T01:49:09+0000,1287495101285327_1288099227891581,10152928180698901,1
26,195617127139802_1287495101285327,Sounds of freedom! ????,2016-10-25T17:00:00+0000,1287495101285327_1288740937827410,10205147255659026,1
27,195617127139802_1287495101285327,Thank you,2016-10-27T02:30:25+0000,1287495101285327_1290004617701042,10202874532818902,1
28,195617127139802_1287495101285327,Thank you for post!  I appreciate the sound of freedom!,2016-10-27T19:49:17+0000,1287495101285327_1290745904293580,1590100367916234,1
29,195617127139802_1287495101285327,Tammy Prince,2016-10-24T11:46:50+0000,1287495101285327_1287511424617028,815594805127870,2
30,195617127139802_1281685778532926,We have a great team here at FAPH; honored to be part of what these amazing professionals do for our Nation every day.  Team - next quarter stay for some cake and talk story with a friend ??,2016-10-18T19:32:00+0000,1281685778532926_1281738235194347,309676852555515,3
31,195617127139802_1281336415234529,A great opportunity to showcase the enormous capability of our small team to one of our senior leaders.,2016-10-18T20:07:32+0000,1281336415234529_1281764945191676,309676852555515,2
32,195617127139802_1277507378950766,Please feel free to share with your friends and neighbors!,2016-10-14T18:44:52+0000,1277507378950766_1277650092269828,195617127139802,1
33,195617127139802_1277507378950766,Maria Harding and Derek Shrout... just a heads up.,2016-10-14T17:29:48+0000,1277507378950766_1277597662275071,788569321206437,2
34,195617127139802_1277507378950766,Sounds of freedom! Thank you to our great military!!????????,2016-10-14T18:59:21+0000,1277507378950766_1277660025602168,881128305239771,1
35,195617127139802_1277507378950766,My wife was making popcorn tonight and I thought I was being shot at...,2016-10-15T00:55:52+0000,1277507378950766_1277959748905529,10152454490195826,1
36,195617127139802_1277507378950766,"Woo hoo! #SoundsOfFreedom ???? 

Love it",2016-10-15T12:56:49+0000,1277507378950766_1278456038855900,1534038943499223,1
37,195617127139802_1274665819234922,I just heard alarms going off. Is this part of training?,2016-10-14T02:34:41+0000,1274665819234922_1276975682337269,10152588160499691,1
38,195617127139802_1274665819234922,Heads up Ronnie Wise and Kristie Nelson for the future.  Sounds of freedom.,2016-10-11T23:48:41+0000,1274665819234922_1274779465890224,956710714391696,1
39,195617127139802_1274665819234922,I hear you now.  ??,2016-10-13T00:36:15+0000,1274665819234922_1275697662465071,10152040751358870,1
40,195617127139802_1274665819234922,Angela Chere'e Stafford,2016-10-13T01:01:52+0000,1274665819234922_1275711679130336,539521309511048,1
41,195617127139802_1270722392962598,"With hunting here, when will the isportsman be fixed  , can't log into it ?",2016-10-10T18:13:58+0000,1270722392962598_1273617556006415,10209579888586615,0
42,195617127139802_1270005739700930,Is aviation and ordnance demolition training still happening at this time?,2016-10-10T01:35:15+0000,1270005739700930_1273016426066528,788569321206437,1
43,195617127139802_1270005739700930,Are ya'll doing any training this evening?,2016-10-08T02:46:20+0000,1270005739700930_1271187159582788,10153121620332807,1
44,195617127139802_1268218786546292,Brandon Whitehead,2016-10-04T21:01:16+0000,1268218786546292_1268381866529984,10101536372314673,1
45,195617127139802_1268118643222973,Love these photos!!!!,2016-10-04T16:25:12+0000,1268118643222973_1268175596550611,123382697873007,1
46,195617127139802_1267402936627877,Thanks for your service!,2016-10-04T01:04:21+0000,1267402936627877_1267664176601753,131163467266837,1
47,195617127139802_1267402936627877,Well done!,2016-10-04T02:50:28+0000,1267402936627877_1267710059930498,926798830667498,1
48,195617127139802_1267402936627877,Congrats!!!   Y'all rock!!,2016-10-04T00:15:20+0000,1267402936627877_1267633809938123,1516557261947103,1
49,195617127139802_1267389953295842,Congratulations Donna - enjoy!,2016-10-04T01:48:50+0000,1267389953295842_1267683023266535,1676906642600641,1
50,195617127139802_1267280536640117,Grrrr...and I just reenlisted for 4 more years. This would of been the perfect job for me since i grew up in caroline and have plenty of experience with med planning and logistics.,2016-10-04T21:23:55+0000,1267280536640117_1268397669861737,10203507941120928,0
51,195617127139802_1267280536640117,Dang Melissa Lantz! Too far,2016-10-04T17:20:38+0000,1267280536640117_1268217803213057,10205107363471109,0
52,195617127139802_1267280536640117,"Michelle Luckett Wilhelm, Jerry and Jerry.",2016-10-03T22:10:32+0000,1267280536640117_1267557106612460,10204884201938381,1
53,195617127139802_1267280536640117,Greg Dixon,2016-10-03T22:09:49+0000,1267280536640117_1267556489945855,10204884201938381,1
54,195617127139802_1267280536640117,Andrew Jefferies,2016-10-03T16:55:41+0000,1267280536640117_1267291683305669,10203031482482887,1
55,195617127139802_1264393530262151,Thanks!!!!,2016-09-30T20:49:26+0000,1264393530262151_1264479220253582,10204416850936470,2
56,195617127139802_1264393530262151,Goodluck Kyle Vice!! Your family is watching.,2016-10-03T16:45:14+0000,1264393530262151_1267281449973359,10201340980925047,1
57,195617127139802_1264393530262151,Good luck SPC Ibarra and SSG Joseph Gonzalez,2016-09-30T19:32:58+0000,1264393530262151_1264423636925807,1549395811944526,1
58,195617127139802_1264162956951875,Please help spread the word by Sharing! Thank you for your continued support.,2016-09-30T14:15:33+0000,1264162956951875_1264166553618182,195617127139802,2
59,195617127139802_1264162956951875,Anyone know where we can see the winners? Livestream shut down before they announced!,2016-10-03T18:23:56+0000,1264162956951875_1267360453298792,565533390236334,1
60,195617127139802_1264162956951875,Absolutely!,2016-10-04T00:42:08+0000,1264162956951875_1267653089936195,565533390236334,0
61,195617127139802_1263150557053115,Scott Todd Hendrick,2016-09-30T00:23:33+0000,1263150557053115_1263585237009647,831321996881356,1
62,195617127139802_1260362163998621,Love. It. #SoundsOfFreedom ????,2016-09-27T02:57:01+0000,1260362163998621_1261027280598776,1534038943499223,1
63,195617127139802_1256078021093702,Oh boy,2016-09-22T21:00:57+0000,1256078021093702_1257158180985686,695358117227744,1
64,195617127139802_1256078021093702,Love the sounds of freedom!,2016-09-21T19:16:15+0000,1256078021093702_1256086781092826,10205073395135199,3
65,195617127139802_1255071654527672,Thank you ALL for your kind support!,2016-09-21T11:32:26+0000,1255071654527672_1255711801130324,195617127139802,0
66,195617127139802_1255071654527672,"I heard it for years, doesn't bother me. I think it's cool to hear a machine gun",2016-09-20T23:14:01+0000,1255071654527672_1255234237844747,1441434596148794,4
67,195617127139802_1255071654527672,Thank you everyone at Fort A.P. Hill!!!!!!!,2016-09-21T21:35:04+0000,1255071654527672_1256183691083135,945557875471918,2
68,195617127139802_1255071654527672,Have at it !! Practice makes perfect !!,2016-09-20T19:48:15+0000,1255071654527672_1255118227856348,900505296627617,3
69,195617127139802_1255071654527672,The sound of freedom,2016-09-20T22:55:02+0000,1255071654527672_1255221901179314,10204746482555376,2
