,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,110389852325552_1333917536639438,Brooke Jae White,2016-11-29T17:02:00+0000,1333917536639438_1333977299966795,1601522566743235,1
1,110389852325552_1332793723418486,"Tayler Couvion, something for Alligirl?",2016-11-28T22:45:23+0000,1332793723418486_1332907410073784,1560292010885624,0
2,110389852325552_1332518506779341,Looks like the NOVA demo derby has started. Rt29 in Gainesville is shut down due to a wreck. People need to pay attention.,2016-11-28T16:52:18+0000,1332518506779341_1332533203444538,10151997736826548,1
3,110389852325552_1332393583458500,What time will they light the tree ?,2016-11-29T00:41:34+0000,1332393583458500_1332982413399617,10100617532796771,0
4,110389852325552_1332393583458500,Brooke Jae White,2016-11-29T00:01:03+0000,1332393583458500_1332957963402062,1601522566743235,1
5,110389852325552_1332393583458500,John Ayers,2016-11-29T01:00:20+0000,1332393583458500_1332994320065093,10152874431395871,0
6,110389852325552_1324015897629602,When are they going to fix the ski jump in front of the entrance to Tulley Gate? When you are turning off RT1 and don't know it's there you can go airborne.,2016-11-28T14:12:14+0000,1324015897629602_1332295873468271,10151997736826548,2
7,110389852325552_1324015897629602,John Ayers,2016-11-28T20:29:30+0000,1324015897629602_1332761230088402,10152874431395871,0
8,110389852325552_1327743220590203,Didn't realize an Army Museum was being built. I know there are some amazing historical artifacts on post (I think near the vet). Will these be moved to the museum for public display? When is the expected opening?,2016-11-28T00:15:09+0000,1327743220590203_1331577523540106,760619144028729,0
9,110389852325552_1327743220590203,where exactly? FCP is a big stretch of road,2016-11-27T22:36:01+0000,1327743220590203_1331510810213444,10200889192831595,0
10,110389852325552_1327743220590203,Jason,2016-11-28T00:02:21+0000,1327743220590203_1331571136874078,10153323403604634,1
11,110389852325552_1331338106897381,Jason McDaniel,2016-11-27T20:31:21+0000,1331338106897381_1331359703561888,10152008594662547,1
12,110389852325552_1329007697130422,"That is not a small action. That is making a boys dream come true. And if he did not have the medical issues he has, he would most likely be the next Medal of Honor recipient in his later years. Kudos to the US Army. Pretty awesome stuff.",2016-11-27T13:09:01+0000,1329007697130422_1330822810282244,10151997736826548,1
13,110389852325552_1323349231029602,Loved it! Totally recommended!,2016-11-26T06:07:24+0000,1323349231029602_1328592103838648,228480990876914,1
14,110389852325552_1327686933929165,Between Telegraph Road and JJ Kingman Gate,2016-11-26T20:32:27+0000,1327686933929165_1329334197097772,110389852325552,0
15,110389852325552_1327686933929165,Where exactly on the FFX CO Pkwy will these closures occur?  The museum website isn't showing a map of where the museum will be specifically located.,2016-11-25T18:24:56+0000,1327686933929165_1327809553916903,10101108745337918,1
16,110389852325552_1327593653938493,Christina Garcia,2016-11-25T14:45:36+0000,1327593653938493_1327605060604019,831995823478119,1
17,110389852325552_1326848450679680,Happy Thanksgiving to all of you that man the social media:),2016-11-25T02:00:10+0000,1326848450679680_1326891834008675,10203910193709521,1
18,110389852325552_1326848450679680,??,2016-11-25T01:58:26+0000,1326848450679680_1326891230675402,10204030826241941,1
19,110389852325552_1326848450679680,??????,2016-11-25T01:55:46+0000,1326848450679680_1326889667342225,746983838691953,1
20,110389852325552_1326848450679680,??,2016-11-25T03:33:03+0000,1326848450679680_1326947754003083,788393364504195,1
21,110389852325552_1326678344030024,Kitchen cleaned? waiting for Gilmore Girls on Netflix,2016-11-25T01:04:58+0000,1326678344030024_1326807040683821,10204030826241941,1
22,110389852325552_1326353934062465,9-10...I made bad choices too but now getting out for some Black Friday shopping deals! Hoping to make better choices there!????,2016-11-24T21:41:38+0000,1326353934062465_1326509930713532,10205695917863720,1
23,110389852325552_1326353934062465,I spent 8 Thanksgivings at Ft Belvoir as a child. We were there the year President Kennedy was assassinated.,2016-11-25T13:35:49+0000,1326353934062465_1327518733945985,10202755601122697,1
24,110389852325552_1326353934062465,I feel like a python that ate a water buffalo.....and it's Friday now.,2016-11-26T04:00:44+0000,1326353934062465_1328410587190133,804981642868413,1
25,110389852325552_1326353934062465,3-4 Ate lots at dinner and holding off on pie until later.,2016-11-24T21:20:23+0000,1326353934062465_1326469404050918,10202321916352737,1
26,110389852325552_1326353934062465,"Definitely a 10, and worth every calorie! :)",2016-11-25T01:50:06+0000,1326353934062465_1326887434009115,10152939128699463,1
27,110389852325552_1326353934062465,Was a 10. Took a nap now I'm a 7ish.,2016-11-24T22:28:42+0000,1326353934062465_1326592330705292,10154621336170296,1
28,110389852325552_1326353934062465,10..I made bad choices,2016-11-24T21:27:14+0000,1326353934062465_1326479450716580,1634169686815796,2
29,110389852325552_1326353934062465,I just woke up from my nap... ??,2016-11-24T22:00:37+0000,1326353934062465_1326544397376752,858292014195310,1
30,110389852325552_1326353934062465,7-8,2016-11-25T02:01:27+0000,1326353934062465_1326892287341963,10204030826241941,1
31,110389852325552_1326353934062465,3,2016-11-24T21:34:44+0000,1326353934062465_1326495757381616,10203107465439563,1
32,110389852325552_1326353934062465,1 ??,2016-11-24T21:14:06+0000,1326353934062465_1326465297384662,748845015140763,1
33,110389852325552_1326353934062465,5-6 before the walk. 3-4 after.,2016-11-24T22:06:40+0000,1326353934062465_1326559264041932,476309505892055,1
34,110389852325552_1326353934062465,Yesterday at four I was just getting dinner on the table...by 4:45....you could have rolled me out the door.,2016-11-25T16:58:30+0000,1326353934062465_1327714400593085,4103612405254,0
35,110389852325552_1326353934062465,8.5 ????,2016-11-24T23:53:23+0000,1326353934062465_1326698604027998,567641177161,0
36,110389852325552_1326353934062465,2 still cooking.,2016-11-25T07:51:03+0000,1326353934062465_1327222167308975,10203563955089955,0
37,110389852325552_1326353934062465,7 ??,2016-11-25T00:55:28+0000,1326353934062465_1326786844019174,10206402590721602,0
38,110389852325552_1326353934062465,7-8,2016-11-25T07:05:20+0000,1326353934062465_1327146077316584,4346356194135,0
39,110389852325552_1326353934062465,9-10.   Did not need to eat pie!,2016-11-24T23:04:05+0000,1326353934062465_1326623997368792,10152358058829836,0
40,110389852325552_1326350074062851,"Ice cream pie!! (Peppermint ice cream, york patties and whipped cream frozen in an oreo pie shell)",2016-11-24T19:32:38+0000,1326350074062851_1326366477394544,10153231545736542,5
41,110389852325552_1326350074062851,"At our house, Lemon meringue is tradition (at least for hubs) home made...no canned filling allowed ??",2016-11-25T16:40:42+0000,1326350074062851_1327701550594370,4103612405254,1
42,110389852325552_1326350074062851,"Apple always, my dad has the best recipe ??",2016-11-24T19:26:27+0000,1326350074062851_1326363370728188,146128535736735,1
43,110389852325552_1326350074062851,D. Sweet potato (couldn't wait; already had a slice),2016-11-24T19:38:24+0000,1326350074062851_1326371200727405,691606470896380,2
44,110389852325552_1326350074062851,Pumpkin cheesecake! Delicious!,2016-11-24T19:38:03+0000,1326350074062851_1326370357394156,10152874431395871,5
45,110389852325552_1326350074062851,Strawberry rubbarb,2016-11-24T19:44:25+0000,1326350074062851_1326384797392712,653658728065134,2
46,110389852325552_1326350074062851,Pumpkin cream pie ??,2016-11-24T19:25:03+0000,1326350074062851_1326362250728300,933665083334243,2
47,110389852325552_1326350074062851,Cheesecake!,2016-11-24T19:14:16+0000,1326350074062851_1326356427395549,10202845133124100,4
48,110389852325552_1326350074062851,Butter pecan apple crumble pie from Mom's Apple Pie.... delish.... Slightly warm with a scoop of vanilla ice cream on top!,2016-11-24T21:41:11+0000,1326350074062851_1326508924046966,10100831597469313,1
49,110389852325552_1326350074062851,I have an affinity for a Pecan Pie. It's oh so good tasting but oh so bad for you diet wise.,2016-11-24T19:51:00+0000,1326350074062851_1326398720724653,853836007975386,1
50,110389852325552_1326350074062851,I don't like hot fruit so I'll say pumpkin cheesecake and take the social media grief. HAPPY THANKSGIVING EVERYBODY!,2016-11-24T19:55:24+0000,1326350074062851_1326409387390253,386532381488909,2
51,110389852325552_1326350074062851,"D (with a hint of C), Chocolate Pecan Pie made with Jack Daniels",2016-11-24T19:52:47+0000,1326350074062851_1326402440724281,10203910193709521,3
52,110389852325552_1326350074062851,I believe the answer to your question is yes...,2016-11-24T21:18:30+0000,1326350074062851_1326468657384326,10205632818564566,2
53,110389852325552_1326350074062851,D. Cherpple a mixture of apple and cherry together.,2016-11-25T03:39:19+0000,1326350074062851_1326951014002757,10203479836661430,1
54,110389852325552_1326350074062851,Pecan pie! Happy Thanksgiving to all!??,2016-11-24T20:04:52+0000,1326350074062851_1326428530721672,908522479166365,2
55,110389852325552_1326350074062851,Pumpkin cheesecake,2016-11-24T22:27:21+0000,1326350074062851_1326591570705368,10204469279431835,1
56,110389852325552_1326350074062851,Pumpkin ?? pie,2016-11-24T23:42:37+0000,1326350074062851_1326684260696099,779974175346343,1
57,110389852325552_1326350074062851,Pizza pie. Our celebration is Saturday. :),2016-11-25T01:00:45+0000,1326350074062851_1326798497351342,10153140634217542,2
58,110389852325552_1326350074062851,Apple AND pumpkin at our house,2016-11-25T01:47:18+0000,1326350074062851_1326881390676386,10205669579723658,2
59,110389852325552_1326350074062851,D - Sweet Potato,2016-11-25T05:22:03+0000,1326350074062851_1327050683992790,10151970817561965,1
60,110389852325552_1326350074062851,??PUMPKIN!!??,2016-11-24T20:47:09+0000,1326350074062851_1326449924052866,746983838691953,2
61,110389852325552_1326350074062851,Pecan - no doubt.,2016-11-25T03:12:14+0000,1326350074062851_1326933390671186,785678111550108,1
62,110389852325552_1326350074062851,B but A is a very close second especially when it has vanilla ice cream,2016-11-24T20:36:10+0000,1326350074062851_1326444304053428,10203790824956380,1
63,110389852325552_1326350074062851,Pumpkin,2016-11-24T20:21:05+0000,1326350074062851_1326436917387500,10204030826241941,1
64,110389852325552_1326350074062851,pecan,2016-11-24T19:29:43+0000,1326350074062851_1326365160728009,10152533639106104,1
65,110389852325552_1326145587416633,My dad. Where's the love for the male cooks? ??,2016-11-24T15:42:49+0000,1326145587416633_1326150847416107,227716990906004,7
66,110389852325552_1326145587416633,"Blending My Husbands family traditions & mine blended together! My Mom,Dad,Grandparents & his all had a hand in special family recipes & traditions for both Thanksgiving & Christmas.",2016-11-24T16:55:24+0000,1326145587416633_1326215467409645,10205695917863720,1
67,110389852325552_1326145587416633,I love and miss your FANTASTIC grandmother. What a woman before her time.,2016-11-24T18:44:21+0000,1326145587416633_1326338187397373,1106663852716747,1
68,110389852325552_1326145587416633,Me. Always one up-ing myself to make things better!,2016-11-24T17:57:25+0000,1326145587416633_1326265694071289,10154692700735538,1
69,110389852325552_1326145587416633,My Mom ?? and my chef husband ??,2016-11-24T16:49:38+0000,1326145587416633_1326210914076767,788393364504195,1
70,110389852325552_1326145587416633,My mother and grandmother!,2016-11-24T16:29:09+0000,1326145587416633_1326189764078882,836312239745485,2
71,110389852325552_1326145587416633,Stouffers inspires my cooking. lol,2016-11-24T15:41:14+0000,1326145587416633_1326148730749652,10202850858424997,4
72,110389852325552_1326145587416633,E. All of thee above!,2016-11-24T18:34:21+0000,1326145587416633_1326321554065703,10202351362077795,1
73,110389852325552_1326145587416633,My mom and Grandmother,2016-11-24T17:42:11+0000,1326145587416633_1326254450739080,1331404893539419,1
74,110389852325552_1326145587416633,Used to be the Fort Belvoir PX.,2016-11-24T18:20:39+0000,1326145587416633_1326290134068845,10207564377927108,1
75,110389852325552_1326145587416633,A. First Thanksgiving without her.,2016-11-24T17:27:38+0000,1326145587416633_1326242694073589,1560292010885624,1
76,110389852325552_1326145587416633,My Mama and both Grannies.,2016-11-24T18:54:33+0000,1326145587416633_1326343427396849,10202566646745922,1
77,110389852325552_1326145587416633,A and B :),2016-11-24T17:39:14+0000,1326145587416633_1326253090739216,10154235637980657,1
78,110389852325552_1326145587416633,My sister.,2016-11-24T17:57:35+0000,1326145587416633_1326265784071280,10204428533704141,1
79,110389852325552_1326145587416633,Pintrest,2016-11-24T16:59:21+0000,1326145587416633_1326218237409368,770569232976166,1
80,110389852325552_1326145587416633,Mommy!,2016-11-24T16:18:43+0000,1326145587416633_1326175360746989,476309505892055,1
81,110389852325552_1326145587416633,My mother in-law,2016-11-24T16:26:14+0000,1326145587416633_1326179484079910,10204248194939295,1
82,110389852325552_1326145587416633,My madre! Mom,2016-11-24T17:20:17+0000,1326145587416633_1326233430741182,10205836404973162,1
83,110389852325552_1326145587416633,My dad,2016-11-24T17:05:48+0000,1326145587416633_1326224664075392,10206799872937991,1
84,110389852325552_1326145587416633,"A, B, and D.",2016-11-24T17:13:02+0000,1326145587416633_1326228420741683,10210003424512317,1
85,110389852325552_1326145587416633,A and B,2016-11-24T18:04:03+0000,1326145587416633_1326269764070882,855037337861391,1
86,110389852325552_1326145587416633,"A,B and D",2016-11-24T16:00:45+0000,1326145587416633_1326162084081650,10203467941529450,1
87,110389852325552_1326145587416633,B,2016-11-24T17:25:25+0000,1326145587416633_1326238747407317,845705728773942,1
88,110389852325552_1326145587416633,B,2016-11-24T17:33:07+0000,1326145587416633_1326246047406587,10203790824956380,1
89,110389852325552_1326145587416633,A,2016-11-24T17:14:36+0000,1326145587416633_1326229720741553,817593486090,1
90,110389852325552_1326134987417693,"Way to be out there, Ma'am!! ????",2016-11-24T15:58:10+0000,1326134987417693_1326160600748465,10101927049339627,1
91,110389852325552_1326134987417693,Now that is leading by doing,2016-11-25T17:03:09+0000,1326134987417693_1327717800592745,1607534179503572,1
92,110389852325552_1326134987417693,Happy  Thanksgiving and thank you for your  sacrifice!,2016-11-24T16:12:43+0000,1326134987417693_1326171520747373,845663002156004,1
93,110389852325552_1326016854096173,My husband makes the most amazing turkey. We will eat about 2:30/3 whenever half time is. Haha,2016-11-24T18:28:23+0000,1326016854096173_1326307814067077,10154692700735538,1
94,110389852325552_1326016854096173,We like to deep fry in the summer time,2016-11-24T20:50:14+0000,1326016854096173_1326451530719372,10204030826241941,1
95,110389852325552_1326016854096173,OH! Fried turkey is so awesome /drool now I want to do that! ??,2016-11-24T16:43:38+0000,1326016854096173_1326205014077357,146128535736735,2
96,110389852325552_1326016854096173,Up at 0400 to prep etc.....traditional stuffed turkey in the oven.  Turkey to be shared with family and friends is the best way to cook it!,2016-11-24T19:04:48+0000,1326016854096173_1326349184062940,10100831597469313,1
97,110389852325552_1326016854096173,One the Weber grill. Easy & delicious!,2016-11-25T03:57:49+0000,1326016854096173_1326972027333989,10203017441346038,0
98,110389852325552_1326016854096173,Sounds close.  I think we will be ready about 1700.,2016-11-25T07:52:50+0000,1326016854096173_1327226327308559,10203563955089955,0
99,110389852325552_1326016854096173,Baked.  Herb Butter rubbed under skin. Pam cooking spray all over bird to make a nice brown color.  Sprinkle with salt.,2016-11-25T02:31:26+0000,1326016854096173_1326910460673479,10202454218382238,1
100,110389852325552_1324001067631085,"Belvoir's access control points exist for the security of the mission. 
Belvoir Hospital does not receive ambulances from off-post. 
There have been many traffic studies that dictate holiday hours. Additionally, we are not resourced to change the hours.",2016-11-24T15:41:36+0000,1324001067631085_1326149237416268,110389852325552,1
101,110389852325552_1324001067631085,Is this true for 11/25 as well?,2016-11-24T12:07:35+0000,1324001067631085_1326001917431000,10152510482685823,1
102,110389852325552_1324001067631085,These are the worst hate hours.  I guess the installation doesn't care or think what we want.  You pick the 2 gates furthest away from housing and the hospital.  Way to go Ft Belvoir.,2016-11-24T12:24:51+0000,1324001067631085_1326012160763309,10205167292682594,0
103,110389852325552_1324001067631085,"I agree with Belinda. It wasnt like this last year. Why on earth is Pence closed? Ok fine.. you want to close Walker, we get it... but to make the folks that live in 3 of your neighborhoods drive to the opposite side of post is ... well   :(",2016-11-24T12:50:12+0000,1324001067631085_1326031304094728,10200889192831595,2
104,110389852325552_1325500897481102,I like the 1600 time slot but I'll still be on the gate at that point so after I get off work ????????,2016-11-24T10:52:16+0000,1325500897481102_1325965597434632,146128535736735,2
105,110389852325552_1325500897481102,We are all still stuck in traffic. LOL,2016-11-24T02:21:34+0000,1325500897481102_1325508317480360,10206363020332595,7
106,110389852325552_1325500897481102,4pm but that's because I'm always behind schedule so I know it won't be till 5pm,2016-11-24T03:05:33+0000,1325500897481102_1325544584143400,781834568523661,1
107,110389852325552_1325500897481102,"11:00, before work!",2016-11-24T03:01:01+0000,1325500897481102_1325536350810890,10201729309585764,1
108,110389852325552_1325500897481102,Around 13:00 hrs,2016-11-24T03:33:49+0000,1325500897481102_1325581000806425,10203708242217129,1
109,110389852325552_1325500897481102,??????,2016-11-24T02:11:36+0000,1325500897481102_1325503787480813,746983838691953,2
110,110389852325552_1325500897481102,1600,2016-11-24T02:46:56+0000,1325500897481102_1325522154145643,10204030826241941,1
111,110389852325552_1325500897481102,1400,2016-11-24T02:48:17+0000,1325500897481102_1325522620812263,10203497974838353,1
112,110389852325552_1325500897481102,1700,2016-11-24T10:07:14+0000,1325500897481102_1325909880773537,10152941944585781,1
113,110389852325552_1325500897481102,1600 my place. Come on over!,2016-11-24T02:42:25+0000,1325500897481102_1325519707479221,1500671623539130,1
114,110389852325552_1325500897481102,1500,2016-11-24T03:09:33+0000,1325500897481102_1325552564142602,10203290229672059,1
115,110389852325552_1325500897481102,"Appetizers at 1300, dinner at 1500. Happy Thanksgiving all!",2016-11-24T12:48:34+0000,1325500897481102_1326030404094818,701652879878444,0
116,110389852325552_1325500897481102,1600 because he works until 1500.  Table for 12.,2016-11-24T03:17:54+0000,1325500897481102_1325566517474540,10202454218382238,0
117,110389852325552_1325431650821360,College aged daughter wanted to drive home in the rush on Wednesday morning!!! Let me check ummm NO not going to happen,2016-11-25T02:03:04+0000,1325431650821360_1326893027341889,10204030826241941,1
118,110389852325552_1325427467488445,At the Belvoir USO for Thanksgiving dinner! Thanks for helping make the day stress free!!,2016-11-24T22:17:34+0000,1325427467488445_1326584037372788,10202880210947062,1
119,110389852325552_1325427467488445,Tonight I'm at work with my nurses and tomorrow I'll be bringing them dinner.,2016-11-24T01:16:36+0000,1325427467488445_1325441660820359,10204469279431835,1
120,110389852325552_1325423324155526,Here on Facebook or...? Is there a meeting at the community center?,2016-11-24T11:09:08+0000,1325423324155526_1325972797433912,146128535736735,0
121,110389852325552_1325398470824678,French Silk about to go in the fridge!,2016-11-24T01:40:29+0000,1325398470824678_1325485367482655,861830710509347,1
122,110389852325552_1325196217511570,??????,2016-11-23T21:06:21+0000,1325196217511570_1325261647505027,746983838691953,1
123,110389852325552_1325196217511570,,2016-11-24T02:16:43+0000,1325196217511570_1325506200813905,816205721771017,0
124,110389852325552_1325028927528299,"I am happy and impressed that a majority of these places will be closed on Thursday, as well as some being closed all weekend. People deserve time to relax and enjoy life with their families. ??",2016-11-23T16:24:00+0000,1325028927528299_1325091817522010,10152874431395871,3
125,110389852325552_1324461034251755,That is wonderful.god bless you all.that helps so much,2016-11-23T00:34:14+0000,1324461034251755_1324508194247039,1424251234503852,1
126,110389852325552_1324461034251755,You folks rock. Love me some FBFES!,2016-11-23T02:01:09+0000,1324461034251755_1324558640908661,10201973602060222,1
127,110389852325552_1324213230943202,A gun slit in the front door?,2016-11-23T21:01:19+0000,1324213230943202_1325259420838583,10205735407298345,0
