,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,141594019208612_1330591710308831,Stephanie Cortez,2016-11-02T23:08:20+0000,1330591710308831_1330626203638715,10152752615337604,1
1,141594019208612_1309204249114244,How can I get a briefing for you formation on our Jan BA? It's a BN. This would be terrific,2016-10-18T17:56:07+0000,1309204249114244_1316066128428056,819003448129616,0
2,141594019208612_1309204249114244,"Thank you for contacting SFL-TAP Facebook, for any further guidance needed please contact Mr. Doug Piltz-Transition Service Manager (TSM) at 915-568-7165. Foremost, thank you for supporting our troops and their families.",2016-10-18T21:58:54+0000,1309204249114244_1316249008409768,141594019208612,0
3,141594019208612_1309109955790340,James Sharp,2016-10-12T15:04:59+0000,1309109955790340_1309189975782338,906192496057608,0
4,141594019208612_1284923338209002,Thanks  :\,2016-10-08T19:00:11+0000,1284923338209002_1305412632826739,753173184791440,0
5,141594019208612_1264799396888063,Nice  thanks :p,2016-09-18T11:30:23+0000,1264799396888063_1287064931328176,753173184791440,1
6,141594019208612_1264606343574035,Do you have to register for this event?,2016-08-24T16:41:54+0000,1264606343574035_1264738200227516,842809862409114,1
7,141594019208612_1264595826908420,Nice :\,2016-10-09T01:00:22+0000,1264595826908420_1305646466136689,753173184791440,0
8,141594019208612_1258749657493037,"If you or anyone you know are anticipating a PCS move to VA, please share this link with them for a smooth transition into the area! Look at the schools, find a home, job search engine for the spouse, or tour the area before you actually step foot on VA soil... #military #pcs #moving #army #navy #airforce #marinecorp #realestate #NoLimitRealtor 

www.1201.pcswelcomekit.com",2016-09-28T15:57:53+0000,1258749657493037_1296191783748824,10152636392382824,1
9,141594019208612_1257927954241874,Dustin,2016-08-17T11:39:19+0000,1257927954241874_1258460687521934,10203719261516375,0
10,141594019208612_1257923947575608,Val Rios,2016-08-17T17:46:04+0000,1257923947575608_1258687344165935,10201903043886196,1
11,141594019208612_1253653321336004,Andres Garcia,2016-08-11T16:25:53+0000,1253653321336004_1253762797991723,1436375866691898,0
12,141594019208612_1252356424799027,I tried to contact the school about this fair but had difficulties. Is this fair open to the public and is there a job seeker registrtion or fees? Thanks,2016-08-10T22:29:50+0000,1252356424799027_1253223834712286,995986867094913,0
13,141594019208612_1252356424799027,"Thank you for contacting SFL-TAP facebook, please feel free to contact Mr. Arturo Aguilar at 915-342-0901. FREE EVENT TO JOB SEEKERS and it also open to active-duty, family members, retirees and transitioning from the service.",2016-08-11T13:35:42+0000,1252356424799027_1253657194668950,141594019208612,0
14,141594019208612_1252356424799027,Andres Garcia,2016-08-11T16:26:18+0000,1252356424799027_1253762967991706,1436375866691898,0
15,141594019208612_1252305274804142,Andres Garcia,2016-08-11T16:26:26+0000,1252305274804142_1253763027991700,1436375866691898,0
16,141594019208612_1252258161475520,Maria-Octavio Ureste Carlos Diaz,2016-08-09T20:11:38+0000,1252258161475520_1252302168137786,10206120182546294,1
17,141594019208612_1163181437049860,Alejandro Yacuta,2016-03-29T19:50:13+0000,1163181437049860_1163316593703011,10152563471798262,0
18,141594019208612_1150470764987594,Robert James Comingo,2016-03-18T19:23:31+0000,1150470764987594_1151265421574795,1484067045141257,0
19,141594019208612_1148019841899353,CB&I is going to be there looking for junior officers with a STEM degree and for soldiers having a background in construction trades.,2016-03-16T18:01:42+0000,1148019841899353_1149568411744496,10152544923833779,0
20,141594019208612_1148013708566633,We are hiring!,2016-03-21T17:04:29+0000,1148013708566633_1153786291322708,10207124101847538,0
21,141594019208612_1139851399382864,.,2016-03-03T02:14:26+0000,1139851399382864_1139931459374858,10203322058268384,0
22,141594019208612_1139851399382864,the wrong posters were put on this page.  we no longer have the housing incentives.  Our new starting salary is $24.29 per hour!,2016-03-14T17:20:47+0000,1139851399382864_1147997021901635,10207124101847538,0
23,141594019208612_1139817549386249,Do I need to sign up for this class or is it a walk in?,2016-03-03T02:07:58+0000,1139817549386249_1139926082708729,889013327778006,0
24,141594019208612_1139817549386249,"Thank you for contacting SFL-TAP facebook, please contact 915-569-5873 for further guidance. Thank you for your service!",2016-03-07T19:33:27+0000,1139817549386249_1143138925720778,141594019208612,0
25,141594019208612_1139817549386249,"Ritchie, you just need to show up.",2016-03-08T18:16:37+0000,1139817549386249_1143785155656155,10205470831873511,0
26,141594019208612_1139798106054860,FYI Elizabeth,2016-03-08T20:26:19+0000,1139798106054860_1143848898983114,10204612859066562,0
27,141594019208612_1135928933108444,David Rodriguez,2016-02-26T13:00:42+0000,1135928933108444_1136444403056897,10202374848487677,0
28,141594019208612_1135928213108516,Nesto Acosta,2016-02-25T16:49:19+0000,1135928213108516_1135976166437054,10204885515790530,0
29,141594019208612_1115559015145436,"Great group of companies with more than 32,000 jobs available. Leave the suit and tie in the closet, grab a cup of coffee, and let us bring the career fair to you www.veteranrecruiting.com",2016-01-22T15:53:43+0000,1115559015145436_1115974285103909,10206231350247837,1
30,141594019208612_1106225756078762,Jay King,2016-01-05T20:26:25+0000,1106225756078762_1106228659411805,10155549457745290,0
31,141594019208612_1106225756078762,David Lawson,2016-01-05T20:29:17+0000,1106225756078762_1106229626078375,10203538631485739,0
32,141594019208612_1106225756078762,Michelle L White,2016-01-05T21:05:26+0000,1106225756078762_1106243549410316,1060879560604975,0
33,141594019208612_1106225756078762,Thomas Gilberto Sotomayor,2016-01-05T21:24:45+0000,1106225756078762_1106250662742938,10202655290676426,1
34,141594019208612_1106225756078762,Damian Madrid,2016-01-05T21:29:23+0000,1106225756078762_1106252176076120,10152392041047442,0
35,141594019208612_1106225756078762,Took advantage of this deal last year. It was awesome,2016-01-05T22:07:31+0000,1106225756078762_1106267059407965,10205367912536535,0
36,141594019208612_1106225756078762,Collin Shelton,2016-01-05T22:15:48+0000,1106225756078762_1106269536074384,1401600433480507,0
37,141594019208612_1106225756078762,Juan L. Cruz,2016-01-05T23:50:54+0000,1106225756078762_1106305366070801,10153182213713320,1
38,141594019208612_1106225756078762,Tristan Robert Vogt Shane Vogt,2016-01-06T01:22:46+0000,1106225756078762_1106350662732938,10202697417851916,0
39,141594019208612_1106225756078762,Eric Barragan,2016-01-06T01:29:50+0000,1106225756078762_1106353399399331,10153509753382230,0
40,141594019208612_1106225756078762,Thanks TT Muffin ?? Vero Santos,2016-01-06T01:32:44+0000,1106225756078762_1106354126065925,964240223621335,0
41,141594019208612_1106225756078762,Eli Peralta,2016-01-06T02:51:18+0000,1106225756078762_1106387659395905,814919905217143,0
42,141594019208612_1106225372745467,"I got out may 2014 I served 6 years and 8 months. I am being made to pay back the separation pay I got, is this chart right? According to it I was eligeble for separation pay. Why then am I having to pay it back?",2016-01-05T21:58:00+0000,1106225372745467_1106262392741765,10205502598745420,0
43,141594019208612_1106225372745467,I was taxed on it but when my w-2 came it reflected what i had made in those 5 months plus the separation pay but not what i was taxed on it.  Do I need to get a lawyer?,2016-01-05T22:00:23+0000,1106225372745467_1106263759408295,10205502598745420,0
44,141594019208612_1106225372745467,Im just asking because now I have a federal debt of about 19000 and its keeping me from geting a VA home loan and they are garnishing my VA pay as well,2016-01-05T22:02:51+0000,1106225372745467_1106265752741429,10205502598745420,0
45,141594019208612_1106221226079215,Mimoza Mario Franco,2016-01-06T19:07:45+0000,1106221226079215_1106740396027298,677660245665744,1
46,141594019208612_1102215089813162,Happy Holidays to you all! Y'all do great work for our military members....2016 is going to be a great year!,2015-12-29T17:26:04+0000,1102215089813162_1102219053146099,10202980386526495,1
47,141594019208612_1102213269813344,"THANK YOU for sharing this. We are having a children's reading and book signing of his new Children's book Tuesday Tucks Me In at the Barnes & Noble The Fountains at Farah on Friday, February 5th from 4 to 7 pm and then on February 6 Luis and Until Tuesday: A Wounded Warrior and the Golden Retriever Who Saved Himwill be our keynote speaker at our Golden Hearts Benefit Banquet.",2015-12-29T21:46:10+0000,1102213269813344_1102314349803236,150775241627528,0
48,141594019208612_1102211636480174,Max Caceres,2015-12-29T20:45:11+0000,1102211636480174_1102290219805649,10202540035757208,0
49,141594019208612_1098278800206791,EM JHay,2015-12-23T21:46:20+0000,1098278800206791_1098347490199922,736124199742649,0
50,141594019208612_1097146346986703,Dominique Mota,2015-12-22T03:23:43+0000,1097146346986703_1097274443640560,10202374848487677,0
51,141594019208612_1093856603982344,Elaina Carrasco,2015-12-15T18:27:56+0000,1093856603982344_1093860540648617,10152752615337604,0
52,141594019208612_1093851370649534,Elaina Carrasco,2015-12-15T18:28:29+0000,1093851370649534_1093860733981931,10152752615337604,0
53,141594019208612_1090532937648044,Jessica- check out the criteria- this has you written all over it.,2015-12-09T20:16:51+0000,1090532937648044_1090675870967084,972828946067478,0
54,141594019208612_1090532220981449,EM JHay,2015-12-09T18:59:11+0000,1090532220981449_1090609040973767,736124199742649,0
55,141594019208612_1088097107891627,Dominique Mota,2015-12-05T01:28:40+0000,1088097107891627_1088289694539035,10202374848487677,0
56,141594019208612_1086557151378956,Jeanetta Martin,2015-12-01T23:32:45+0000,1086557151378956_1086681994699805,752371111511424,0
57,141594019208612_1086557151378956,Iris Cazares,2015-12-21T03:48:16+0000,1086557151378956_1096698923698112,971864072828729,0
58,141594019208612_1083757718325566,.,2015-11-26T06:21:27+0000,1083757718325566_1084035101631161,10152808784937501,0
59,141594019208612_1077075158993822,Clint Porter,2015-11-10T21:49:24+0000,1077075158993822_1077095535658451,10203046981246921,0
60,141594019208612_1077075158993822,Ali Rajabzadeh!!!,2015-11-10T22:28:17+0000,1077075158993822_1077107738990564,1026301194062855,0
61,141594019208612_1076981602336511,"Veterans - You are needed and wanted.  Come to Hillsdale County, Michigan.  Good jobs, a Great life.  Make a move to Hillsdale your final PCS.!  www.betthevet.com",2015-11-10T18:31:05+0000,1076981602336511_1077031432331528,741195232672577,0
62,141594019208612_1076981602336511,Jerry Campbell Jr,2015-11-10T22:19:33+0000,1076981602336511_1077105162324155,10204474397124315,0
63,141594019208612_1076981602336511,Jean Jastremski,2015-11-11T22:51:42+0000,1076981602336511_1077525622282109,689056921140349,0
64,141594019208612_1074640089237329,Jayar Lagrolla Natividad Ronnel Balingit Richard Parker Neil Patrick Dalaida Flores,2015-11-06T03:56:31+0000,1074640089237329_1074836882550983,736124199742649,1
65,141594019208612_1064693293565342,Do you really think WA is accurate with EMTs making $57k a year? Maybe they were suggesting medics....or medic supervisors....,2015-10-14T01:35:38+0000,1064693293565342_1064755500225788,10205416000903344,0
66,141594019208612_1064693293565342,I would say that would be firefighters and fire medics,2015-10-14T01:40:03+0000,1064693293565342_1064756563559015,1491688384407705,2
67,141594019208612_1064693293565342,I think that's an average... Private vs public is going to have some huge differences in pay scales.,2015-10-14T01:48:51+0000,1064693293565342_1064758706892134,10204679343455603,1
68,141594019208612_1062245430476795,Looking for strong Business Analysts. Let's us know if you have background in project management.,2015-10-08T23:30:32+0000,1062245430476795_1062269767141028,273688799508020,0
69,141594019208612_1061410723893599,Jeanetta Martin,2015-10-06T23:19:17+0000,1061410723893599_1061453013889370,752371111511424,0
