,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,120470921059_10154754055551060,Do we just show up and can we call The Commons to reserve a 1BCT table or 2 for this event?,2016-11-29T11:53:04+0000,10154754055551060_10154756164391060,10152846230890170,0
1,120470921059_10154719420311060,Is there a certain # of seats available or is it first come first serve?,2016-11-16T17:17:02+0000,10154719420311060_10154719535836060,10152803231996735,0
2,120470921059_10154716459406060,T-79 Ordinance is on south post - the road leading there is under construction so you have to follow the detour signs. (Ordinance is between Nash Blvd and Ontario Ave.(Gas Alley),2016-11-16T14:04:44+0000,10154716459406060_10154719189326060,120470921059,0
3,120470921059_10154716459406060,Where is this?,2016-11-15T22:34:57+0000,10154716459406060_10154717541971060,10207144146906520,0
4,120470921059_10154716459406060,Millette Smith where is this?,2016-11-15T16:02:57+0000,10154716459406060_10154716576221060,919230648172243,1
5,120470921059_10154716459406060,Mayleen Sophia,2016-11-15T15:14:36+0000,10154716459406060_10154716493421060,1525818051008352,1
6,120470921059_10154716459406060,Heidi Stewart CarlyJosh Schrodt Liz Swanson,2016-11-15T19:01:48+0000,10154716459406060_10154716966241060,10204230641699666,1
7,120470921059_10154716459406060,Frankie Borja Yvette Pili,2016-11-15T19:29:08+0000,10154716459406060_10154717028616060,651403588329191,0
8,120470921059_10154716459406060,Jessica McKenzie,2016-11-15T19:01:22+0000,10154716459406060_10154716965541060,10204230641699666,0
9,120470921059_10154649530886060,Stephen Boswell,2016-10-25T21:49:29+0000,10154649530886060_10154649839511060,10153072331230804,0
10,120470921059_10154645924606060,Matthew Shive,2016-10-24T15:58:02+0000,10154645924606060_10154646021336060,10152998988098134,1
11,120470921059_10154645924606060,Lou-ai Lenington,2016-10-24T15:36:16+0000,10154645924606060_10154645980826060,10203044774065544,1
12,120470921059_10154634072596060,So there is going to be a bus from Drum?,2016-10-20T22:03:09+0000,10154634072596060_10154634380806060,10152544948826134,1
13,120470921059_10154634072596060,Is it possible to purchase two extra if you have a family of 6?,2016-10-21T13:27:50+0000,10154634072596060_10154636186031060,637958539664129,0
14,120470921059_10154634072596060,Glendalys AcoSta RoSario por si quieres llevar a tus chicos,2016-10-22T00:23:30+0000,10154634072596060_10154637710156060,10203424891121228,1
15,120470921059_10154634072596060,Do it,2016-10-20T20:40:17+0000,10154634072596060_10154634160626060,10152855504628104,1
16,120470921059_10154634072596060,Julie DeGan Michael DeGan,2016-10-22T14:11:00+0000,10154634072596060_10154639401926060,1621116521516362,1
17,120470921059_10154634072596060,Julio Luis Matta Jr. let's go!,2016-10-20T20:28:24+0000,10154634072596060_10154634125626060,10203259694918639,0
18,120470921059_10154634072596060,Matthew Shive,2016-10-20T20:22:31+0000,10154634072596060_10154634104351060,10152998988098134,0
19,120470921059_10154634072596060,Michael Little,2016-10-21T00:29:59+0000,10154634072596060_10154634671841060,10152135984374531,0
20,120470921059_10154634072596060,Jon Davis,2016-10-21T13:28:03+0000,10154634072596060_10154636186756060,637958539664129,0
21,120470921059_10154629789021060,"Is this event geared towards younger children?  I was planning on taking my teen and his friends, before the location was switched.",2016-10-19T23:56:30+0000,10154629789021060_10154631440186060,10202840993680292,0
22,120470921059_10154629789021060,Is the haunted hydride happening??,2016-10-19T15:06:40+0000,10154629789021060_10154630099316060,1550997595126717,0
23,120470921059_10154629789021060,Haunted weightbars here they come,2016-10-19T16:14:54+0000,10154629789021060_10154630252966060,10152809733416128,2
24,120470921059_10154629789021060,Amanda Sanders and Rey Shannon Fernandez... At least we got to walk through the tunnel to Hell while we could! ;),2016-10-19T18:51:14+0000,10154629789021060_10154630645896060,10152544948826134,2
25,120470921059_10154629789021060,Noooooo!!!! We look forward to this every year. My kids are older and love it... ??,2016-10-19T21:35:51+0000,10154629789021060_10154631158506060,10153104328393508,0
26,120470921059_10154629789021060,Are children wearing custome? Our first Halloween here,2016-10-21T13:00:26+0000,10154629789021060_10154636110641060,10153200584772350,1
27,120470921059_10154629789021060,"Does it start at 5, the post paper said 6?",2016-10-21T15:41:05+0000,10154629789021060_10154636453371060,10203905352259286,0
28,120470921059_10154629789021060,does anyone know bout any other haunted house ?,2016-10-22T01:49:01+0000,10154629789021060_10154637857821060,809202885835033,0
29,120470921059_10154629789021060,Is this just Friday tho?,2016-10-22T18:19:36+0000,10154629789021060_10154640136446060,10154390922325247,0
30,120470921059_10154629789021060,Daaang lol Nick Gradowski it's gonna be wack,2016-10-19T17:19:13+0000,10154629789021060_10154630407246060,776053149073406,0
31,120470921059_10154629789021060,Mayleen J Sana Jane Anderson Travis Borja,2016-10-19T21:11:41+0000,10154629789021060_10154631103301060,820596924665166,2
32,120470921059_10154629789021060,Ashley Melendez,2016-10-19T16:00:39+0000,10154629789021060_10154630223891060,10152984523178787,1
33,120470921059_10154629789021060,Joey Todd,2016-10-19T13:29:35+0000,10154629789021060_10154629910241060,1403828586581384,1
34,120470921059_10154629789021060,Lowel A. Matos Ortiz  aun podemos llevar a la nena un rato!! Q crees??,2016-10-20T02:30:28+0000,10154629789021060_10154631745586060,10203885047605612,0
35,120470921059_10154629789021060,Nevada,2016-10-19T13:50:50+0000,10154629789021060_10154629952031060,967455900159,1
36,120470921059_10154629789021060,Tasha Montgomery,2016-10-19T15:38:53+0000,10154629789021060_10154630167726060,748398961876686,1
37,120470921059_10154629789021060,Krista Willmarth,2016-10-19T14:00:55+0000,10154629789021060_10154629974026060,10202743868734188,1
38,120470921059_10154629789021060,Leslie Marie Melko,2016-10-21T20:35:40+0000,10154629789021060_10154637164161060,1622044864680468,0
39,120470921059_10154629789021060,Mayra Orta,2016-10-19T14:25:42+0000,10154629789021060_10154630020476060,10204537244584287,0
40,120470921059_10154629789021060,Derrick A Paynter,2016-10-19T13:30:14+0000,10154629789021060_10154629911321060,10152552562295851,0
41,120470921059_10154629789021060,Matthew Shive,2016-10-19T13:07:25+0000,10154629789021060_10154629867931060,10152998988098134,0
42,120470921059_10154629789021060,Sara Copeland Buchanan,2016-10-19T23:23:00+0000,10154629789021060_10154631377286060,10205724732655681,0
43,120470921059_10154629789021060,Jon Davis,2016-10-21T13:29:04+0000,10154629789021060_10154636189401060,637958539664129,0
44,120470921059_10154629789021060,Henry Pettigrew,2016-10-21T19:14:32+0000,10154629789021060_10154636919566060,884030494984290,0
45,120470921059_10154629789021060,Lou-ai Lenington,2016-10-19T13:50:44+0000,10154629789021060_10154629951856060,10203044774065544,0
46,120470921059_10154611243261060,I  love to,2016-10-14T20:22:33+0000,10154611243261060_10154612503561060,1395539554073434,0
47,120470921059_10154611243261060,Caitlin Shive,2016-10-14T14:53:50+0000,10154611243261060_10154611437066060,882352181855439,1
48,120470921059_10154587541171060,"Krissy McKay, do you want to go Wednesday at noon?",2016-10-09T22:10:14+0000,10154587541171060_10154596676691060,10204723393629489,1
49,120470921059_10154587541171060,I can do Wednesday if ya want!,2016-10-09T14:23:01+0000,10154587541171060_10154595435816060,10154900901340230,0
50,120470921059_10154587541171060,Jess Desrosier,2016-10-09T14:10:28+0000,10154587541171060_10154595407566060,1050151585037320,1
51,120470921059_10154540553321060,Is there a list of available vehicles?,2016-10-07T18:27:30+0000,10154540553321060_10154589872706060,10204349730814614,0
52,120470921059_10154540553321060,Mike Ivey we.need to scout this out!,2016-09-20T21:29:51+0000,10154540553321060_10154541015791060,10205140365327854,0
53,120470921059_10154540553321060,Autumn Elizabeth Benson where was this 6 months ago,2016-09-27T17:21:49+0000,10154540553321060_10154561144276060,10206059026740962,1
54,120470921059_10154540553321060,Jesse Benavidez it's time again,2016-09-20T19:46:24+0000,10154540553321060_10154540724061060,10205272751399180,1
55,120470921059_10154540553321060,Ashley Dosalua,2016-10-01T20:03:39+0000,10154540553321060_10154573125201060,10204994349285410,1
56,120470921059_10154540553321060,Johnny Kernes,2016-09-22T18:01:38+0000,10154540553321060_10154546246646060,449685418510781,0
57,120470921059_10154540553321060,Jeremiah Boaz,2016-09-21T23:47:15+0000,10154540553321060_10154544129221060,10204416529367071,0
58,120470921059_10154540553321060,Cassie Lieberman,2016-09-30T01:58:19+0000,10154540553321060_10154567873836060,794488183955972,0
59,120470921059_10154540553321060,Vincent Ford Jr.,2016-09-21T01:19:17+0000,10154540553321060_10154541420991060,754539671318937,0
60,120470921059_10154540553321060,Johnny Leonor,2016-09-20T21:04:32+0000,10154540553321060_10154540966986060,10153167823429899,0
61,120470921059_10154540553321060,Juan Garibay,2016-09-20T18:54:09+0000,10154540553321060_10154540610516060,1083544728338518,0
62,120470921059_10154538018231060,Hell naw,2016-09-19T20:59:06+0000,10154538018231060_10154538289281060,465687656867635,1
63,120470921059_10154538018231060,Vincent Ford Jr.,2016-09-19T19:41:23+0000,10154538018231060_10154538034711060,754539671318937,0
64,120470921059_10154505362886060,This is great but our whole family of five used to be able to go.,2016-09-10T11:55:38+0000,10154505362886060_10154510182001060,10201554647098877,0
65,120470921059_10154505362886060,Just registered and got two tickets! Thanks ??,2016-09-08T18:40:18+0000,10154505362886060_10154505449796060,127569820912609,0
66,120470921059_10154505362886060,Just registered!! ??,2016-09-08T21:50:56+0000,10154505362886060_10154505899691060,10202832397386587,0
67,120470921059_10154505362886060,Catie Stapleton,2016-10-07T02:21:01+0000,10154505362886060_10154588332661060,1135950243090030,1
68,120470921059_10154505362886060,Isaiah Heller Britt Nicole,2016-10-04T18:00:23+0000,10154505362886060_10154581657101060,818980241458566,0
69,120470921059_10154505362886060,Donovan Melvin,2016-09-08T18:30:33+0000,10154505362886060_10154505434696060,10203714556651056,0
70,120470921059_10154505362886060,Jason Earley,2016-09-08T18:41:02+0000,10154505362886060_10154505451066060,10152522469938873,0
71,120470921059_10154505362886060,Nathan Hutchison,2016-09-08T20:11:14+0000,10154505362886060_10154505641481060,10206896319747726,0
72,120470921059_10154505362886060,James Marquice Watson Timmy Packer,2016-09-26T18:40:10+0000,10154505362886060_10154558491551060,1135950243090030,0
73,120470921059_10154505362886060,Ryan Woodward,2016-09-08T23:57:22+0000,10154505362886060_10154506129576060,10152889122162556,0
74,120470921059_10154505362886060,Jack Santiago Dangels,2016-09-08T18:27:49+0000,10154505362886060_10154505429271060,1775400002691391,0
75,120470921059_10154505362886060,Chad Kaiser,2016-09-08T18:11:56+0000,10154505362886060_10154505381036060,10200636478192798,1
76,120470921059_10154476495056060,yaaaaasssssss thank you Dawn Russell,2016-08-30T14:21:18+0000,10154476495056060_10154476577756060,10152451497807843,1
77,120470921059_10154476495056060,Does this go for prek too or just kindergarten and up?,2016-08-30T17:02:38+0000,10154476495056060_10154476945501060,10154833153160548,0
78,120470921059_10154476495056060,Loretta Lynn Grubaugh Sara Alicie-Loving,2016-08-30T14:20:35+0000,10154476495056060_10154476576796060,10152365803534329,1
79,120470921059_10154476495056060,Jennifer DeRose Arrington,2016-08-30T14:24:29+0000,10154476495056060_10154476586346060,810840598938022,0
80,120470921059_10154476495056060,Cassidy Ferguson,2016-08-30T14:37:50+0000,10154476495056060_10154476612831060,383820325156361,0
81,120470921059_10154476495056060,Elizabeth Mitchell,2016-08-30T14:42:30+0000,10154476495056060_10154476620301060,10205470702675840,0
82,120470921059_10154476495056060,Louigy Buduan,2016-08-30T20:24:11+0000,10154476495056060_10154477509441060,10203507017626693,0
83,120470921059_10154476495056060,Kristi Powers and Daniel Powers,2016-08-30T15:34:45+0000,10154476495056060_10154476716801060,1469413196675429,1
84,120470921059_10154476495056060,Brittany Black,2016-08-30T14:13:02+0000,10154476495056060_10154476554301060,10203633332728407,1
85,120470921059_10154476495056060,Aida Almeida,2016-08-30T22:46:50+0000,10154476495056060_10154477938416060,769901326405302,0
