,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,324251608691_10154359358543692,By any chance do you video your graduation ceremonies and post here on facebook. Just curious because I have one graduating Dec 15 and unable to attend.,2016-11-29T14:43:50+0000,10154359358543692_10154380681668692,10207508616742237,1
1,324251608691_10154365353903692,Hi Joint Base Langley-Eustis Friend! Do you want these jerseys in your wardrobe? Just visit>> https://goo.gl/nc5DAI to get yours!,2016-11-29T04:00:53+0000,10154365353903692_10154379676323692,247512915664943,0
2,324251608691_10154367139673692,We are most Thankful for Our favorite Airman whose deployed this holiday season! God bless all of those who are away from their loved ones this year!!,2016-11-24T16:48:26+0000,10154367139673692_10154367700663692,10204252233801936,3
3,324251608691_10154367139673692,"I am Thankful for my beautiful family, my freedom and everyday blessings! God bless America! Happy Thanksgiving!!! ??",2016-11-24T13:54:55+0000,10154367139673692_10154367337418692,677706762267037,0
4,324251608691_10154367139673692,"My wonderful husband, our two crazy boys, and our baby girl who is celebrating her first Thanksgiving.",2016-11-25T04:07:09+0000,10154367139673692_10154369054618692,10152777946499323,0
5,324251608691_10154367139673692,I'm thankful for my beautiful family...health...and happiness.  Every day is a blessing!,2016-11-24T14:22:39+0000,10154367139673692_10154367406898692,1518543628396822,0
6,324251608691_10154367139673692,"Among everything else, our Tricare Prime coverage.",2016-11-24T13:53:49+0000,10154367139673692_10154367333593692,618048235662,2
7,324251608691_10154367139673692,Freedom and everything else I've been blessed with!!!,2016-11-24T13:08:29+0000,10154367139673692_10154367218388692,797100553644536,1
8,324251608691_10154367139673692,My amazing children. Freedom,2016-11-24T13:52:30+0000,10154367139673692_10154367329153692,682916295078208,1
9,324251608691_10154367139673692,Modern technology that allowed  my husband to watch his son being born and lets him be a part of our everyday lives and  watch all his kids grow from halfway around the world !,2016-11-24T19:06:26+0000,10154367139673692_10154367967418692,10152626016966158,2
10,324251608691_10154367139673692,Family (human and furry) and friends near and far.,2016-11-24T14:50:04+0000,10154367139673692_10154367478733692,858874614176747,0
11,324251608691_10154367139673692,My church Liberty Baptist,2016-11-24T14:20:45+0000,10154367139673692_10154367401828692,10152041079708176,0
12,324251608691_10154367139673692,Family and friends.,2016-11-24T14:13:58+0000,10154367139673692_10154367387203692,10152510907541189,0
13,324251608691_10154367139673692,Langley Air Force Base,2016-11-24T16:22:30+0000,10154367139673692_10154367648178692,10203303718491997,0
14,324251608691_10154367139673692,"Clothing and a roof and four walls to keep the rain, snow and bugs out.  Semper Fi",2016-11-24T13:19:18+0000,10154367139673692_10154367244693692,10204013488636737,1
15,324251608691_10154367139673692,"... the doctors, NPs, technicians and staff at McDonald Army Health Center. Because they took my ailments seriously (after being largely ignored for years at other bases), I was able to get the tests I needed to confirm the condition and surgery to repair it. THANK YOU. I'm getting my life back! You have no idea how much you've helped me. THANK YOU and BLESS YOU all!!",2016-11-24T15:51:38+0000,10154367139673692_10154367580483692,146126175726749,0
16,324251608691_10154365227223692,"Awesome and Congratulations!
Bravo Zulu!
Thank You Very Much for your Service to Your Great Nation!",2016-11-23T22:30:34+0000,10154365227223692_10154365923953692,10200882629987420,0
17,324251608691_10154365227223692,Gratulerar till examen!,2016-11-24T07:17:22+0000,10154365227223692_10154366816178692,560593127464002,2
18,324251608691_10154365227223692,Congradulations,2016-11-23T17:04:31+0000,10154365227223692_10154365253568692,313248495548629,0
19,324251608691_10154365227223692,HOOAH!!!!,2016-11-23T18:05:23+0000,10154365227223692_10154365377688692,684795751555866,0
20,324251608691_10154363117908692,"Give Wocken an award for that stache, man. He wins Movember.",2016-11-22T23:55:46+0000,10154363117908692_10154363604688692,10203890330834375,1
21,324251608691_10154363117908692,"HAPPY THANKSGIVING TO EVERYONE,",2016-11-22T21:44:24+0000,10154363117908692_10154363348278692,313248495548629,1
22,324251608691_10154363117908692,Cheryl Oldenburg look at Mr. Fitzgerald!,2016-11-22T20:46:00+0000,10154363117908692_10154363199823692,10205848890045501,1
23,324251608691_10154363117908692,Is there a buffet on base?,2016-11-24T16:50:31+0000,10154363117908692_10154367704783692,10203721691537860,0
