,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,355931204482410_1260714857337369,The Soldiers at Fort Gordon were awesome hosts over the holiday weekend. Thank you!,2016-11-28T17:56:42+0000,1260714644004057_1260726127336242,10205058941866610,1
1,355931204482410_1254558447953010,Thank you!,2016-11-24T14:13:31+0000,1254558447953010_1255320987876756,745571178868541,0
2,355931204482410_1254558447953010,Thank you!   God Bless You!,2016-11-24T14:16:51+0000,1254558447953010_1255324234543098,10204299270898827,0
3,355931204482410_1254558447953010,Thank you for your Service & Sacrifices - A shout out to PVT Arthur Jones from DMV!  Your Loving Family!,2016-11-24T14:29:34+0000,1254558447953010_1255332621208926,1270273836317070,0
4,355931204482410_1254558447953010,Thankyou,2016-11-25T02:37:09+0000,1254558447953010_1255944431147745,958829097470899,0
5,355931204482410_1254558447953010,We do every single day! ??????,2016-11-25T14:37:21+0000,1254558447953010_1256511194424402,380024582136588,0
6,355931204482410_1254558447953010,Thank you and God Bless you!!!!!,2016-11-25T14:50:01+0000,1254558447953010_1256523557756499,184485825273897,0
7,355931204482410_1254558447953010,Yes. Thank you all!,2016-11-25T18:44:22+0000,1254558447953010_1256766477732207,10204619104303202,0
8,355931204482410_1254292831312905,Natasa Stroud Look at these!!,2016-11-26T11:26:15+0000,1254292831312905_1257558170986371,958174484698,0
9,355931204482410_1253155338093321,Are these times correct? Better eat your turkey quickly!,2016-11-22T17:15:56+0000,1253155338093321_1253242271417961,10204894875911112,1
10,355931204482410_1253155338093321,The 22?,2016-11-23T00:03:02+0000,1253155338093321_1253593968049458,822085984497184,0
11,355931204482410_1248945435180978,"Morale Call? How about enforcing laws within the Army when it comes to Child Support? My former brother in law (SGT Fisher at Echo 369th Signal) doesn't pay child support for his 6 year old daughter and not even his command can make him pay for his daughter. Morale seems to be pretty high there, where you can use and spend intended child support as you like, dancing and what not. This is really sick.",2016-11-19T21:12:20+0000,1248945435180978_1250084035067118,1428385893861678,0
12,355931204482410_1248945435180978,really sick !!!!!,2016-11-19T21:18:07+0000,1248945435180978_1250087961733392,1786960541553193,0
13,355931204482410_1248677728541082,Now they build it!!!  Glad to hear it finally is being done. Go Cyber!!,2016-11-18T16:45:32+0000,1248677728541082_1248855218523333,1877018452522573,1
14,355931204482410_1248048801937308,"Our apologies, the time has changed and all the fun will begin at 4 pm.",2016-11-18T12:44:18+0000,1248048801937308_1248633875212134,215985361768705,1
15,355931204482410_1245546575520864,What was the final cost?,2016-11-15T20:32:10+0000,1245546575520864_1245747385500783,10152037803218091,0
16,355931204482410_1245546575520864,Corey here are the solar panels by your house.,2016-11-17T19:54:53+0000,1245546575520864_1247918618616993,10154100083870305,0
17,355931204482410_1245546575520864,Ridiculous I want a few so I can sell them for $$ please lmao,2016-11-20T20:23:37+0000,1245546575520864_1251094411632747,10153340856663890,0
18,355931204482410_1243902255685296,Engine 10!! Most of the time anyway.,2016-11-15T03:44:45+0000,1243902255685296_1244389055636616,10204840076144448,0
19,355931204482410_1237607606314761,when does the next class graduate?,2016-11-13T19:45:07+0000,1237607606314761_1242399252502263,1511401719136375,0
20,355931204482410_1237607606314761,"Aiken appreciates your outreach. (I do, in any case.) https://www.facebook.com/steve.geddes.792/posts/1181023445324564",2016-11-14T19:55:15+0000,1237607606314761_1243921762350012,1008448065915437,0
21,355931204482410_1233459023396286,10 tips to help adjust to 1 hour of change?? Do people really need 10 tips for an hour difference?!? Lol,2016-11-06T01:16:11+0000,1233459023396286_1233472196728302,10152469727151261,0
22,355931204482410_1233459023396286,Nothing is worst than getting up an hour earlier for PT when you don't have to.,2016-11-06T01:25:00+0000,1233459023396286_1233476980061157,609076872519245,0
23,355931204482410_1233459023396286,What's worse is those who have a 25hr CQ tonight.,2016-11-06T04:49:11+0000,1233459023396286_1233641520044703,10204807439482479,1
24,355931204482410_1232027656872756,"Great job Cpt Bryant, Preventive Medicine and all the support staff.",2016-11-04T17:27:35+0000,1232027656872756_1232031426872379,526973250785066,1
25,355931204482410_1232027656872756,Army Nurses made this happen!  Love those Army Nurses!!,2016-11-06T00:28:56+0000,1232027656872756_1233440803398108,757299344344818,0
26,355931204482410_1230891976986324,"Does the map shows crimes within the city limits of Grovetown? If not, will this be incorporated in the near future?",2016-11-03T16:56:50+0000,1230891976986324_1230968790311976,1580216812205352,0
27,355931204482410_1230891976986324,Thanks for posting.,2016-11-03T19:09:42+0000,1230891976986324_1231079400300915,526973250785066,1
28,355931204482410_1229018880506967,Well let's send some DOD up to North Dakota and show some modern day support.,2016-11-01T19:22:06+0000,1229018880506967_1229024440506411,10204840076144448,0
29,355931204482410_1229018880506967,"^^^ HooAhh! 

The idea that a modern day land grab and blatant unnecessary violence is happening against people peacefully exercising their right to free assembly, is utterly abhorrent. 

All for greed and profit. 

If you really want to show respect for Native American veterans and active duty.. Then it's time to step up and defend Americans from those who are violating their rights and welfare.",2016-11-01T21:46:20+0000,1229018880506967_1229127167162805,807598395936768,0
30,355931204482410_1224691827606339,Stephanie Wilson Veneklasen think this is what you were talking about. It's the Marines and navy,2016-10-28T21:01:49+0000,1224691827606339_1224693917606130,10152180993363753,0
31,355931204482410_1224527674289421,UPDATE: Power has been restored. Business operations have returned to normal.,2016-10-28T18:36:57+0000,1224527674289421_1224573314284857,355931204482410,0
32,355931204482410_1222541567821365,"Perhaps the best novel about army life at Fort Gordon's MP School during the Vietnam War was Jonathan Cain's book, ""Saigon Commandos,"" (#3: Dinky Dau Death) -check it out!",2016-10-30T22:15:45+0000,1222541567821365_1226984950710360,1596130917362608,0
33,355931204482410_1222419401166915,Amazing  post   I love Augusta,2016-10-27T03:00:08+0000,1222419401166915_1222834127792109,145220262597708,0
34,355931204482410_1221588197916702,"The Drive-Through Flu vaccination event is NOT impacted by changes to Wednesday, Oct. 26's flu vaccination event.. Beneficiaries, active-duty service members and retirees still needing flu shots are encouraged to drive through the Eisenhower Army Medical Center employee parking Saturday, Oct. 29 between 8 a.m. and 2 p.m., to receive their flu shots.",2016-10-25T21:22:11+0000,1221588197916702_1221598281249027,273717802656064,1
35,355931204482410_1221588197916702,Or you could just go to cvs,2016-10-26T00:09:14+0000,1221588197916702_1221709551237900,793227027379608,1
36,355931204482410_1221355401273315,This was amazing..I had the pleasure of running by some of the country's finest.,2016-10-25T16:31:08+0000,1221355377939984_1221404334601755,1432875316975106,0
37,355931204482410_1221355401273315,I love you guys,2016-10-26T03:09:46+0000,1221355377939984_1221813327894189,128669760817241,0
38,355931204482410_1220318744710314,That can't be good for business.,2016-10-24T17:18:48+0000,1220318744710314_1220327848042737,10203683229614045,0
39,355931204482410_1220318744710314,Skyn Skinn shame shame!,2016-10-24T22:05:46+0000,1220318744710314_1220646834677505,10152877153266532,0
40,355931204482410_1220318744710314,Jeanine Brackett    What do you have?,2016-10-26T01:50:30+0000,1220318744710314_1221761644566024,619293224825415,0
41,355931204482410_1215888895153299,Congratulations,2016-10-20T17:19:46+0000,1215888895153299_1215926361816219,1690074341222413,1
42,355931204482410_1215789148496607,Nothing like this back in the 1980's,2016-10-27T05:44:04+0000,1215789148496607_1222958314446357,728183377202510,0
43,355931204482410_1215075731901282,Thank you Firt Girdon for the support!,2016-10-20T05:48:44+0000,1215075731901282_1215395578535964,144669579050954,1
44,355931204482410_1213666152042240,I want to know WHO gave authorization to your fly boys to buzz my neighborhood with helos at tree top level?  Unsafe and uncalled for...  I want an answer?  I am calling the FAA and I will be making a formal complaint with them.   If a visit to base to file a complaint is necessary that will be next.,2016-10-18T22:20:09+0000,1213666152042240_1214091545333034,10206025246370817,0
45,355931204482410_1212794852129370,Great photos!  Thanks for joining us for the celebration!,2016-10-17T18:49:39+0000,1212794788796043_1212804912128364,533081100183735,1
46,355931204482410_1212515225490666,Joshua Smith this looks like it would be interesting,2016-10-17T14:45:38+0000,1212515225490666_1212587168816805,10203494487671606,1
47,355931204482410_1212515225490666,Zane Bishop,2016-10-18T01:42:32+0000,1212515225490666_1213122882096567,10203710694762563,0
48,355931204482410_1207957335946455,Thanks to all,2016-10-13T16:06:57+0000,1207957335946455_1207997902609065,10203272251990641,0
49,355931204482410_1207957335946455,Happy Birthday shipmates both past and present!,2016-10-14T15:10:25+0000,1207957335946455_1209261725816016,10153271297165961,0
50,355931204482410_1207957335946455,Jerry Boyenga,2016-10-14T20:49:25+0000,1207957335946455_1209565432452312,135439373588036,0
51,355931204482410_1206772536064935,"Anyone on ft Gordon, be on the lookout for a silver Chrysler 300 with Virginia plates. Saw him today going from gate 2 to gate 1 going well over 100mph. He was racing another silver Chrysler 300 and weaving through traffic very aggressively",2016-10-12T21:18:48+0000,1206772536064935_1207043416037847,10205691727465204,0
52,355931204482410_1201682013240654,Please keep our soldiers safe,2016-10-07T22:17:28+0000,1201682013240654_1201873363221519,107260946299769,2
53,355931204482410_1201534876588701,"I really want to thank the chain of command, for making me check in EVERY morning of my 4-day, before 0730.  It is comforting to know that they wanted to know that I was safe but NEVER, not ONCE asked if ANY of us had family in the path of Hurricane Matthew.  Thanks.  Your ""concern"" was very enlightning to me.",2016-10-11T09:10:42+0000,1201534876588701_1205378356204353,10152362146970870,0
54,355931204482410_1200953203313535,Coral ????????,2016-10-06T22:47:26+0000,1200953203313535_1201004246641764,10153274884297334,0
55,355931204482410_1200952806646908,We have some pet friendly rooms.. who needs shelter?,2016-10-06T23:36:41+0000,1200952806646908_1201035596638629,10203733410164440,2
56,355931204482410_1200899666652222,We are looking for our cat that has been missing several days.  She is black with a little white on the chest.  Her name is Gracie.  If you see her please call Charles at 937-286-1458.,2016-10-07T14:26:05+0000,1200899666652222_1201526976589491,10203104204474563,0
57,355931204482410_1200776939997828,????????,2016-10-06T18:21:25+0000,1200776939997828_1200812689994253,10153274884297334,0
58,355931204482410_1200776939997828,Coral ????????,2016-10-06T18:21:59+0000,1200776939997828_1200813029994219,10153274884297334,0
59,355931204482410_1200776939997828,Tricia Salas Brandon Salas stay safe,2016-10-07T21:42:47+0000,1200776939997828_1201845126557676,854998084530310,0
60,355931204482410_1199769926765196,Prayers.,2016-10-05T19:45:39+0000,1199769926765196_1199850430090479,1544764365738794,0
61,355931204482410_1199769926765196,Prayers for Fort Gordon!,2016-10-05T20:13:35+0000,1199769926765196_1199869256755263,639217022844080,1
62,355931204482410_1199769926765196,I didn't think we were getting hit.,2016-10-05T20:46:49+0000,1199769926765196_1199892516752937,803985576309796,1
63,355931204482410_1199769926765196,"We are not in the direct line of the storm, but there is still the chance of strong winds and heavy rain. It's best to be prepared.",2016-10-05T20:47:53+0000,1199769926765196_1199893183419537,355931204482410,7
64,355931204482410_1199769926765196,Stay safe! Prayers to all down south.,2016-10-06T02:53:12+0000,1199769926765196_1200175846724604,10205529259175784,1
65,355931204482410_1199769926765196,Kayt Ballou,2016-10-06T12:07:32+0000,1199769926765196_1200510560024466,10203315060744822,0
66,355931204482410_1199605490114973,Coral ????????,2016-10-05T16:22:55+0000,1199605490114973_1199683926773796,10153274884297334,0
67,355931204482410_1199605490114973,Kayt Ballou,2016-10-06T12:07:41+0000,1199605490114973_1200510636691125,10203315060744822,0
68,355931204482410_1199504050125117,John Bernard,2016-10-06T18:47:04+0000,1199504050125117_1200839273324928,691162097592135,0
69,355931204482410_1194193690656153,Will this be going on tomorrow? If so what time?,2016-09-30T22:25:03+0000,1194193690656153_1194198480655674,10203683229614045,0
70,355931204482410_1194193690656153,http://youtu.be/vMsU1FMRQKo,2016-09-30T23:05:43+0000,1194193690656153_1194225830652939,873789972671903,0
71,355931204482410_1194193690656153,Lacee Guerrero Victor Fernandez III,2016-10-01T00:10:47+0000,1194193690656153_1194278140647708,189660371439923,0
72,355931204482410_1194193690656153,What gate is best to enter?,2016-10-01T13:52:49+0000,1194193690656153_1194919477250241,774262675931720,0
73,355931204482410_1191974094211446,Good luck,2016-09-29T04:56:56+0000,1191974094211446_1192304184178437,10201828146417479,0
74,355931204482410_1191728530902669,Y'all are not a classy facility at all out of all my years of being around the military this is the worst place I've ever lived and I'm waiting the days my husband gets orders out of here.,2016-09-28T23:23:55+0000,1191728530902669_1192071860868336,10152321354549303,2
75,355931204482410_1191728530902669,Corrupt place to be,2016-09-29T10:55:36+0000,1191728530902669_1192516804157175,132487447111427,1
76,355931204482410_1191711844237671,Great program for married couples!! Definitely a must attend!,2016-09-28T16:09:06+0000,1191711844237671_1191725980902924,10203782622065448,0
77,355931204482410_1191600770915445,Does the Carnival start tonight?,2016-09-29T21:34:08+0000,1191600770915445_1193085054100350,10153100287909323,0
78,355931204482410_1191600770915445,"Yes, from 5-10p.m.",2016-09-30T18:11:07+0000,1191600770915445_1193991680676354,355931204482410,0
79,355931204482410_1191600770915445,The worst one I have ever seen here.  Where are all the activities?,2016-10-01T01:12:39+0000,1191600770915445_1194341710641351,1005173112832208,0
80,355931204482410_1191600770915445,Out of French fries and funnel cakes!!!,2016-10-01T01:25:03+0000,1191600770915445_1194352050640317,1005173112832208,0
81,355931204482410_1190884140987108,Kevin Brown,2016-09-27T21:25:52+0000,1190884140987108_1190896667652522,10205640881692284,1
82,355931204482410_1190884140987108,"Thanks, Tai!  I must share this interesting bit of trivia!",2016-09-27T22:29:01+0000,1190884140987108_1190941397648049,10204429341207329,1
83,355931204482410_1185587368183452,Cristina Malone,2016-09-24T01:29:42+0000,1185587368183452_1186862154722640,867082393322614,0
84,355931204482410_1185587368183452,I can watch baby after my appt. : ) it's at 9:00 on post lol. I can pick her up after.,2016-09-25T16:23:51+0000,1185587368183452_1188510611224461,10205509568005367,0
85,355931204482410_1185587368183452,"Lol for you, right lmao!",2016-09-25T16:24:04+0000,1185587368183452_1188510754557780,10205509568005367,0
86,355931204482410_1182622545146601,Bella Swinimer,2016-09-19T20:43:12+0000,1182622545146601_1182780071797515,934970623183079,1
87,355931204482410_1182622545146601,Jeremy Jensen,2016-09-19T20:48:55+0000,1182622545146601_1182786948463494,10152583620368117,0
88,355931204482410_1182622545146601,Shelly Perezmama Till after I just filled up somewhere else ??,2016-09-19T21:45:13+0000,1182622545146601_1182824968459692,10205984591467799,1
89,355931204482410_1182622545146601,Jonathan Garey I think this is why you couldn't get gas. They were closed again today.,2016-09-19T22:31:51+0000,1182622545146601_1182852421790280,10206556658018112,0
