,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,134243133299041_1231381203585223,David Lee Luntz,2016-11-24T07:48:20+0000,1231381203585223_1231638916892785,744480928918062,0
1,134243133299041_1231381203585223,Brandon Stoner,2016-11-24T08:26:01+0000,1231381203585223_1231686330221377,10205492040673145,0
2,134243133299041_1231381203585223,John Eric Serino Cruz,2016-11-24T07:04:15+0000,1231381203585223_1231593050230705,10152834766021697,0
3,134243133299041_1230242440365766,"Nice pic, Jessica! Congratulations...we love the CAC and the awesome staff!",2016-11-23T04:37:47+0000,1230242440365766_1230396750350335,10203599784624507,1
4,134243133299041_1230242440365766,Two of my favorite ladies!  Miss you both!!,2016-11-23T05:21:58+0000,1230242440365766_1230425260347484,771884816163587,1
5,134243133299041_1230242440365766,Happy Anniversary CAC...that was some good cake.,2016-11-23T03:30:36+0000,1230242440365766_1230366067020070,694884740555054,1
6,134243133299041_1230242440365766,Gezz it has been 5 years!?!,2016-11-23T21:07:29+0000,1230242440365766_1231142313609112,871210989578638,0
7,134243133299041_1230085753714768,Thank you Fort Greely!:),2016-11-22T21:50:49+0000,1230085753714768_1230103540379656,163414933729193,1
8,134243133299041_1230075640382446,Looks fun....but what is a Turkey Trot?,2016-11-22T21:18:47+0000,1230075640382446_1230086193714724,818312008236056,1
9,134243133299041_1231140670275943,"Jim Colver, Angie Stephl",2016-11-24T08:29:24+0000,1231136060276404_1231692573554086,10152611626904165,0
10,134243133299041_1218029428253734,Was this today?,2016-11-11T05:11:25+0000,1218029428253734_1218278284895515,10203996805473390,0
11,134243133299041_1218029428253734,Hello to all the service members up there in the Artic region!  I was there as a young  soldier in 77.,2016-11-11T00:40:43+0000,1218029428253734_1218036271586383,818312008236056,1
12,134243133299041_1217988064924537,"Other than basic training, spent my entire two year tour at Ft. Greely.  That was almost 50 years ago.",2016-11-10T23:44:27+0000,1217988064924537_1217995811590429,10203286252584482,1
13,134243133299041_1217988064924537,Great service today!,2016-11-11T03:28:58+0000,1217988064924537_1218167424906601,10152108972209912,1
14,134243133299041_1217988064924537,Thank you for pass it live ???? This is great ??,2016-11-10T23:34:54+0000,1217988064924537_1217990674924276,385812828225483,3
15,134243133299041_1217988064924537,God bless the USA and her Veterans.,2016-11-11T00:18:23+0000,1217988064924537_1218018984921445,722268251224744,1
16,134243133299041_1217988064924537,"Great Veterans Day event at DHS! 49th MDB Keynote speaker, Color Guard , VFW in concert with poetry, video, DHS/DMS Faculty and Staff represented our history with honor, duty and untiring respect!-Thank you Garrison / Team Greely for all the support! Still sorry I missed it but it was truly appreciative to view the recording",2016-11-20T05:06:41+0000,1217988064924537_1227266657330011,1796999913884466,1
17,134243133299041_1214959885227355,Great Game!,2016-11-08T20:57:08+0000,1214959885227355_1215973161792694,10204237596392877,0
