,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,157339981129562_550976368432586,"Yeeeeees!!! We did it. SAS children. Love it, they did amazing ??",2016-11-29T17:13:06+0000,550976368432586_551252068405016,10207503581204136,0
1,157339981129562_550976368432586,"Ola
Your boy killed it! Lmao",2016-11-29T15:02:22+0000,550976368432586_551202008410022,690646797637080,0
2,157339981129562_548390418691181,Michelle Anderson delivery??,2016-11-26T17:38:18+0000,548390418691181_550087548521468,10204663021322665,0
3,157339981129562_548334322030124,Can anyone attend or just military?,2016-11-29T00:04:27+0000,548334322030124_550965155100374,354665694742623,0
4,157339981129562_539251629605060,,2016-11-22T21:16:52+0000,539251629605060_548398612023695,157339981129562,0
5,157339981129562_539251629605060,,2016-11-22T21:16:29+0000,539251629605060_548398528690370,157339981129562,0
6,157339981129562_540636032799953,Can wait to see how they came out ??????,2016-11-24T19:21:36+0000,540636032799953_549049021958654,10201775837317703,0
7,157339981129562_534411173422439,"I was told by the cashier, they are not doing slices of pizza anymore. That's unacceptable per their menu availabilities.",2016-11-09T18:14:31+0000,534411173422439_543244329205790,690646797637080,0
8,157339981129562_539649036231986,Robert Tejada,2016-11-02T19:32:35+0000,539649036231986_540162486180641,10202926948962565,0
9,157339981129562_534447473418809,Hilsa Cabeza,2016-10-29T15:39:56+0000,534447473418809_538029316393958,10152825854261678,0
10,157339981129562_524934487703441,Eddy Capitani,2016-10-27T19:42:28+0000,524934487703441_537235516473338,10201690250002364,1
11,157339981129562_522816301248593,West Point has an ITT office - pretty extensive one. In case people find themselves 50mi north.,2016-10-23T20:16:57+0000,522816301248593_535468016650088,10152611674066398,0
12,157339981129562_522816301248593,Do they have a Facebook page with updates,2016-10-24T00:02:14+0000,522816301248593_535569253306631,10202714724442279,0
13,157339981129562_531713613692195,Danielle Lucci Quinones,2016-10-16T01:58:57+0000,531713613692195_531923053671251,10203355480670578,0
14,157339981129562_528372410692982,Free?,2016-10-09T15:24:14+0000,528372410692982_529376780592545,10152624620016731,0
15,157339981129562_528372410692982,Wish they had lessons on the weekend!,2016-10-06T22:34:56+0000,528372410692982_528383690691854,908502709162613,1
16,157339981129562_527982174065339,Nat A Lia,2016-10-06T22:17:59+0000,527982174065339_528377684025788,10155014165760657,1
17,157339981129562_527126837484206,KamalaDevi Roldan,2016-10-03T20:34:17+0000,527126837484206_527243124139244,10154426782375543,0
18,157339981129562_526375600892663,Thanks for coming! Keep following us for upcoming events,2016-10-03T23:54:13+0000,526375600892663_527283617468528,157339981129562,0
19,157339981129562_526375600892663,Enjoyed the event! Thanks for organizing this - looking forward to seeing the results posted!,2016-10-03T03:49:21+0000,526375600892663_526976580832565,10153149373811280,1
20,157339981129562_526375600892663,Great event!!!,2016-10-02T00:16:57+0000,526375600892663_526482830881940,10203707247241456,1
21,157339981129562_1138910976183204,Jeffrey Lemon,2016-09-28T00:45:38+0000,1139133819494253,301488940011166,0
