,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,159800826919_10153831392471920,Wanna go?,2016-11-29T05:36:34+0000,10153831392471920_10153831613291920,10204396147165289,0
1,159800826919_10153831371061920,December 2nd is Friday....,2016-11-29T02:36:28+0000,10153831371061920_10153831375746920,10153534599727448,1
2,159800826919_10153831371061920,Walter De Gregoris let's do this with our kids,2016-11-29T06:22:56+0000,10153831371061920_10153831656741920,10152310738045210,0
3,159800826919_10153831371061920,Jonah David Sutton can we? Plllllease,2016-11-29T02:44:14+0000,10153831371061920_10153831385681920,10154521205735300,0
4,159800826919_10153831371061920,Tom Thai?,2016-11-29T02:48:32+0000,10153831371061920_10153831389546920,10204169246339143,0
5,159800826919_10153831371061920,Melanie Marrero Mike Marrero yum!,2016-11-29T05:37:34+0000,10153831371061920_10153831614881920,10204396147165289,0
6,159800826919_10153831371061920,Justin Pingicer,2016-11-29T15:39:57+0000,10153831371061920_10153832338806920,10203066289793504,0
7,159800826919_10153818006966920,I have Christmas toys that I collect (operation home front) that I Can give if needed.,2016-11-24T02:48:14+0000,10153818006966920_10153820309191920,10154047059875315,0
8,159800826919_10153818006966920,Do you also need any elves or Santas helpers??,2016-11-24T02:31:51+0000,10153818006966920_10153820273196920,824597947582719,0
9,159800826919_10153818006966920,Johnny Ibarra,2016-11-23T16:52:35+0000,10153818006966920_10153818191561920,10202259326747215,0
10,159800826919_10153818006966920,My company High Desert Rent A Santa would love to provide a Santa for your event,2016-11-23T17:14:42+0000,10153818006966920_10153818397821920,10203328547392851,0
11,159800826919_10153816753986920,These photo frames will be available at our Holiday Market & Tree Lighting on December 2nd!,2016-11-23T15:24:09+0000,10153816753986920_10153817980886920,159800826919,3
12,159800826919_10153816753986920,Harry potter,2016-11-23T02:38:37+0000,10153816753986920_10153817092936920,554219261360805,1
13,159800826919_10153816753986920,5k run?,2016-11-23T01:06:45+0000,10153816753986920_10153816895366920,239863663099639,1
14,159800826919_10153816753986920,Harry Potter!!!!!,2016-11-22T23:40:06+0000,10153816753986920_10153816757396920,10152840663594707,1
15,159800826919_10153816753986920,Christmas Tree lighting?!!  HP ??,2016-11-23T00:04:10+0000,10153816753986920_10153816788616920,10152611455723742,1
16,159800826919_10153816753986920,Vic Foxx,2016-11-23T01:05:23+0000,10153816753986920_10153816891731920,650359305068044,1
17,159800826919_10153739771626920,My son will be 6 December 11th. Would I be able to sign him up or will he have to wait till next year?,2016-11-22T19:56:32+0000,10153739771626920_10153816369401920,10154521205735300,0
18,159800826919_10153801403631920,So you have to have tickets to go to the tree lighting?,2016-11-17T02:49:52+0000,10153801403631920_10153801485451920,10205296884920944,0
19,159800826919_10153800594661920,Don't forget sheppard and cpt mayr,2016-11-17T02:36:09+0000,10153800594661920_10153801467676920,1017044831656611,0
20,159800826919_10153800594661920,Interesting choice of photo...,2016-11-16T23:15:22+0000,10153800594661920_10153801083281920,10203042261445265,1
21,159800826919_10153800594661920,Dalton Malcolm Orvis you should get some people together and do it!,2016-11-17T23:23:07+0000,10153800594661920_10153803640956920,10205382696271551,0
22,159800826919_10153800594661920,James Lee Owens DeAndre Lyrex Richmond,2016-11-17T02:30:50+0000,10153800594661920_10153801458821920,338559402992860,2
23,159800826919_10153800594661920,Thank you for your service  and God bless you all....,2016-11-18T05:54:37+0000,10153800594661920_10153804250436920,10152771411011400,0
24,159800826919_10153800594661920,Michael Parker,2016-11-18T02:58:29+0000,10153800594661920_10153804020896920,860376407319012,0
25,159800826919_10153800594661920,Thomas RgRup,2016-11-17T07:24:36+0000,10153800594661920_10153801898721920,10152823236880932,0
26,159800826919_10153794031581920,Yemikaris Villegas-Acevedo elaras birthday,2016-11-14T17:05:16+0000,10153794031581920_10153794069696920,919802698037806,1
27,159800826919_10153794031581920,Tess Deacon Cullura,2016-11-14T22:49:13+0000,10153794031581920_10153795476326920,10153283052896699,1
28,159800826919_10153794031581920,Maggie Chavez,2016-11-14T21:48:52+0000,10153794031581920_10153795272481920,10152194706158172,0
29,159800826919_10153783944161920,Looks that way!!!,2016-11-11T15:32:27+0000,10153783944161920_10153785921041920,10205385174092528,0
30,159800826919_10153783944161920,April Denise our procrastination can continue on. ??,2016-11-11T06:25:17+0000,10153783944161920_10153784937956920,10101961844345225,0
31,159800826919_10153783380731920,Alejandra Padilla maybe pass this on to your hubby.,2016-11-10T19:42:46+0000,10153783380731920_10153783890691920,10154979340130179,0
32,159800826919_10153783380731920,Salvador?,2016-11-10T18:05:59+0000,10153783380731920_10153783705496920,895132725377,0
33,159800826919_10153776934566920,?? Harry Potter themed! Yes please!,2016-11-08T03:06:14+0000,10153776934566920_10153777340921920,10152519344307916,1
34,159800826919_10153776934566920,Melissa Nettles you know we going,2016-11-08T00:29:13+0000,10153776934566920_10153777004121920,10205163172017548,2
35,159800826919_10153776934566920,Justin Kirkpatrick we are going,2016-11-08T02:15:05+0000,10153776934566920_10153777262726920,10205296884920944,1
36,159800826919_10153776934566920,Molly Shaughnessy Samantha Young,2016-11-08T00:40:38+0000,10153776934566920_10153777023601920,10152351859429790,1
37,159800826919_10153776934566920,Robert Ancheta Sofia Hernandez ????????,2016-11-08T06:47:48+0000,10153776934566920_10153777611771920,740997355922658,2
38,159800826919_10153776934566920,Lena Spalty!!!,2016-11-08T03:47:13+0000,10153776934566920_10153777391791920,10204520506912449,0
39,159800826919_10153776934566920,Keith??,2016-11-08T14:00:53+0000,10153776934566920_10153778174071920,10205380661175604,1
40,159800826919_10153776934566920,Harry potter themed whaaaa!?  Savannah Corpening,2016-11-08T02:20:46+0000,10153776934566920_10153777273186920,991944630816463,0
41,159800826919_10153776934566920,Cindy Rivera Moche Perez,2016-11-10T05:22:41+0000,10153776934566920_10153782588101920,353514521494858,1
42,159800826919_10153776934566920,Yemikaris Villegas-Acevedo,2016-11-10T05:15:35+0000,10153776934566920_10153782582486920,919802698037806,1
43,159800826919_10153776934566920,Rafael Barbosa,2016-11-08T03:20:35+0000,10153776934566920_10153777360561920,736779356362535,0
44,159800826919_10153776934566920,April Denise,2016-11-08T02:19:09+0000,10153776934566920_10153777269986920,10205761484775985,0
45,159800826919_10153776934566920,Samantha Swigart,2016-11-08T02:13:09+0000,10153776934566920_10153777258771920,10152345679224573,1
46,159800826919_10153776934566920,Laura Cory,2016-11-10T23:56:19+0000,10153776934566920_10153784339786920,10204246258734309,0
47,159800826919_10153769055676920,Elizet Rodriguez take Evelyn and Elena!,2016-11-04T23:20:47+0000,10153769055676920_10153769238636920,10203843749241855,0
48,159800826919_10153747606891920,How old do they have to be,2016-11-11T17:14:45+0000,10153747606891920_10153786129526920,4191095032525,0
49,159800826919_10153764053071920,Bethany Preece since we just talked ??,2016-11-08T23:56:46+0000,10153764053071920_10153779393576920,10154124778551405,1
50,159800826919_10153761421246920,Thank you! ?? 3750,2016-11-02T05:46:40+0000,10153761421246920_10153762340176920,788548747858011,1
51,159800826919_10153761421246920,Im curious as to how many were in there..??,2016-11-01T22:22:27+0000,10153761421246920_10153761518861920,778400565559710,2
52,159800826919_10153761421246920,Yeyyy ????,2016-11-02T22:53:42+0000,10153761421246920_10153764312461920,168883403444513,1
53,159800826919_10153761421246920,Yes how many?,2016-11-02T00:42:12+0000,10153761421246920_10153761822426920,10152715347883037,0
54,159800826919_10153732507831920,,2016-11-01T19:55:18+0000,10153732507831920_10153761238811920,159800826919,0
55,159800826919_10153732507831920,Children that are 4 years old are free? Or 7.50? Just asking because it looks like they are included in both categories.,2016-11-01T19:32:35+0000,10153732507831920_10153761192906920,10154079829135523,1
