,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,101027597230_10153994717812231,Ask for JimorCarl,2016-11-29T16:18:26+0000,10153994717812231_10153995028352231,769589853102670,0
1,101027597230_10153993086102231,Manuel Becerra Escudero,2016-11-29T02:56:29+0000,10153993086102231_10153993928262231,947111101983797,1
2,101027597230_10153992919472231,Mary Mejia Aaron!,2016-11-28T17:52:42+0000,10153992919472231_10153993004027231,10152512240198639,2
3,101027597230_10153992919472231,Merry Christmas,2016-11-28T20:19:26+0000,10153992919472231_10153993229427231,10203612904302618,0
4,101027597230_10153992919472231,Great message and command team! Happy Holidays.,2016-11-29T03:23:54+0000,10153992919472231_10153994010812231,839677066072667,0
5,101027597230_10153992919472231,Happy Christmas. To you all. Stay safe.,2016-11-29T08:57:11+0000,10153992919472231_10153994408927231,295466617300302,0
6,101027597230_10153975328442231,Across from the parade grounds,2016-11-26T14:15:40+0000,10153975328442231_10153987883847231,10203433301665532,0
7,101027597230_10153975328442231,My father's office was in the front door & to the left when he was Ed Ctr Director.  Several other employees of the Ed Ctr are on Facebook.,2016-11-26T15:12:54+0000,10153975328442231_10153987989587231,1117810878229895,1
8,101027597230_10153975328442231,"I took courses there in the early 70s when kit was part of the U of Kentucky system,",2016-11-26T20:16:22+0000,10153975328442231_10153988618852231,159666561120880,0
9,101027597230_10153975328442231,Nice !   love,2016-11-26T23:00:10+0000,10153975328442231_10153988936337231,1796091130611270,0
10,101027597230_10153975328442231,I love that building!!!!  I think it's wher I took anatomy and physiology I.,2016-11-27T17:41:46+0000,10153975328442231_10153990677272231,10206116888339846,0
11,101027597230_10153974955592231,Jonathan Sweeney holy crap your old ??,2016-11-24T20:55:56+0000,10153974955592231_10153982874522231,1795221684041965,0
12,101027597230_10153974955592231,Happy Thanksgiving ?? ?? ??\,2016-11-24T22:47:20+0000,10153974955592231_10153983071592231,143969279275005,1
13,101027597230_10153974955592231,Very Handsome young man. That's when mess food during the holidays was traditional.,2016-11-25T15:32:30+0000,10153974955592231_10153985702162231,10201996325135072,1
14,101027597230_10153974955592231,loving the  post,2016-11-28T14:30:15+0000,10153974955592231_10153992637382231,1796091130611270,0
15,101027597230_10153979932762231,"La multi ani oameni buni,sanatate si noroc de Ziua Recunostintei!",2016-11-24T15:47:12+0000,10153979932762231_10153982237517231,198873403876593,0
