,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,86506442610_10153955291687611,Why is American flag at front gate at half mast?,2016-11-28T23:04:28+0000,10153955291687611_10153955930957611,131985830523638,0
1,86506442610_10153929807792611,Emma Evans,2016-11-19T04:15:31+0000,10153929807792611_10153930866937611,223850581298282,1
2,86506442610_10153926764767611,Kateland Anne Stewart! I am gonna miss it!! ??????,2016-11-17T15:16:26+0000,10153926764767611_10153926837032611,949178611763788,0
3,86506442610_10153923049752611,shouldn't be to much traffic at that time...,2016-11-15T21:25:39+0000,10153923049752611_10153923065202611,10204754980537587,0
4,86506442610_10153923049752611,oh... hopefully you aren't heading Northbound or Southbound on the bridge....  ;),2016-11-15T21:33:17+0000,10153923049752611_10153923082417611,10204754980537587,0
5,86506442610_10153918470827611,Lauryn,2016-11-14T17:10:24+0000,10153918470827611_10153918638127611,10202801074164085,0
6,86506442610_10153912821447611,Jennifer Dailey,2016-11-12T14:09:30+0000,10153912821207611_10153912862737611,4056293823043,0
7,86506442610_10153912821447611,My Kyle Ledoux is out there somewhere ????,2016-11-13T01:24:05+0000,10153912821207611_10153914193887611,10203208349561729,0
8,86506442610_10153912821447611,Nicolas Auboin! ??,2016-11-13T01:50:57+0000,10153912821207611_10153914234207611,10202669638117958,0
9,86506442610_10153892482677611,I'll be there.,2016-11-04T19:17:51+0000,10153892482677611_10153893250957611,10204754980537587,0
10,86506442610_10153892313017611,Question - Is this one day burn the reason all hunting areas on post are closed from 8-17 November?,2016-11-06T18:54:48+0000,10153892313017611_10153898465897611,10153618814103689,0
11,86506442610_10153884145377611,The gasoline pumps are now operational.,2016-11-01T18:42:27+0000,10153884145377611_10153884723242611,86506442610,0
12,86506442610_10153881164787611,Today's job fair was very impressive with lots of vendors.,2016-11-01T18:40:00+0000,10153881164787611_10153884719302611,86506442610,0
13,86506442610_10153881164787611,,2016-11-01T18:40:23+0000,10153881164787611_10153884720182611,86506442610,0
14,86506442610_10153881164787611,,2016-11-01T18:40:34+0000,10153881164787611_10153884720477611,86506442610,0
15,86506442610_10153867285182611,Lansing was saying 3:00.,2016-10-26T14:01:51+0000,10153867285182611_10153867367127611,10204502098212096,0
16,86506442610_10153867278662611,Jon Brisbane,2016-10-26T13:18:51+0000,10153867278662611_10153867302087611,10204579957071948,2
17,86506442610_10153852386617611,Congrats Ssg Lee.,2016-10-20T22:58:44+0000,10153852386617611_10153852455142611,789791251080453,0
