,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,148755278523144_1427668370631822,"I would volunteer my time BUT I feel that all parents should have the same certifications as any of us who have worked at the child care centers . Such as first aid/CPR, medication class and so on.",2016-11-29T14:25:03+0000,1427668370631822_1427715737293752,970491106305121,0
1,148755278523144_1423632737702052,The serving line now isn't anything like it use to be. Glad to see the improvements for our soldiers,2016-11-25T19:30:24+0000,1423632737702052_1423683401030319,10202703459487009,1
2,148755278523144_1423632737702052,such a great  post,2016-11-27T09:30:15+0000,1423632737702052_1425308637534462,1796091130611270,0
3,148755278523144_1422741357791190,My Soldier said it was awesome!  His first holiday away from home. Thank you for making it special. Thank you everyone for your service and sacrifice. God bless you all!!! ????????????,2016-11-25T02:47:54+0000,1422741357791190_1422861477779178,10203558416665111,6
4,148755278523144_1422741357791190,I was stationed at fort lee right after I had done my ait training there as well. They have always did great things for the new coming soldiers on holidays away from family and I am glad they keep doing it. Always makes me happy knowing are troops. Even if they are in training are being taken care of!,2016-11-25T04:24:32+0000,1422741357791190_1422961521102507,10202389684458111,5
5,148755278523144_1422741357791190,It's so beautiful to see the higher ranking soldiers serving the others. They need to know they are really there for them off the battlefield too. And with that being said thank you for everything  you do in the service for us to keep us safe :),2016-11-25T12:02:32+0000,1422741357791190_1423320484399944,10202029766065501,1
6,148755278523144_1422741357791190,"Oh wow,That is absolutely wonderful!! This is my daughters first Thanksgiving away from home, I'm so elated to see this awesome thing that was done for them!! God bless to all that was a part of putting it all together!!??",2016-11-25T22:43:32+0000,1422741357791190_1423853221013337,1561016304148160,0
7,148755278523144_1422741357791190,"I too ate turkey there, many moons ago! My graduation was around those days so my parents had joined , along with all other parents and family members, for Thanksgiving dinner!",2016-11-25T06:32:56+0000,1422741357791190_1423027047762621,983110595036129,1
8,148755278523144_1422741357791190,I had Thanksgiving there in the late 90's. It was awesome. It really softened the blow of being away from home during the holidays.,2016-11-25T11:53:53+0000,1422741357791190_1423316577733668,10201913937159613,1
9,148755278523144_1422741357791190,"After 5.5 years, this still brings tears to my eyes to think of all the mamas that are so happy that their kids had a real Thanksgiving!  Thank you.",2016-11-25T03:27:22+0000,1422741357791190_1422927761105883,10152329227193021,4
10,148755278523144_1422741357791190,"This is so cool:) What a great thing to do for these  soldiers ,who like my grandson are spending their first Thanksgiving away from home!",2016-11-25T01:06:40+0000,1422741357791190_1422746974457295,10203846581819645,6
11,148755278523144_1422741357791190,"This is my son's first Thanksgiving away from home, very nice thing they did for the soldiers...?",2016-11-25T01:45:15+0000,1422741357791190_1422769207788405,1570273376541513,3
12,148755278523144_1422741357791190,My grandson sent a photo of his meal and said it was almost as good as my cooking. Smart boy.,2016-11-25T01:25:15+0000,1422741357791190_1422759434456049,10204104927417054,2
13,148755278523144_1422741357791190,Thank you for all you do for our families ! It hits home .????????,2016-11-25T02:05:39+0000,1422741357791190_1422778304454162,164025017404422,2
14,148755278523144_1422741357791190,Great solider guys!!! Just remember when your nco there's a private away from home same place you where years prior,2016-11-25T01:37:50+0000,1422741357791190_1422766354455357,10152479093286537,2
15,148755278523144_1422741357791190,We did the same thing here at fort campbell at the 101 sustainment dining facility and the enjoyment i saw on the soldiers faces was heart warming for me,2016-11-25T01:46:04+0000,1422741357791190_1422769481121711,293272877526462,1
16,148755278523144_1422741357791190,Thank you so much for making my son's first Thanksgiving dinner away from home so nice.,2016-11-25T05:51:29+0000,1422741357791190_1423007637764562,10203188455256663,3
17,148755278523144_1422741357791190,Time honored tradition of serving the troops during these times!!  So glad to see that it continues!,2016-11-25T02:29:46+0000,1422741357791190_1422821561116503,10152420952396205,1
18,148755278523144_1422741357791190,I've been there many of times for my daughter. Thank you all!,2016-11-25T18:19:11+0000,1422741357791190_1423643494367643,10203323927006699,0
19,148755278523144_1422741357791190,"Don't thank your Drill Sergeant, thank your Recruiter! lol",2016-11-25T06:58:20+0000,1422741357791190_1423038487761477,10205455822851338,1
20,148755278523144_1422741357791190,Thank you all for your serving our babies..(SOLDIERS),2016-11-25T01:36:07+0000,1422741357791190_1422765474455445,756202494474236,2
21,148755278523144_1422741357791190,I remember Thanksgiving there in 1989....,2016-11-25T17:57:04+0000,1422741357791190_1423629384369054,10203566381474722,0
22,148755278523144_1422741357791190,I love this,2016-11-25T20:26:40+0000,1422741357791190_1423721891026470,10205517572487078,0
23,148755278523144_1422741357791190,Bless you all! ??,2016-11-25T10:27:39+0000,1422741357791190_1423231631075496,838526476224136,0
24,148755278523144_1422741357791190,such a great  post,2016-11-25T06:30:26+0000,1422741357791190_1423026271096032,1796091130611270,0
25,148755278523144_1422741357791190,??,2016-11-25T07:52:38+0000,1422741357791190_1423104931088166,964745673541149,0
26,148755278523144_1422741357791190,This is awesome!! My soldier is there! This is his first Thanksgiving away from home in 18years.. I spoke with him today and he was.. He was very happy and full!! ????????????,2016-11-25T05:08:17+0000,1422741357791190_1422982501100409,10207230217303740,1
27,148755278523144_1422741357791190,"I was in Basic Training back in 2012 when I experienced by first Army Thanksgiving. It was the most food we had during that time and the longest we were allowed to it.

....and then we were smoked for nearly and hour afterwards.",2016-11-25T01:44:46+0000,1422741357791190_1422769061121753,10152347065944719,2
28,148755278523144_1422400951158564,it warms my heart to see such a wonderful day prepared for all of these young people away from home.  thank all of you so very much for making such a great day for my grandson.,2016-11-24T19:54:32+0000,1422400614491931_1422429874489005,1132042816844775,4
29,148755278523144_1422400951158564,"It would be nice if the left over food was donated to a homeless shelter instead of thrown away, that would be the true meaning of the holiday. Giving to those who are less fortunate.",2016-11-24T23:04:24+0000,1422400614491931_1422627177802608,10200848982906166,0
