,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,80128057786_10154597601027787,Sending out a big thank you to all the troops I saw out there today in the rain. You guys are awesome!,2016-11-29T16:43:31+0000,10154597601027787_10154597867192787,10152423843759397,0
1,80128057786_10154597601027787,I thank them for you on my way in to work.,2016-11-29T17:15:10+0000,10154597601027787_10154597924467787,10152834968431629,0
2,80128057786_10154597463527787,Stacey Gray,2016-11-29T17:12:01+0000,10154597463527787_10154597916602787,10209444853300302,0
3,80128057786_10154595066742787,Lori Laps,2016-11-29T02:24:06+0000,10154595066742787_10154596343072787,547944891969922,0
4,80128057786_10154594891457787,Theresa Miceli,2016-11-28T12:53:27+0000,10154594891457787_10154594902552787,776090129092911,0
5,80128057786_10154594891457787,Alan Kaufman,2016-11-28T13:18:24+0000,10154594891457787_10154594956612787,649685835131285,0
6,80128057786_10154594891457787,Matt Johnson,2016-11-28T13:43:49+0000,10154594891457787_10154594999037787,10208140602931673,0
7,80128057786_10154594891457787,Lori Laps,2016-11-28T13:54:03+0000,10154594891457787_10154595011587787,547944891969922,0
8,80128057786_10154594891457787,Dalton Land Andrea Spangenberg,2016-11-28T14:13:00+0000,10154594891457787_10154595045032787,866963996667486,0
9,80128057786_10154594891457787,Monique Schoen........,2016-11-29T11:59:36+0000,10154594891457787_10154597139562787,894977580521524,0
10,80128057786_10154581859357787,Happy Thanksgiving,2016-11-23T18:03:46+0000,10154581859357787_10154581952992787,1109732292371484,0
11,80128057786_10154581859357787,"It's so great to see our Military giving thanks.  We give thanks for you !!!  Thanks Jess, we're so thankful for you and proud of you!!",2016-11-23T22:49:51+0000,10154581859357787_10154582542837787,1587866758139042,1
12,80128057786_10154581859357787,All about alcohol !!!! Why? ??,2016-11-24T08:01:20+0000,10154581859357787_10154583344712787,1442333506012580,0
13,80128057786_10154581859357787,"Militares consumiendo alcohol , ni respeto tienen por una festividad religiosa . Alcoholicense y dejenos en paz .",2016-11-24T08:02:59+0000,10154581859357787_10154583347242787,1442333506012580,0
14,80128057786_10154581859357787,Smart ppl????,2016-11-24T19:48:34+0000,10154581859357787_10154584993992787,1432576893733223,0
15,80128057786_10154579172007787,We have to cancel our 230-430 spot in case anyone was hoping for a cancellation,2016-11-24T14:34:09+0000,10154579172007787_10154583945347787,10100174106905280,0
16,80128057786_10154577942932787,That's where we are going!,2016-11-22T15:38:29+0000,10154577942932787_10154578405782787,615830851855664,0
17,80128057786_10154577942932787,Hendo Son,2016-11-22T19:15:16+0000,10154577942932787_10154579074222787,10152595720065449,1
18,80128057786_10154577942932787,Can family join us?,2016-11-24T14:35:43+0000,10154577942932787_10154583948102787,10100174106905280,0
19,80128057786_10154567027457787,"Already in. 7th trip down and haven't found a Ft. Meader yet. I know their there, so we need a tag or something.",2016-11-18T16:10:49+0000,10154567027457787_10154567517242787,148780462161677,0
20,80128057786_10154567027457787,Trying to put a team together from 780th.,2016-11-23T22:54:35+0000,10154567027457787_10154582552792787,10209040243336851,0
21,80128057786_10154565450612787,Always appreciate the updates. Thanks and have a Happy.,2016-11-17T22:54:10+0000,10154565450612787_10154565688602787,148780462161677,1
22,80128057786_10154565230597787,Is that logan,2016-11-18T09:05:48+0000,10154565230597787_10154566559137787,1082830591742611,0
23,80128057786_10154565230597787,That sailor looks familiar,2016-11-18T12:33:33+0000,10154565230597787_10154566909002787,10205438888073697,0
24,80128057786_10154565230597787,Hey- I recognize that guy!!,2016-11-18T17:38:59+0000,10154565230597787_10154567732012787,845830955432144,0
25,80128057786_10154565135747787,"Lucy Taylor I think Josh is too young, but your kids might enjoy this",2016-11-17T17:57:02+0000,10154565135747787_10154565143022787,1562760877373576,0
26,80128057786_10154565135747787,Chelsie Seger Hillenbrand,2016-11-17T18:04:44+0000,10154565135747787_10154565162392787,10151969143231529,1
27,80128057786_10154565135747787,Dave Hillenbrand,2016-11-17T18:10:37+0000,10154565135747787_10154565175282787,856687501048807,0
28,80128057786_10154565135747787,Brianna Hunter?,2016-11-17T18:18:37+0000,10154565135747787_10154565185817787,10203312882563728,1
29,80128057786_10154565135747787,David B Mills if you're off :),2016-11-17T21:46:27+0000,10154565135747787_10154565594892787,10202302848332866,0
30,80128057786_10154565135747787,Derek Buitrago,2016-11-18T01:23:42+0000,10154565135747787_10154565906712787,938003336234077,0
31,80128057786_10154565135747787,Anita Marie Singh,2016-11-18T04:11:07+0000,10154565135747787_10154566184597787,10152840202005485,0
32,80128057786_10154565135747787,Mark Pollock Sr.,2016-11-18T23:37:32+0000,10154565135747787_10154568430727787,10202814221971465,0
33,80128057786_10154564670682787,Glad to see you up and running. Get my son some housing please!,2016-11-17T15:05:06+0000,10154564670682787_10154564675647787,10203689920591454,1
34,80128057786_10154564670682787,It'll be easier when the scanner on the left side is functional. My last duty station had those and it was much easier.,2016-11-17T15:31:06+0000,10154564670682787_10154564801652787,10202143133595291,0
35,80128057786_10154562735707787,"Tickets ordered, cannot wait for a night of great music!",2016-11-17T13:44:45+0000,10154562735707787_10154564535817787,938008509584793,1
36,80128057786_10154562735707787,Al Brueggemann,2016-11-17T17:57:40+0000,10154562735707787_10154565144097787,10206403396706921,0
37,80128057786_10154562735707787,Sue Schmidt Wright we are going to this right?,2016-11-18T00:14:15+0000,10154562735707787_10154565806067787,10203857707256451,1
38,80128057786_10154555732082787,Dalton Besson-Pippins,2016-11-14T17:55:15+0000,10154555732082787_10154556003007787,688456034543432,1
39,80128057786_10154545330132787,Chris Murray,2016-11-10T18:46:28+0000,10154545330132787_10154545412352787,10203875042330407,0
40,80128057786_10154541948992787,Go Navy beat Army,2016-11-09T14:11:26+0000,10154541948992787_10154542043007787,10152794977352180,0
41,80128057786_10154541948992787,Well done Navy!!,2016-11-09T14:17:03+0000,10154541948992787_10154542057602787,10152617749001429,0
42,80128057786_10154541948992787,No no no ??,2016-11-09T15:01:18+0000,10154541948992787_10154542177057787,776882505708239,0
43,80128057786_10154541948992787,Matt Klaver,2016-11-09T15:21:05+0000,10154541948992787_10154542238437787,738537412877970,0
44,80128057786_10154541948992787,Yeah Go Navy!!!!,2016-11-09T15:38:06+0000,10154541948992787_10154542283997787,10204228960102697,0
45,80128057786_10154541948992787,Mike Gallivan did you guys go this year?,2016-11-09T22:46:36+0000,10154541948992787_10154543267882787,10204736944331016,0
46,80128057786_10154541948992787,Rick Karol,2016-11-10T02:59:48+0000,10154541948992787_10154543721287787,10202939820597583,0
47,80128057786_10154541948992787,<-face '0 EARth just posted to nsa regarding your facility,2016-11-10T15:36:12+0000,10154541948992787_10154545027612787,10205352730087186,0
48,80128057786_10154541948992787,Woop woop go Navy!,2016-11-10T19:55:30+0000,10154541948992787_10154545537697787,694789330559392,0
49,80128057786_10154541948992787,"It pains me to say, but congratulations Navy",2016-11-11T01:07:27+0000,10154541948992787_10154546206397787,10152563238208896,0
50,80128057786_10154541948992787,Wtg Navy. Awsome,2016-11-15T14:44:27+0000,10154541948992787_10154559445252787,246101578929588,0
51,80128057786_10154540024422787,"Go, soldiers!!!! Yay!! ??????",2016-11-08T20:47:42+0000,10154540024422787_10154540029392787,10152434251697562,1
52,80128057786_10154540024422787,Go NAVY!!!,2016-11-08T20:56:46+0000,10154540024422787_10154540060102787,10201562245776877,0
53,80128057786_10154540024422787,Go Navy!,2016-11-08T20:49:15+0000,10154540024422787_10154540034492787,10154047550420187,0
54,80128057786_10154540024422787,Poe!!!,2016-11-08T20:56:16+0000,10154540024422787_10154540059297787,10152578037901464,0
55,80128057786_10154540024422787,GO Army !!!,2016-11-08T20:55:09+0000,10154540024422787_10154540055832787,10152578037901464,0
56,80128057786_10154540024422787,What time does the game start?,2016-11-08T20:47:04+0000,10154540024422787_10154540027967787,771322869598266,0
57,80128057786_10154540024422787,Go Navy beat Army :),2016-11-08T20:48:48+0000,10154540024422787_10154540033147787,10152794977352180,0
