,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,368408587073_10154854254662074,Seriously? I almost thought this was the Duffel Blog when I read this.,2016-11-29T18:04:14+0000,10154854254662074_10154854363887074,1.01524E+16,0
1,368408587073_10154837278252074,So fondly remember sharing the day in the mess halls at many posts during our active duty times. A special memory!,2016-11-23T23:16:43+0000,10154837278252074_10154838087227074,9.16414E+14,1
2,368408587073_10154837278252074,"Spencer, Jennifer probably doesn't remember but we had Thanksgiving dinner at base mess hall when we lived in Hawaii!",2016-11-25T22:14:37+0000,10154837278252074_10154843611732074,1.02079E+16,0
3,368408587073_10154836771872074,Always a fun event.,2016-11-24T13:33:39+0000,10154836771872074_10154839578447074,7.01653E+14,0
4,368408587073_10154834836702074,Looks like everyone had a great time!,2016-11-22T20:26:54+0000,10154834836702074_10154834856472074,1.1039E+14,4
5,368408587073_10154832104942074,The Henry Gate is now operational,2016-11-22T20:00:13+0000,10154832104942074_10154834788522074,3.68409E+11,0
6,368408587073_10154831679852074,"^7 degrees is what we kept our barracks building at Fort Ord, as acountermeasure to the spread of Spinal Mennigitus!  Windows always open!",2016-11-22T19:50:58+0000,10154831679852074_10154834759442074,1.01541E+16,0
7,368408587073_10154822824407074,Let's go,2016-09-07T01:04:32+0000,10154544485342074_10154591816332074,6.13897E+14,0
8,368408587073_10154822824407074,BOSS  is having a NY Trip. Maria Roseboro Ebony Henderson Jessica  TheoneUwishuhad Smith Ericka Harris Clare Johnson  KerryAnn Brown,2016-09-06T18:37:06+0000,10154544485342074_10154590960807074,9.57006E+14,0
9,368408587073_10154820038052074,seems Steeler fans are everywhere. ;),2016-09-29T19:18:08+0000,10154546776822074_10154659020442074,8.09825E+14,0
10,368408587073_10154820032637074,Saw them in at Marine Barracks 8th and I street in D.C. Also saw the Marine Corps and Navy Bands. What a terrific event. Thanks 4 sharing.,2016-11-18T11:20:39+0000,10154820032637074_10154821826852074,7.21134E+14,0
11,368408587073_10154820032637074,my eyes get moist everytime I hear this unit!,2016-11-18T00:53:30+0000,10154820032637074_10154820799357074,1.01541E+16,0
12,368408587073_10154817760372074,Shane Dunham,2016-11-17T00:01:05+0000,10154817760372074_10154817923547074,8.38584E+14,0
13,368408587073_10154817752962074,OPSEC MUCH?,2016-11-17T01:52:01+0000,10154817752962074_10154818154127074,1.01384E+15,1
14,368408587073_10154817752962074,This was fun.,2016-11-17T02:22:11+0000,10154817752962074_10154818209417074,1.02037E+16,0
15,368408587073_10154817365867074,Thanks for getting the word out!,2016-11-17T12:11:04+0000,10154817365867074_10154819217012074,1.33914E+14,0
16,368408587073_10154814711962074,"Our son was in a horn line in drum corps, so had plenty of time to listen to some great drumming when I was working on sewing uniforms...you guys bring back memories of The Glassmen Drum and Bugle Corps!",2016-11-16T00:24:00+0000,10154814711962074_10154815206527074,5.83712E+14,0
17,368408587073_10154814711962074,Noli Me Tangere!,2016-11-15T23:06:34+0000,10154814711962074_10154815075777074,1.01541E+16,0
18,368408587073_10154814317157074,"As a neighbor, I have no problems. It is ridiculous to move next to a military base and cemetery that's been there for many, many years and be surprised by this. 

But then I've seen people move next to a church and complain about all the traffic on Sundays, so maybe I'm overestimating people's intelligence.",2016-11-15T18:12:29+0000,10154814317157074_10154814336417074,1.0202E+16,2
