,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,116888017071_10154721029062072,,2016-11-21T18:09:03+0000,10154721029062072_10154778038742072,116888017071,6
1,116888017071_10154721029062072,"I think the best moment was more of a realization of what I had, rather than what I didn't have. What a magnificent moment, to realize just how rich you truly are.",2016-11-03T18:38:00+0000,10154721029062072_10154721262527072,10152700099471287,2
2,116888017071_10154721029062072,We went to visit Fort Pulaski not long before #hurricanematthew. We are so sad to see the damage that was done but forever thankful for our opportunity to see it!,2016-11-03T17:53:57+0000,10154721029062072_10154721084617072,10102692526861504,1
3,116888017071_10154721029062072,2017 hasn't happened yet???,2016-11-05T18:45:05+0000,10154721029062072_10154727569077072,10204650889212495,1
4,116888017071_10154721029062072,"Precious Moment: After surviving cervical cancer in 2010 and thyroid cancer in 2012, (this summer) my PCM was concerned about the condition of my heart. After wearing this annoying monitor for a week, everything checked out ok. Positive results are always welcomed news. Cancer free and 100% healthy!!!!!",2016-11-08T20:44:25+0000,10154721029062072_10154737400392072,1422449298069249,4
5,116888017071_10154721029062072,Taking my kids and their friend to meet Kelsea Ballerini. My 7 year olds favorite singer and it was truly a special moment to see her and her friend so excited! Kids are so sweet and innocent at that age and they were on cloud 9 all night! To see them as happy as they were and surprised they had meet n greets too! I will always remember their faces and reaction!! I was the best mom in the world that night!!!!,2016-11-03T22:49:29+0000,10154721029062072_10154721820997072,568806243250791,2
6,116888017071_10154721029062072,This year has been one for the books; but my favorite moment is when my husband and his Band OutLaw who are all Active Military played on stage at the 4th Annual Veterans Salute in Hinesville Ga. November 5th this year. This was a absolute dream come true for him. He has had this dream since he was a teenager and it finally happened! I have never seen such a joy and happiness in him except when our children was born. I'm so Thankful that I was able to be there to share with him a dream of his THAT came true. We have been married 24 yrs and the joy in my heart on this day is beyond words.,2016-11-16T00:02:15+0000,10154721029062072_10154761026682072,10152672258734459,1
7,116888017071_10154721029062072,"My favorite memory of 2016 would be when all of our friends we have met through the Army during our stay here got together and went to Savannah. It's hard being so far from home and not being able to see family, but it's even harder when you make amazing friends who become family and then have to watch them move away. After Christmas the majority of our Army family will be spread across the country and we will stay here. So my favorite memory of this year that I will forever cherish is when we were all here together. 

""Wherever it is you may be, it is your friends who make your world."" Chris Bradford",2016-11-09T17:21:30+0000,10154721029062072_10154740439162072,10203631122130044,1
8,116888017071_10154721029062072,"Our most precious moment of this year was getting the corner stone of our family back from Korea and getting to hit all of our Texas Bucket list favorites before PCS-big to Fort Stewart. We will forever remember not only the day he came home, but the awesome trips to San Antonio, the Alamo, Dallas, the stockyards, Austin, Round Rock Donuts and so many more in the weeks after!",2016-11-07T04:30:57+0000,10154721029062072_10154732277457072,912427018768995,1
9,116888017071_10154721029062072,I will never forget how incredibly happy my grandpa was when he first met my daughter (on her first birthday). He was so excited about that day! He passed away a little over a month ago and I miss him terribly but I will always cherish moments like this together ?,2016-11-05T17:22:33+0000,10154721029062072_10154727266017072,892205064168883,2
10,116888017071_10154721029062072,Last night we took our girls to meet Rocky for the first time! After we walked around to each memorial and through explained them. They are 6 and 4 and for the first time I think they finally get it! Our oldest was asking questions about Veterans Day and what the soldiers did to get their names on the rocks! It was a proud moment for us!,2016-11-06T15:08:37+0000,10154721029062072_10154730365667072,1377602219222304,1
11,116888017071_10154721029062072,"A moment I will never forget was having my 1st baby July 2016 ! From my husband running around to have his paperwork in to come to SC to him actually being there. 16 hours I was nervous and uncomfortable but, she was worth it and I'm glad my husband was with us the whole time !",2016-11-04T15:52:39+0000,10154721029062072_10154723936352072,1326221320736722,1
12,116888017071_10154721029062072,"My most precious memory of this year is my husband coming back from his deployment. We haven't been able to do anything together, as a family, since he's been gone. We are lucky he is back in time for the holidays, though ??",2016-11-07T01:02:16+0000,10154721029062072_10154731836607072,342152822623212,1
13,116888017071_10154721029062072,"Hopefully my husband won't see I posted this ?? BUT this past year has been incredibly tough on my son. Daddy is very rarely home and when he is home, he's too busy working to spend much time with our son. Moments like this mean so much to be able to spend any amount of time awake or sleeping with his daddy. Hopefully daddy can stay home for more than a few weeks at a time ??",2016-11-06T18:30:08+0000,10154721029062072_10154730985512072,10201642316327499,1
14,116888017071_10154721029062072,One of my favorite memories of 2016 is taking our baby girl to the beach for the first time! She absolutely loves the water and playing in the sand. I'm grateful we got the chance to PCS here and that she got to experience the ocean before we move again.,2016-11-04T00:00:54+0000,10154721029062072_10154721948717072,10153198101708437,1
15,116888017071_10154721029062072,One wonderful moment that I'll remember from 2016 was my twins turning 3 years old!! They were born very prematurely and every birthday is a celebration of their life and who they have become!! ??,2016-11-07T20:26:51+0000,10154721029062072_10154734422067072,10152395159509423,1
