,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,645202298867308_1157649277622605,Thomas Nance,2016-11-28T15:57:27+0000,1157649277622605_1157653490955517,661389477315008,0
1,645202298867308_1157649277622605,Nicole Wright,2016-11-28T16:03:40+0000,1157649277622605_1157657730955093,855176011194466,1
2,645202298867308_1157649277622605,Kirstin Reed,2016-11-28T16:05:44+0000,1157649277622605_1157659194288280,10155511651375710,0
3,645202298867308_1157649277622605,Corey Meckes,2016-11-28T16:15:19+0000,1157649277622605_1157665900954276,790731784277843,0
4,645202298867308_1157649277622605,Richard Diana,2016-11-28T16:15:56+0000,1157649277622605_1157666117620921,10152034207106921,1
5,645202298867308_1157649277622605,Marcus Hill let's go,2016-11-28T16:16:48+0000,1157649277622605_1157666827620850,554534081331698,0
6,645202298867308_1157649277622605,Monika Rodriguez,2016-11-28T16:17:10+0000,1157649277622605_1157666984287501,10154071209910010,1
7,645202298867308_1157649277622605,Deiondra Butler lets go ????,2016-11-28T16:17:22+0000,1157649277622605_1157667077620825,10203630605699276,0
8,645202298867308_1157649277622605,Victoria Best!!!!! Wanna go again?,2016-11-28T16:27:20+0000,1157649277622605_1157674274286772,935492406477270,0
9,645202298867308_1157649277622605,Kwanza Campbell Celathia Smith,2016-11-28T16:32:38+0000,1157649277622605_1157678417619691,10205459118980039,0
10,645202298867308_1157649277622605,Steve Holtzclaw,2016-11-28T16:32:56+0000,1157649277622605_1157678680952998,1070554876304437,0
11,645202298867308_1157649277622605,Terence Scott,2016-11-28T16:40:03+0000,1157649277622605_1157689617618571,10152601261465838,0
12,645202298867308_1157649277622605,Kole Taylor Gemmill we should go to the parade,2016-11-28T16:44:54+0000,1157649277622605_1157692900951576,315709588625252,0
13,645202298867308_1157649277622605,Stephen Schenkel,2016-11-28T16:51:28+0000,1157649277622605_1157701167617416,711224962261726,0
14,645202298867308_1157649277622605,Albert Wheat,2016-11-28T16:58:54+0000,1157649277622605_1157706014283598,969433156406651,0
15,645202298867308_1157649277622605,Joseph Riopelle,2016-11-28T16:59:42+0000,1157649277622605_1157706754283524,10203371873995569,1
16,645202298867308_1157649277622605,Kaylie O'Brien wanna take the kids?,2016-11-28T16:59:49+0000,1157649277622605_1157706937616839,10202808025556320,1
17,645202298867308_1157649277622605,Nanda Johnson,2016-11-28T17:03:42+0000,1157649277622605_1157709267616606,577429989024266,0
18,645202298867308_1157649277622605,Rosy Estrada Heather Cromwell Gaige Briza Mendez Garcia Mallory Adamson holiday parade!,2016-11-28T17:09:46+0000,1157649277622605_1157716737615859,10201642316327499,4
19,645202298867308_1157649277622605,Damien Snyder wanna take kenz?,2016-11-28T17:19:37+0000,1157649277622605_1157721014282098,10152321523701131,0
20,645202298867308_1157649277622605,Roberto Loo,2016-11-28T17:30:29+0000,1157649277622605_1157727297614803,10202760619089988,0
21,645202298867308_1157649277622605,Dennis Ocampo,2016-11-28T17:33:08+0000,1157649277622605_1157728804281319,10101650347996457,1
22,645202298867308_1157649277622605,Tori Mitchell,2016-11-28T17:50:25+0000,1157649277622605_1157738667613666,754381187970864,0
