,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,288818151198_10153837702756199,Rob Hodgman See if you can enter.... ??,2016-11-29T01:41:54+0000,10153837702756199_10153838280891199,10152394209249099,0
1,288818151198_10153837933661199,Andrew Quo'Vadis Parker recognize anyone?,2016-11-29T07:18:22+0000,10153837933661199_10153838705371199,955717567789158,0
2,288818151198_10153835348196199,"Watch a Christmas movie each night, while wrapping gifts.",2016-11-28T20:15:40+0000,10153835348196199_10153837708391199,10106370520881974,2
3,288818151198_10153835348196199,"decorate the house.  each night turn all the Christmas lights on, and everything else off....remember when I was 7 years old.  Great memories.  Can't wait to make some memories with my grandkids, they can remember.",2016-11-28T19:34:37+0000,10153835348196199_10153837636821199,898052276875905,2
4,288818151198_10153837592151199,Alma Zepeda,2016-11-29T15:00:36+0000,10153837592151199_10153839268271199,10206882608924486,0
5,288818151198_10153837592151199,Abigail Turrubiartes Dana Hartley,2016-11-29T14:12:01+0000,10153837592151199_10153839198611199,1515466868704991,0
6,288818151198_10153837499286199,Is it mandatory?,2016-11-28T18:12:41+0000,10153837499286199_10153837506566199,10152148896156245,0
7,288818151198_10153837499286199,Merry Christmas!,2016-11-29T15:49:38+0000,10153837499286199_10153839340151199,800398056686340,0
8,288818151198_10153837499286199,Burnout Eugarps,2016-11-28T18:26:18+0000,10153837499286199_10153837529581199,10152247125808727,0
9,288818151198_10153837499286199,Michael Kane,2016-11-28T20:55:40+0000,10153837499286199_10153837796796199,10204841412787842,0
10,288818151198_10153836462311199,Ashlea Gigante,2016-11-28T06:05:51+0000,10153836462311199_10153836468906199,10202920509840501,0
11,288818151198_10153836462311199,Penny Preston-Eims,2016-11-28T06:10:19+0000,10153836462311199_10153836472081199,10152621060303579,0
12,288818151198_10153835358171199,Abby Lewis,2016-11-29T06:14:55+0000,10153835358171199_10153838631091199,10204842845369594,1
13,288818151198_10153835358171199,Barry Burt,2016-11-28T17:12:48+0000,10153835358171199_10153837399801199,787692791271947,0
