,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,153055964751512_1189302644460167,I love this place! My 1st year in the area and we joined. Have you considered memberships with prices based on the amount of people in a family? I paid the same price for 2 people as my friends did for their family of 6. The price is a great deal for big families but for a single mom with 1 child it's way too expensive. I'd love to come back next year but I can't justify spending  $600 for 2 people. Too rich for my blood. :(,2016-09-07T11:11:04+0000,1189302644460167_1189314044459027,10203431007006270,0
1,153055964751512_1189302644460167,It was another fabulous summer at our favorite place. Thank you to all the staff and lifeguards! We can't wait till next year.,2016-09-07T17:33:34+0000,1189302644460167_1189627024427729,10152533391554813,0
2,153055964751512_1132304783493287,what time do you open frog falls on Monday July 4th?,2016-06-30T19:52:12+0000,1132304783493287_1135954839794948,10152911345574031,0
3,153055964751512_1125662050824227,the one with white socks to almost knees second row....grey army shirt and black shorts//,2016-06-15T02:31:12+0000,1125662050824227_1126075767449522,10205089582972332,0
4,153055964751512_1106452589411840,Is 2 years old to young for swimming lessons,2016-05-16T00:06:12+0000,1106452589411840_1107940449263054,10155501934400655,0
5,153055964751512_1106452589411840,First responders? Does that include law enforcement members for certain areas in NJ?,2016-05-16T04:45:12+0000,1106452589411840_1108063425917423,10101221036016092,0
6,153055964751512_1106452589411840,"I live in Byram Township am I eligible?

if not my father is a Vietnam vet he has a house in Sparta would I  be eligible",2016-05-17T22:55:43+0000,1106452589411840_1109082379148861,976057632540623,0
7,153055964751512_1106452589411840,My mailing address is Stanhope but my physical address for garbage collection etc. is Hopatcong. So do I qualify as being in a partnered town?  (Hopatcong),2016-05-17T11:40:25+0000,1106452589411840_1108767569180342,10204749756679896,0
8,153055964751512_1106452589411840,I have left numerous messages to secure a date for a birthday party.  I got one return call and nothing since.,2016-05-15T20:50:49+0000,1106452589411840_1107872735936492,10202107502524097,1
9,153055964751512_1106452589411840,Will you swim lessons for kids this year?,2016-05-14T01:03:35+0000,1106452589411840_1106758089381290,759934850683565,1
10,153055964751512_1106452589411840,Just curious. If you are ems in morris county but not in listed town are you able to join?,2016-05-16T02:54:51+0000,1106452589411840_1108023819254717,10206209488985797,0
11,153055964751512_1106452589411840,"I wish it was open to Mt. Olive
teachers!",2016-05-17T05:32:54+0000,1106452589411840_1108648799192219,10152933635428336,0
12,153055964751512_1106452589411840,Do you have to have a membership to gain access for one day?,2016-05-15T21:32:59+0000,1106452589411840_1107885165935249,10102533667496903,0
13,153055964751512_1106452589411840,How does a town become a partner? Blairstown is closer than some towns listed.,2016-05-16T00:49:15+0000,1106452589411840_1107957535928012,10152169206074550,0
14,153055964751512_1106452589411840,There is no way to join if we live in Hackettstown? My dad worked at Picatinny for more than 40 years. I would love to be able to join.,2016-05-16T03:11:26+0000,1106452589411840_1108029202587512,10207915392545705,0
15,153055964751512_1106452589411840,"Not Byram, huh? ??",2016-05-17T11:32:12+0000,1106452589411840_1108764119180687,10202799353814308,0
16,153055964751512_1106452589411840,Burr!!,2016-05-15T23:05:04+0000,1106452589411840_1107921002598332,962026713812409,0
17,153055964751512_1106452589411840,"Everyone keeps talking about expensive for one person... At $395 divided by 101 that is $3.91 a day! 
If you go 60 days the entire summer you are at $6.58! 
You do know there are life guards on duty for more an hour then you are paying for a day! 

It is a great place where I don't have to worry about people having alcohol or smoking near my children!  It's great! 

Maureen and her crew are fabulous!",2016-05-17T01:16:27+0000,1106452589411840_1108563682534064,10152886518008723,2
18,153055964751512_1106452589411840,Good morning ! We live in Vernon ! We are an Army grandparents ! Can we register for to come with our grandkids !,2016-05-17T12:36:31+0000,1106452589411840_1108786842511748,867867019895766,0
19,153055964751512_1106452589411840,The price to join for one person $395 is ridiculously high,2016-05-15T22:03:08+0000,1106452589411840_1107896505934115,1135807809764890,7
20,153055964751512_1106452589411840,Are you open every day from May 28th on? Or just on weekends for now?,2016-05-27T16:37:43+0000,1106452589411840_1115141475209618,10206274412199426,0
