,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,660412297385909_1156708491089618,Good day pls can I work in ur hospital,2016-11-25T06:21:42+0000,1156708491089618_1187519881341812,889619484505571,0
1,660412297385909_1143501979076936,I made my contribution already !,2016-10-14T17:54:15+0000,1143501979076936_1143734312387036,10152112769425617,0
2,660412297385909_1129651743795293,Courtland Walker,2016-09-29T18:38:10+0000,1129651743795293_1129652970461837,728048140353,0
3,660412297385909_1129651743795293,Brian Scott,2016-09-29T20:37:04+0000,1129651743795293_1129731467120654,10204289492345453,0
4,660412297385909_1129651743795293,Landen walker did you see this,2016-09-29T21:02:41+0000,1129651743795293_1129744790452655,250189221849861,0
5,660412297385909_1129651743795293,Cody Crawford,2016-09-29T22:02:26+0000,1129651743795293_1129777270449407,10152886812683044,0
6,660412297385909_1129651743795293,Katina Watson-Wade,2016-09-29T22:39:52+0000,1129651743795293_1129804613780006,260077270993684,0
7,660412297385909_1129651743795293,Sharon Wilson Perdue,2016-09-30T01:26:45+0000,1129651743795293_1129897597104041,10205324842427927,0
8,660412297385909_1129651743795293,Jake ThaSnake Easter,2016-09-30T02:00:50+0000,1129651743795293_1129930193767448,10152826183544435,0
9,660412297385909_1102263836534084,Great place to work. Proud to have been a part of America's Arsenal.,2016-08-29T20:16:59+0000,1102263836534084_1102302859863515,10203763519267739,5
10,660412297385909_1102263836534084,Yes to Judy Crider answer,2016-08-30T00:50:32+0000,1102263836534084_1102585073168627,301642246712964,3
11,660412297385909_1102263836534084,Makes me proud.,2016-08-30T14:03:36+0000,1102263836534084_1103076566452811,864612393587589,2
12,660412297385909_1102263836534084,Celebrity  I'm sorry I must have missed you...lol Bianca Wilcher Battles,2016-08-30T16:44:31+0000,1102263836534084_1103182926442175,1618171818424555,3
13,660412297385909_1102263836534084,I see you Evelyn McArthur in this video. Looking good!,2016-08-31T00:14:40+0000,1102263836534084_1103465409747260,10205898397971164,1
14,660412297385909_1102263836534084,Great Job!!!,2016-08-31T03:42:36+0000,1102263836534084_1103585476401920,10203644825550291,1
15,660412297385909_1102263836534084,"38 GREAT YEARS, AND A VERY NICE RETIREMENT. PLUS I GOT TO WORK AROUND MY SON, WHO I AM SO PROUD OF THE MAN HE BECAME. 
??????????????????  USMC",2016-08-31T06:48:54+0000,1102263836534084_1103707649723036,746789245380461,1
16,660412297385909_1102263836534084,"Bioconsumables, Dr. Tadros and I did that.",2016-08-31T23:25:02+0000,1102263836534084_1104343259659475,10153291249097014,3
17,660412297385909_1102263836534084,I see ya Cuz!!!,2016-09-01T20:14:42+0000,1102263836534084_1105116952915439,10154137062714722,1
18,660412297385909_1050561591704309,Ronnie Harrell,2016-06-24T00:39:48+0000,1050561591704309_1050872208339914,10201683910614418,0
19,660412297385909_1045002492260219,Way to go PBA!,2016-06-15T16:32:28+0000,1045002492260219_1045007412259727,1478897085713726,0
20,660412297385909_1045002492260219,Way to go! !,2016-06-16T01:15:43+0000,1045002492260219_1045283832232085,1448471175473273,0
21,660412297385909_1035269159900219,Rickey AndKristen Ray.,2016-05-31T19:42:53+0000,1035269159900219_1035286133231855,10205378584804333,0
22,660412297385909_1035269159900219,Marylinda Farnell,2016-05-31T19:54:40+0000,1035269159900219_1035289879898147,10205383929622275,0
23,660412297385909_1035269159900219,LaTonda Matthews,2016-05-31T20:26:15+0000,1035269159900219_1035308639896271,10204082979728160,0
24,660412297385909_1035269159900219,Courtland Walker,2016-05-31T21:01:34+0000,1035269159900219_1035325733227895,728048140353,0
25,660412297385909_1035269159900219,Edith Warren-Epperson,2016-05-31T21:43:45+0000,1035269159900219_1035339649893170,10202072920145014,0
26,660412297385909_1035269159900219,Bree Chase,2016-06-01T02:14:08+0000,1035269159900219_1035449429882192,10202334698607642,0
27,660412297385909_1035269159900219,Jeremy Wallace you said you were looking for a job.,2016-06-02T21:18:23+0000,1035269159900219_1036563489770786,842643149119082,0
