,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,192848048881_10154336484668882,"Wow, they still do that, I remember in the 80's my patrols took turns going there for dinner. Thank you Presidio??????",2016-11-28T20:24:59+0000,10154336484668882_10154336712993882,744966012200776,0
1,192848048881_10154336484668882,I remember our Cadre serving us my first Thanksgiving at DLI.,2016-11-29T02:51:00+0000,10154336484668882_10154337398033882,10204169343541332,0
2,192848048881_10154336484668882,Thank you for your service!,2016-11-28T23:00:18+0000,10154336484668882_10154336991153882,780480085337682,0
3,192848048881_10154336484668882,Thanks for your service,2016-11-29T04:14:00+0000,10154336484668882_10154337570268882,753232868049739,0
4,192848048881_10154326666738882,Lilyanne Elizabeth Thornton is this you in the video?,2016-11-26T04:33:37+0000,10154326666738882_10154329640808882,10204120200297928,0
5,192848048881_10154320042983882,"Happy Thanksgiving, Presidio of Monterey.",2016-11-24T17:06:11+0000,10154320042983882_10154325581688882,1413899755603996,1
6,192848048881_10154320110958882,2015,2016-11-22T18:28:59+0000,10154320110958882_10154320113938882,192848048881,2
7,192848048881_10154320110958882,2012,2016-11-22T18:29:33+0000,10154320110958882_10154320115068882,192848048881,1
8,192848048881_10154320110958882,2013,2016-11-22T18:29:19+0000,10154320110958882_10154320114638882,192848048881,1
9,192848048881_10154320110958882,Josh Duhamel in 2010,2016-11-22T18:29:56+0000,10154320110958882_10154320115753882,192848048881,0
10,192848048881_10154320110958882,Josh Duhamel in 2016,2016-11-22T18:28:26+0000,10154320110958882_10154320113133882,192848048881,1
11,192848048881_10154320110958882,Stay tuned! We have more player commitments coming soon. Thank you for sharing these great photos.,2016-11-23T04:05:34+0000,10154320110958882_10154321195243882,45860050023,1
12,192848048881_10154320110958882,coordinated the AF volunteers from 95-98.  I miss those days!,2016-11-22T18:31:39+0000,10154320110958882_10154320118348882,10207430555991611,0
13,192848048881_10154320110958882,Sean Martin,2016-11-23T02:49:32+0000,10154320110958882_10154321042388882,10204979256618721,0
14,192848048881_10154306404103882,Metin,2016-11-22T15:10:51+0000,10154306404103882_10154319723403882,10153862228058268,0
15,192848048881_10154309478543882,Your slash is in the wrong direction.,2016-11-18T21:11:29+0000,10154309478543882_10154309520993882,10202982934907673,1
16,192848048881_10154308922263882,Dominic Wickliff!!!!!!,2016-11-18T22:34:56+0000,10154308922263882_10154309715298882,1114746091873995,0
17,192848048881_10154308922263882,Harrison Lane,2016-11-18T22:41:55+0000,10154308922263882_10154309740653882,840584169313934,0
18,192848048881_10154308922263882,Jessica Knowlton!,2016-11-18T20:13:01+0000,10154308922263882_10154309396963882,1626832860883901,1
19,192848048881_10154306379778882,"Joseph Smith, if you didn't want to bring lunch tomorrow.",2016-11-18T01:45:27+0000,10154306379778882_10154306688588882,905991569413460,0
20,192848048881_10154306379778882,I thought I was reading SKATS for a second.,2016-11-18T15:20:04+0000,10154306379778882_10154308613558882,865714823481236,0
21,192848048881_10154303983323882,-,2016-11-17T16:44:41+0000,10154303983323882_10154305591833882,155934061445194,0
22,192848048881_10154298707968882,Don't let the developers & realtors see this pic ;),2016-11-15T03:03:59+0000,10154298707968882_10154299424958882,10152704952863368,1
23,192848048881_10154298707968882,Great picture!,2016-11-15T00:40:53+0000,10154298707968882_10154298797348882,696978413721088,1
24,192848048881_10154298345433882,"POm Color Guard, 1984. Love this photo.",2016-11-14T22:32:29+0000,10154298345433882_10154298364923882,10206133359915673,0
25,192848048881_10154291080128882,Thank you for bringing this to our attention.  Your observation has been passed to the event organizers.,2016-11-17T16:24:15+0000,10154291080128882_10154305560068882,192848048881,0
26,192848048881_10154291080128882,Hang the flag properly next time please. ??,2016-11-12T21:32:41+0000,10154291080128882_10154291277423882,776200865724333,2
27,192848048881_10154291080128882,best Monterey fan !,2016-11-13T01:13:06+0000,10154291080128882_10154291666403882,204107049955148,1
28,192848048881_10154291080128882,anyone else  like   this post as much as i do,2016-11-13T05:41:05+0000,10154291080128882_10154292213483882,177141939397046,0
29,192848048881_10154288797988882,God bless the united state army the air force navy marines much love coming from isabelle stewart collins,2016-11-12T18:49:36+0000,10154288797988882_10154290825618882,162772590861539,0
30,192848048881_10154286008318882,Black Daggers. Pretty cool.,2016-11-12T18:30:43+0000,10154286008318882_10154290791913882,1795558034101065,0
31,192848048881_10154286008318882,Mario Billingslea,2016-11-12T18:21:23+0000,10154286008318882_10154290775938882,405807632917523,0
32,192848048881_10154285998983882,,2016-11-11T17:06:39+0000,10154285998983882_10154287847738882,10152704952863368,1
33,192848048881_10154285998983882,Thank you and God BlessYou!!!!,2016-11-12T07:13:33+0000,10154285998983882_10154289552648882,10205746563102944,0
34,192848048881_10154285125868882,Dominic Wickliff I want Olive Garden.,2016-11-10T23:42:24+0000,10154285125868882_10154286058693882,1114746091873995,0
35,192848048881_10154285125868882,Harrison Lane,2016-11-10T21:06:03+0000,10154285125868882_10154285754973882,840584169313934,1
36,192848048881_10154280199058882,Tanya Moons Stephanie Princess Escalera :D,2016-11-09T03:50:19+0000,10154280199058882_10154280670773882,10203878492376299,2
37,192848048881_10154280199058882,Jessica Knowlton!,2016-11-09T00:23:49+0000,10154280199058882_10154280211713882,1626832860883901,1
38,192848048881_10154279414888882,Justin Heddleson,2016-11-08T22:36:34+0000,10154279414888882_10154280002513882,10152328623008418,0
39,192848048881_10154276748828882,-,2016-11-08T20:44:07+0000,10154276748828882_10154279768583882,155934061445194,0
40,192848048881_10154276748828882,,2016-11-08T14:39:37+0000,10154276748828882_10154278840968882,10152547840173415,1
41,192848048881_10154259022823882,"Not ""everybody"" ????????",2016-11-05T21:24:31+0000,10154259022823882_10154271089453882,10203542728589995,0
42,192848048881_10154267922008882,See more photos here: https://www.flickr.com/photos/presidioofmonterey/albums/72157674663971972,2016-11-04T21:17:07+0000,10154267922008882_10154268090678882,192848048881,1
43,192848048881_10154264828638882,I loved driving to and from DLI from Ft. Ord. I would often remind myself how fortunate I was to have this for my daily drive to work and such a beautiful view from my classroom. I knew even at 19 how lucky I was and to appreciate it and not take it for granted.,2016-11-04T03:38:21+0000,10154264828638882_10154265927038882,729800567106111,1
44,192848048881_10154264828638882,I am proud to say that this is my permanent view and I love working for DLIFLC.,2016-11-04T04:07:35+0000,10154264828638882_10154265963608882,173220889734913,1
45,192848048881_10154264828638882,Had that view for 9 months in 1970-1971 from 3rd floor of what was then Co C barracks for RU students. Was able to watch night fire tracers at Ft Ord.,2016-11-04T00:49:35+0000,10154264828638882_10154265561108882,978470808863916,0
46,192848048881_10154264828638882,My morning and evening view for over nearly 11 months as a student in Russian School 1966-67,2016-11-04T15:46:46+0000,10154264828638882_10154267226028882,871714699505738,0
47,192848048881_10154264828638882,That is a really good view of the bay. JKM :-),2016-11-04T22:52:47+0000,10154264828638882_10154268293898882,384806771674658,0
48,192848048881_10154264828638882,Just don't let the realtors & developers near the place,2016-11-03T23:31:35+0000,10154264828638882_10154265444758882,10152704952863368,0
49,192848048881_10154264828638882,Loved that view!  Enjoyed it for an entire year!,2016-11-03T20:40:12+0000,10154264828638882_10154265130468882,10202811307436492,0
50,192848048881_10154264828638882,Man I remember when I lived here and it's still pretty,2016-11-03T18:56:00+0000,10154264828638882_10154264844638882,860260990655640,0
51,192848048881_10154264828638882,Always love that view. Spent 6 years at DLI. Great.,2016-11-03T20:47:20+0000,10154264828638882_10154265143063882,10203893511644536,0
52,192848048881_10154264828638882,Just got back from there!  Beautiful!,2016-11-03T19:21:59+0000,10154264828638882_10154264898593882,10202536671110431,0
53,192848048881_10154264828638882,My view from 79-80,2016-11-04T01:37:58+0000,10154264828638882_10154265661983882,1072765916088930,0
54,192848048881_10154259853893882,Nathan Bahr,2016-11-02T17:05:03+0000,10154259853893882_10154261775673882,10202917992460160,0
55,192848048881_10154255558173882,,2016-10-31T21:09:10+0000,10154255558173882_10154256203463882,216139925485563,0
56,192848048881_10154255558173882,Adrianna Calamita,2016-10-31T19:53:03+0000,10154255558173882_10154256031183882,1668299733392015,1
57,192848048881_10154247207333882,,2016-10-29T17:10:44+0000,10154247207333882_10154248928378882,216139925485563,0
58,192848048881_10154247207333882,"CONGRATULATIONS,and thanks",2016-10-29T14:16:32+0000,10154247207333882_10154248484733882,265561233841226,0
59,192848048881_10154242750608882,Jennifer Person,2016-10-29T11:47:57+0000,10154242750608882_10154248187563882,1066562753359348,0
60,192848048881_10154243533313882,My birthplace!,2016-10-29T01:57:25+0000,10154243533313882_10154247014293882,10206257743508106,0
61,192848048881_10154241052008882,Thanks for posting!,2016-10-27T03:48:22+0000,10154241052008882_10154241662738882,10205872712681361,1
62,192848048881_10154240954093882,"Some of the CA Natl Guard staff who mis-promised HAVE been punished.  VERY glad the duped soldiers will not have to pay back after fulfilling their obligations and service!

http://www.npr.org/sections/thetwo-way/2016/10/23/499065155/u-s-soldiers-told-to-repay-thousands-in-signing-bonuses-from-height-of-war-effor

""A scandal over the California National Guard's use of bonus money was first unearthed in 2010, when the Sacramento Bee reported that its incentive program had misspent as much as $100 million. The program's onetime leader, former Master Sgt. Toni Jaffe, was later sentenced to 30 months in prison, after pleading guilty to making $15 million in false claims.""",2016-10-27T18:08:29+0000,10154240954093882_10154243119248882,10205551241759279,1
63,192848048881_10154240954093882,Now will they refund those people they took the money from? Those they are causing severe hardship because of this?,2016-10-27T01:29:49+0000,10154240954093882_10154241380733882,10202732297203000,2
64,192848048881_10154240954093882,Congress has known about this for two years and have refused to act. Vote those em effers out of office!,2016-10-27T03:42:01+0000,10154240954093882_10154241648048882,10203626342238427,1
65,192848048881_10154240954093882,talk to your congressional representatives... they knew 2 years ago... and did nothing.,2016-10-27T17:09:27+0000,10154240954093882_10154243009738882,10204303306884242,0
66,192848048881_10154240954093882,"Sometimes, common sense does prevail.",2016-10-26T21:06:13+0000,10154240954093882_10154240960068882,10202981125472740,5
67,192848048881_10154240954093882,"Finally, a good decision from this man!",2016-10-26T21:52:14+0000,10154240954093882_10154241040948882,696978413721088,3
68,192848048881_10154240954093882,So glad to hear this!,2016-10-26T21:14:12+0000,10154240954093882_10154240979593882,10152069022167986,2
69,192848048881_10154238451038882,Look at that background! I loved my time in Monterey and Fort Ord!,2016-10-25T23:42:51+0000,10154238451038882_10154238487918882,10152147877323510,0
70,192848048881_10154237485298882,"Do we need to RSVP for a parking space, or just show up? And is this happening rain or shine?",2016-10-28T20:11:20+0000,10154237485298882_10154246307303882,781910308488857,0
71,192848048881_10154237485298882,We're buying prizes today! Going to be some good stuff - come out and support!,2016-10-25T16:03:30+0000,10154237485298882_10154237556643882,10202785486258400,1
72,192848048881_10154237485298882,Trump or treat?,2016-10-25T15:41:39+0000,10154237485298882_10154237522838882,804234209633175,0
73,192848048881_10154237485298882,Gina Leonhart Melissa Sanders Tamara St. Louis,2016-10-25T16:11:47+0000,10154237485298882_10154237568193882,10204338883165016,1
74,192848048881_10154226869233882,That's my daughters shirt. Any way to get a copy of this picture?,2016-10-21T22:29:47+0000,10154226869233882_10154227020018882,10155200725645651,4
75,192848048881_10154223596178882,09July2016? Ahh I was in JBLM back then !!,2016-10-20T19:39:04+0000,10154223596178882_10154223641503882,390429531125918,0
76,192848048881_10154223596178882,The event is really Oct 22 1000-1400. The flyer should be updated shortly. Please support the Phoenix Company from DLI!!! We Never Quit!! :),2016-10-21T00:28:06+0000,10154223596178882_10154224220248882,973243479454610,0
77,192848048881_10154223596178882,What is a waterless car wash?,2016-10-20T19:37:39+0000,10154223596178882_10154223636008882,10203455469060331,6
78,192848048881_10154223596178882,Following. And what's that requested donation / cost amount?,2016-10-21T05:11:36+0000,10154223596178882_10154224848388882,10202722744937533,0
79,192848048881_10154223090718882,FYI - here's the list of scheduled participating employers:,2016-10-20T16:34:26+0000,10154223090718882_10154223095493882,192848048881,1
80,192848048881_10154220841818882,Bruce Jones Jr.,2016-10-20T00:20:15+0000,10154220841818882_10154220977038882,10153626481500742,1
81,192848048881_10154217616723882,"Great work by all to bring this to completion. Team Montery is an example of passion, persistence and people dedicated to making a difference.",2016-10-19T02:15:53+0000,10154217616723882_10154217991568882,166739060035912,1
