,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,190556161005811_1241236242604459,Awesome!!!,2016-11-13T00:09:20+0000,1241236242604459_1241279695933447,10203584364154190,0
1,190556161005811_1241236242604459,Very cool!!!!,2016-11-13T06:01:09+0000,1241236242604459_1241497955911621,10205448833766163,0
2,190556161005811_1237477386313678,Incredible day!  A special thanks to COLTom Duncan for supporting the battalion Leadership Professional Development. So much to be learned in our formation from what this team does on a daily basis.,2016-11-09T02:53:35+0000,1237477386313678_1237547412973342,10205270778667080,1
3,190556161005811_1193953627332721,"One of the early computer visionaries was a woman, US Navy Rear Admiral Grace Hopper",2016-10-20T15:23:05+0000,1193953627332721_1219895118071905,799533716723350,1
4,190556161005811_1192364757491608,Congratulations! Great job!,2016-09-20T20:18:01+0000,1192364757491608_1192400347488049,683583291714396,1
5,190556161005811_1186228684771882,What exactly is employee career success?,2016-09-13T23:43:45+0000,1186228684771882_1186240808104003,683583291714396,0
6,190556161005811_1186228684771882,Excellent!  Kim is a superstar and I am glad you have her!!!,2016-09-14T08:51:13+0000,1186228684771882_1186549171406500,10202334445562634,0
7,190556161005811_1180664541994963,Wow!  Only flag flown is at the Commander's office...we wanted to fly that flag through construction...awesome!,2016-09-08T21:19:28+0000,1180664541994963_1180702205324530,683583291714396,0
8,190556161005811_1180664541994963,Awesome!  Still have the flag I received when I left our site in Oregon.  So very proud to have been a part of the project!!  Natasha Haupt,2016-09-09T15:19:53+0000,1180664541994963_1181414655253285,886553384692279,2
9,190556161005811_1179727048755379,Excellent,2016-09-07T23:35:13+0000,1179727048755379_1179759532085464,10155317218585252,0
10,190556161005811_1179727048755379,Outstanding job all!,2016-09-08T00:41:19+0000,1179727048755379_1179816178746466,10202597661595456,0
11,190556161005811_1179727048755379,Look at my bro Royce! Haha,2016-09-08T02:54:55+0000,1179727048755379_1179920798736004,10203049255623742,0
12,190556161005811_1179727048755379,This was our first load of live mustard agent . I was driver standing on far right.,2016-09-08T13:04:14+0000,1179727048755379_1180284908699593,1704475709869261,0
