,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,401671570245_10157613305395246,hbd,2016-11-10T17:26:16+0000,10157613305395246_10157657811120246,1605386499755868,1
1,401671570245_10157609379020246,"Good for  you, Pete!",2016-11-01T08:39:47+0000,10157609379020246_10157612353980246,10203170686129661,2
2,401671570245_10157587074310246,I feel her pain. I was in Hawaii in 2004 and similarly there were no Sox fans. Until I threw a party for my lab mates.  Then there were lots of new Sox fans.  Go Tribe!  (sorry but my in-laws are from Cleveland area),2016-10-27T14:33:12+0000,10157587074310246_10157587109480246,799185776856002,1
3,401671570245_10157572294840246,"Way to go, Rob!!!",2016-10-24T12:33:32+0000,10157572294840246_10157572454110246,10203170686129661,1
4,401671570245_10157572294840246,NICE! Congrats,2016-10-24T13:09:11+0000,10157572294840246_10157572541655246,10203588353697972,1
5,401671570245_10157485280560246,Michael Lounsbury want to go?,2016-10-19T16:11:34+0000,10157485280560246_10157548039500246,10205549315145032,1
6,401671570245_10157485266680246,Sandy Jackson ??,2016-10-17T14:09:51+0000,10157485266680246_10157536862010246,10203588353697972,1
7,401671570245_10157485266680246,Donna McGill Stok ??,2016-10-17T14:13:11+0000,10157485266680246_10157536878950246,10203588353697972,1
8,401671570245_10157485266680246,Suck ups!!,2016-10-21T01:27:17+0000,10157485266680246_10157555217325246,353999071445425,0
9,401671570245_10157515002660246,"Happy Birthday, USN!",2016-10-14T15:09:12+0000,10157515002660246_10157520007060246,10201949297892823,1
10,401671570245_10157515002660246,Happy Birthday to all us Salty Dogs!,2016-10-14T18:17:20+0000,10157515002660246_10157520785515246,916314041752803,1
11,401671570245_10157408996565246,Congratulations Rob!,2016-09-21T01:39:28+0000,10157408996565246_10157410608535246,10204096531589274,1
12,401671570245_10157408996565246,You go Rob.,2016-09-21T02:08:22+0000,10157408996565246_10157410686470246,571704599594848,1
13,401671570245_10157408996565246,"Rob, in my humble opinion no one is more deserving of this award than you. !!! I remain convinced that you are a true leader and innovator focused on improving the lives of our Warfighters. Congratulations you earned it.
R,
Gerry",2016-09-21T19:06:18+0000,10157408996565246_10157413547485246,1782879791927978,1
14,401671570245_10157273914040246,God bless USA,2016-09-17T22:33:57+0000,10157273914040246_10157396012650246,109556612788995,1
15,401671570245_10157371639625246,Minerva Kuilan P?rez,2016-09-12T15:36:16+0000,10157371639625246_10157371756640246,10204046592101854,0
16,401671570245_10157371639625246,https://www.airforcetimes.com/articles/terrorist-threat-hasnt-abated-15-years-after-9-11-top-army-general-ays,2016-09-13T22:12:36+0000,10157371639625246_10157377806720246,10203319812183386,0
17,401671570245_10157356709775246,... I'm getting winded just watching!,2016-09-10T15:06:10+0000,10157356709775246_10157361740690246,851057018255221,1
18,401671570245_10157347916340246,"Proud to be your barber, now climb!",2016-09-08T10:20:13+0000,10157347916340246_10157351590155246,10207404332774304,1
19,401671570245_10157324162105246,So happy they still do this.  We should never forget!!!!!!,2016-09-03T14:54:08+0000,10157324162105246_10157327637890246,664130163623285,1
20,401671570245_10157306998410246,Andy. You at all involved?,2016-08-31T16:30:19+0000,10157306998410246_10157313383105246,10153602381530758,1
21,401671570245_10157306998410246,Aloooooohaaaa,2016-09-07T15:46:52+0000,10157306998410246_10157348100390246,1037663726275722,1
