,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,169018434110_10154758111409111,"You mean Christmas Cookie! When do you people learn? It's Merry Christmas,Got It?",2016-11-29T02:14:19+0000,10154758111409111_10154794291944111,951358958224120,0
1,169018434110_10154754784459111,Nick Ianovale,2016-11-16T13:15:39+0000,10154754784459111_10154754889134111,10203551518847771,1
2,169018434110_10154754784459111,Kevin Olanovich,2016-11-17T00:46:38+0000,10154754784459111_10154756439579111,194079257647641,1
3,169018434110_10154754784459111,Jim Williams,2016-11-17T00:43:17+0000,10154754784459111_10154756425879111,194079257647641,1
4,169018434110_10154754784459111,Michael Kosloski,2016-11-17T00:46:13+0000,10154754784459111_10154756438419111,194079257647641,0
5,169018434110_10154738407859111,Thank you all for your service ????,2016-11-11T16:51:50+0000,10154738407859111_10154738721434111,10202438238115860,0
6,169018434110_10154738371484111,happy Veterans Day!,2016-11-11T23:01:31+0000,10154738371484111_10154739571094111,960184070666058,0
7,169018434110_10154732508249111,really nice well done...,2016-11-10T02:21:52+0000,10154732508169111_10154733642019111,10152771411011400,0
8,169018434110_10154712877659111,I miss you guys...hope you remember the friendly barber,2016-11-10T02:24:37+0000,10154712877614111_10154733646934111,10152771411011400,0
9,169018434110_10154659660279111,Daniel Medvec,2016-10-18T15:27:48+0000,10154659660279111_10154660126204111,989694034390425,0
10,169018434110_10154645485784111,Love it!,2016-10-14T22:21:23+0000,10154645485784111_10154646384679111,172291306565700,1
11,169018434110_10154645485784111,wow,2016-10-16T00:52:43+0000,10154645485784111_10154650562264111,10152044235813148,1
12,169018434110_10154620973194111,This is awesome. I'd have a lot of fun with that.,2016-10-07T01:50:08+0000,10154620973194111_10154621882309111,10203276590251121,2
13,169018434110_10154620973194111,That 3199 back there just chillin',2016-10-07T12:34:52+0000,10154620973194111_10154622923599111,10154045570110374,1
14,169018434110_10154620973194111,Danielle Potts Ader,2016-10-07T09:53:00+0000,10154620973194111_10154622662134111,1005653732787521,0
15,169018434110_10154594780414111,was a Fun day!  Thank you to all that came out and supported!!!,2016-09-28T20:42:10+0000,10154594780414111_10154598264969111,10205049053495956,1
16,169018434110_10154594780414111,Heather Yoder nice angle,2016-09-27T21:30:06+0000,10154594780414111_10154595228694111,10206058380766663,1
17,169018434110_10154591356104111,Nope,2016-09-27T13:36:33+0000,10154591356104111_10154594066009111,10205413578634398,0
18,169018434110_10154591356104111,Liam Chapmon and Sonya Chapmon Gotta miss it :),2016-09-27T13:34:14+0000,10154591356104111_10154594062409111,747511928675571,0
19,169018434110_10154591102944111,Sarah Ihle for Nick,2016-09-27T20:48:59+0000,10154591102944111_10154595147739111,10203551518847771,0
20,169018434110_10154591102944111,Nick Ianovale,2016-09-27T21:02:01+0000,10154591102944111_10154595178404111,10153520401225931,0
21,169018434110_10154591062534111,Congrats Gentlemen,2012-07-25T21:59:05+0000,10150246024634111_23031898,10205663179634011,1
22,169018434110_10154591062534111,thank you.,2013-09-30T13:38:01+0000,10150246024634111_27761170,10209236537324494,0
23,169018434110_10154591062534111,Congrats Mike!,2013-09-30T17:26:37+0000,10150246024634111_27763378,2046009578956997,1
24,169018434110_10154591062534111,Jonathan Miller Nice job!,2013-12-20T14:26:46+0000,10150246024634111_28717478,404930789656918,1
25,169018434110_10154591062534111,Congratulations Heather Yoder!,2013-12-21T00:43:53+0000,10150246024634111_28723579,10205236562178984,1
26,169018434110_10154591062534111,And ladies of course.,2013-12-21T13:58:32+0000,10150246024634111_28728528,10205663179634011,0
27,169018434110_10154591062534111,Congrats Joseph Heitman!!,2014-03-03T15:50:19+0000,10150246024634111_29620077,10154851722790048,0
28,169018434110_10154591062534111,Thanks Jeff and Carol!,2014-03-03T16:27:41+0000,10150246024634111_29620405,837711176292466,0
29,169018434110_10154591062534111,Billy Joel!!!,2014-03-19T13:34:16+0000,10150246024634111_29800495,10152792667495380,0
30,169018434110_10154591062534111,Excellent pick of supervisors,2014-10-31T18:52:10+0000,10150246024634111_10152827727369111,323019241226724,0
31,169018434110_10154591062534111,Congratulations to the both of you!,2015-09-17T16:25:25+0000,10150246024634111_10153647160484111,10203578122789674,0
32,169018434110_10154591062534111,Congratulation!!!!,2015-10-14T14:36:14+0000,10150246024634111_10153697102444111,895638267118057,0
33,169018434110_10154591062534111,Congratulation Tony best of luck!!!,2015-10-14T14:37:13+0000,10150246024634111_10153697103524111,895638267118057,1
34,169018434110_10154591062534111,Congratulations Anthony Brandi! Well deserved.,2015-10-14T17:32:45+0000,10150246024634111_10153697476094111,10207479306609124,1
35,169018434110_10154591062534111,Thank you sir!,2015-10-14T17:34:25+0000,10150246024634111_10153697478339111,889965421065029,2
36,169018434110_10154591062534111,Congrats Mike Fisher,2015-10-14T22:28:09+0000,10150246024634111_10153697863299111,832669100142761,1
37,169018434110_10154591062534111,Congrats John you deserve every bit of that position,2015-12-02T13:24:57+0000,10150246024634111_10153788528694111,1395539100464598,1
38,169018434110_10154591062534111,Congratulations Patrick!!! It seems just like yesterday when your hummer ran over those kids soccer ball in Bosnia on patrol.,2016-09-26T13:36:35+0000,10150246024634111_10154591151054111,1423571787955188,1
39,169018434110_10154591062534111,Urban legend. Do you have proof?,2016-09-27T19:25:46+0000,10150246024634111_10154594948829111,881745868565531,1
40,169018434110_10154582276634111,"It's nice to see the Depot finally coming out of the Dark Ages supporting the Trades instead of completly focusing on electronics.Personally I feel you can get a job anywhere in the country or the world for that matter faster than you can in any electronics field.That said,I would like to point out that it is fantastic getting these state of the art welding machines.Miller was my personal favorite for Tig when I was welding and loved Lincoln better than Hobart when it came to stick welding.I used them in shipyard and Nuclear plants before ever coming to the Depot.Welding was my first love and when work got slow they put me in electronics which I hated because I was only an WG8(28Yrs) because of 2 supervisors in that shop who pretended they knew welding and when I called them on it they would get frustrated,LOL! My purpose in writing this is not because of my misfortunes in the weld shop because I am So Happy to be retired and away from certain supervision.I would like to suggest though,that even though the weld shop is getting these new machines,money should be spent sending alot of these so called welders to a reputable school where they can get a solid foundation in Welding.When I was there only a handful of us had completed an accredited welding school and believe me we were so much better than the rest that learned on their own or took advise from people that didn't know what the heck they were doing in the first place.I called them stick-um welders.You can have the best machines going but if you don't know how to control the puddle or what to look for why appling the weld or what to do after the initial weld (root pass and hot pass or the HAZ(Heat affected zone to name a few),no machine will help you.Remember you have to pass visual before anything and don't forget,the Best Inspector on the job is the welder doing the welder because he should know if it's good or bad.Invest in your welders(on the outside) and you will have a great team who can compare with anyone.Don;t do that and I guarantee it will show.Remember,where two pieces of metal have to be joined,you'll find a GOOD WELDER!",2016-10-18T02:31:01+0000,10154582276634111_10154658363199111,951358958224120,1
41,169018434110_10154582276634111,Excellent choice!,2016-09-23T18:13:49+0000,10154582276634111_10154582780274111,785677831468044,1
42,169018434110_10154581992429111,Congratulations Bobby Knecht!!!  Much deserved and I'm not surprised. Keep going. We are very proud of you. God bless you.,2016-09-24T01:07:35+0000,10154581992349111_10154583696489111,10203640744050305,1
43,169018434110_10154581992429111,I am so happy for you that you have been recognized for what you do Bobby!  Congratulations.,2016-09-24T01:23:18+0000,10154581992349111_10154583717079111,1032433616788472,0
44,169018434110_10154581992429111,Jennifer Knecht Congratulations to Bobby!!,2016-09-23T23:27:33+0000,10154581992349111_10154583495474111,10152778999059334,1
45,169018434110_10154581992429111,Way to go bobby! Good job!,2016-09-24T02:42:24+0000,10154581992349111_10154583848179111,10205583846509036,0
46,169018434110_10154581992429111,Congrats!,2016-09-24T12:32:48+0000,10154581992349111_10154584788844111,10204409906874557,0
47,169018434110_10154576923404111,Fantastic ceremony I am sure,2016-09-22T11:34:25+0000,10154576923404111_10154579007139111,10204646884524934,1
48,169018434110_10154538169339111,I miss this ceremonies.,2016-09-08T19:35:48+0000,10154538169339111_10154538930109111,785677831468044,1
49,169018434110_10154485170109111,I wish !,2016-08-22T15:53:35+0000,10154485170109111_10154485267064111,195759184117415,0
50,169018434110_10154449266939111,No position for me.,2016-08-11T08:43:42+0000,10154449266939111_10154451538159111,195759184117415,0
