,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,94176393532_10153481003453533,"Evelyn Leyba, Sherry Shearer, Christina Sale",2015-12-18T20:48:02+0000,10153481003453533_10153481011698533,778991902113739,1
1,94176393532_10153481003453533,Why not just forward the card to the Red Cross. The heroes can still receive the cards.,2015-12-18T20:49:09+0000,10153481003453533_10153481012723533,773218442715431,4
2,94176393532_10153481003453533,"THEN WHY r cards that r sent to the RC,STILL GET SENT BACK??Mine havwe bewen sent back the last 2 years!!!WONTR DO IT ANYMORE!!",2015-12-18T20:51:29+0000,10153481003453533_10153481014928533,841520332529234,0
3,94176393532_10153481003453533,"I'm a Wife of a Wounded Warrior at Walter Reed. Ever year a post on facebook goes Viral with wrong information about sending ""Recovering Soldiers"" Christmas cards with Walter Reeds old D.C address. Walter Reed shut down in D.C in 2011 and opened up in Bethesda Maryland. But As far as sending direct mail to Walter Reed you can't because a policy (Transportation Policy) was made by the Deputy Undersecretary of Defense in 2001. To protect soldiers and medical staff. You can go through local Red Cross office, Military Treatment Facility or VA Hospital to obtain the local guidelines for sending cards. They all go through the cards to make sure they are safe to be delivered. But the deadline for the Red Cross has passed so you take your cards to your Local VA Hospital. https://www.facebook.com/Walter-Reed-National-Military-Medical-Center-295857217111107/?fref=ts&hc_location=ufi",2015-12-18T21:07:10+0000,10153481003453533_10153481042983533,1131504596876132,5
4,94176393532_10153481003453533,Should have been fixed the address al long time ago,2015-12-18T21:14:27+0000,10153481003453533_10153481051908533,10202726553097767,1
5,94176393532_10153481003453533,"I whish this had been posted three months ago. I am beginning to receive the dozens of cards back that I sent, hoping to make a wounded soldier smile.",2015-12-18T21:21:23+0000,10153481003453533_10153481057378533,10202035469368774,1
6,94176393532_10153481003453533,"I was at the D.C. Walter Reed with my brother took about a year to get our mail on a regular basis. When we complained we were told to write our Senator. So my brother and I are at some benefit put on by the uso or something when I met a 4 star general, he asked  if there was anything he could do to make are stay a little better at walter reed and I said well we aren't really getting our mail. Oh shit..... if you want something done you go to the top. And shit in the military does in fact run down hill.",2015-12-18T22:02:36+0000,10153481003453533_10153481110173533,10205685925810676,3
7,94176393532_10153481003453533,"It has been posted several times in the last several months, I have been forwarding it, if everyone who sees this will share it, it just might get around In a couple of years",2015-12-19T07:38:49+0000,10153481003453533_10153481927698533,10202835792628160,0
8,94176393532_10153481003453533,"Thank you for sharing. Someone on Facebook post to send Christmas cards to Washington,DC  Med. Center & I'm getting them back & didn't know why.  I just wanted to let our military know we appreciated them & thank them for their service.... ??",2015-12-19T22:39:11+0000,10153481003453533_10153483648683533,359164394264491,0
9,94176393532_10153481003453533,"Do NOT let this stop you!!  Go to http://www.facebook.com/CaringKidsCards   We are trying to help close the gap with the Red Cross and other programs closing!!  We take cards all year long for the military, hospitals, senior centers, etc. from all across the United States and beyond!!",2015-12-20T01:03:40+0000,10153481003453533_10153483848203533,118357891558183,0
10,94176393532_10153481003453533,"I mailed a bunch of cards to Washington, DC.  Oh well next year I will know better.  The old address was going around on Facebook.  I will mail them to Maryland next year. :)",2015-12-22T18:02:17+0000,10153481003453533_10153490395688533,10204299912756832,0
11,94176393532_10153481003453533,"It should go to 8901 Wisconsin Ave, Bethesda, MD 20814.  I spent 4 years active duty here as Navy and then worked for Walter Reed as a civilian for 10 years over on Georgia Ave, before they moved to Bethesda.",2015-12-23T15:06:13+0000,10153481003453533_10153492303878533,1026829460668560,0
12,94176393532_10153481003453533,A teacher sent a packet of cards to MD and they were sent back because they missed a November 29th deadline. What is up with that?,2015-12-23T18:35:56+0000,10153481003453533_10153492655168533,10153021579697448,1
13,94176393532_10153481003453533,"People, stop relying on addresses floating around on facebook from random people. Go to the organizations website/facebook. Do better research regarding the addresses needed. Walter Reed posted this similar mesasage in 2011 regarding christmas mail. And to stop using Walter Reed Army Medical Center facebook, on Oct 19, 2011 ....should look on Walter Reed National Military Medical Center. Dont blame them, they provided, you didnt research for enough.",2015-12-30T06:55:13+0000,10153481003453533_10153507461783533,10203743518098921,0
14,94176393532_10153481003453533,Well that would have been something the person on the phone could have told me when I called for the address and stated I was sending Christmas cards from first graders. At least my $6.40 to mail the package could have gone to the correct place seems like your personnel could've taken two minutes to explain.,2016-01-03T13:27:41+0000,10153481003453533_10153516304808533,10204385412176561,0
15,94176393532_10153481003453533,I wish I had known. That's why my Christmas cards I sent were returned to me. I'm so disappointed.  Just trying to send some cheer. :(,2016-01-05T18:12:57+0000,10153481003453533_10153520394408533,988948757788795,1
16,94176393532_10153481003453533,"I just got back 2 Christmas cards I sent to our recovering soldiers. I was so excited to send them to our heroes. DEFLATED is how i felt. I can understand your reasons, but just wanted to spread tje joy.",2016-01-19T21:36:15+0000,10153481003453533_10153547850198533,402659633268249,0
17,94176393532_10153481003453533,We also got our cards back where can we send them now?,2016-01-20T00:48:50+0000,10153481003453533_10153548112908533,10203003754229994,1
18,94176393532_10153481003453533,We have got our Christmas cards back to how sad there couldn't find a recovering solder,2016-01-20T16:49:54+0000,10153481003453533_10153549126483533,4991893131232,1
19,94176393532_10153481003453533,me too,2016-01-20T17:47:12+0000,10153481003453533_10153549223428533,10152711839072550,0
20,94176393532_10153481003453533,My husband got the card he wrote back today-- very disappointed in this.,2016-01-21T22:51:27+0000,10153481003453533_10153551669863533,977128189005533,0
21,94176393532_10153481003453533,I just came from the post office and what do i find my Christmas card that i sent on Dec.14 saying Return To Sender i feel like i'm living in the twilight zone how hard is it for someone to give us a correct address.These brave men and women fought for our Country and they can't even get a simple Christmas card who's ever fault this is shame on you.,2016-01-26T18:29:47+0000,10153481003453533_10153560615023533,553083104828162,1
22,94176393532_10153481003453533,"Valentine's Day, also known as Saint Valentine's Day or the Feast of Saint Valentine, is a celebration observed on February 14 each year. It is celebrated in many countries around the world. Let us all spread the LOVE all over the world by sending our Valentines Gifts and Wishes for our love ones. Please Visit at www.Washington.florist to order from wide selection of our beautiful flowers.",2016-01-28T05:35:37+0000,10153481003453533_10153563643708533,888469751224432,0
23,94176393532_10153481003453533,"I got mine back too and was shocked, appalled and disappointed.  I wanted my card to bring a smile to the face of a recovering soldier who fought so bravely for our Country.  SHAME, SHAME, SHAME!!!!!!!!!",2016-02-03T15:43:20+0000,10153481003453533_10153575679048533,10201813076630689,0
24,94176393532_10153481003453533,"I am a disabled us navy veteran I have degenerative spine disease and bulging disc in my lower back I started a fundraising campaign on Go Fund Me to pay for my medical bills and utility bills , the link to my campaign is https://www.gofundme.com/udjvzds4 , I respectfully request your help thank you.",2016-02-09T00:00:29+0000,10153481003453533_10153585990963533,1661146010819272,0
25,94176393532_303286023026142,That appointment line does not work unless you're willing to be #60 in queue. See my previous post.,2011-11-30T17:30:34+0000,303286023026142_4123985,10154077723075521,0
26,94176393532_303286023026142,Ms Snyder: I can help you with TRICARE Online if you'd like.  I work at Army Medical Command.,2011-11-30T18:44:33+0000,303286023026142_4124248,795771940458077,1
27,94176393532_303286023026142,"Access to care is a huge problem.  Call Customer Advocacy /Customer Service and ask them to deal directly with clinic managers, many are aware and are willing to assist patients. If that gets you nowhere take it up the chain.",2011-12-01T00:36:19+0000,303286023026142_4125610,1035577116471456,0
28,94176393532_303286023026142,"Try 301.295.4611 there is always a ""live"" person to answer the phone.",2011-12-01T11:43:27+0000,303286023026142_4127887,10205905910192071,1
29,94176393532_303286023026142,"We would like to send Christmas cards to Recovering Soldiers still hospitalized....their was a post on FB that we could send them to  6900 Georgia Avenue, NW Washington, DC 20307-5001....is this not a good address? If not can you please tell me where to send them? Thank you so much for your help!",2011-12-07T01:57:00+0000,303286023026142_4157478,781006052007025,3
30,94176393532_303286023026142,"Find FREE Continuing Medical Education in 20 Specialties at http://www.cmelist.com/Free-Sponsored-CME.htm. Includes Cardiology, Chest Medicine, Dermatology, Diabetes, Endocrinology, Family Medicine, Surgery, Gastroenterology,  Geriatrics, Hematology, Infectious Disease, Internal Medicine, Multiple Sclerosis, Neurology, Oncology, Ophthalmology, Rheumatology, Thoracic Surgery, Vascular Surgery and Wellness.",2012-02-15T04:15:48+0000,303286023026142_4531531,10204089440099989,0
31,94176393532_303286023026142,Where do we go to volunteer since Walter Reed closed?,2012-02-25T13:48:50+0000,303286023026142_4579492,10202966837245232,0
32,94176393532_303286023026142,that is a wonderful fb game.wow.55 https://www.facebook.com/pages/qkena/426344227433868?sk=app_208195102528120 ,2013-02-11T06:04:15+0000,303286023026142_84078299,821822531216359,0
33,94176393532_303286023026142,"lxzoox Well, I posted earlier in this comments thread and came back because I wanted you all to know how I did! I lost 10 lbs (4.5 kg/0.7 stone) of belly fat in only 6 days and am keeping it off. The results speak for themselves. This diet product is life-changing - thank you. moympq www.theobsessedi.info",2013-06-11T22:13:53+0000,303286023026142_84430994,959004170834885,1
34,94176393532_303286023026142,mnmmfi I started out at 174 lbs and I am now down to 143 lbs. I just took this fantastic diet product and the weight came off without any exercise. The product is also dr. oz and women's health magazine approved. pkuuhx => www.thelavacai.info,2013-06-22T19:57:11+0000,303286023026142_84462179,765100796859529,1
35,94176393532_303286023026142,ecjqbs www.thecalculusi.info vpauiv,2013-11-07T20:04:12+0000,303286023026142_84825623,892033904223573,1
36,94176393532_303286023026142,"BREAKING NEWS:  Why has Obama not FIRED anyone yet?! And why have the Democrats demand an investigation? This is CRIMINAL! Our Vets deserve better then this! 

http://www.nbcnews.com/storyline/va-hospital-scandal/va-whistleblowers-describe-alleged-cooking-books-n101781",2014-05-10T13:57:43+0000,303286023026142_738049776216429,10201745145898387,0
37,94176393532_303286023026142,I tried to send a Christmas card out to  a recovering soldier and got it back today !!  how sad i cant even send a card to wish our veterns a merry christmas,2014-12-31T16:29:39+0000,303286023026142_852079628146776,10203034470083410,1
38,94176393532_303286023026142,A good conscience is a continual Christmas.,2015-01-05T05:20:27+0000,303286023026142_854815917873147,1428439540742822,0
39,94176393532_303286023026142,Jolly West and I would appreciate someone from Walter Reed to have a look at my facebook. I studied so much in the 70s from you..Thanks your allies Western Europe and on stimociver use by rap and ragga orders in lyrics and the Fort Detrich and other breeches..And spread to my sectors..Thanks,2015-02-19T09:22:36+0000,303286023026142_891820197506052,10152336068569259,0
40,94176393532_303286023026142,did you ask Rex on film and disco P.O.E.s?,2015-03-06T17:28:02+0000,303286023026142_899901020031303,10152336068569259,0
41,94176393532_303286023026142,"https://www.youtube.com/watch?v=wfm8gR12hA4W.C. Fields - The Golf SpecialistI just love this film. I got a hat inspiried by the caddy's hat, it's my favorite. This is just amazing! This film is in...youtube.comLike ? Reply ? Remove Preview ? 1 min
Michael Seth Gurvitz https://www.youtube.com/watch?v=uqs1YXfdtGE mine after the cows werew murdered ..chernobyls..i agreeBBC weather blooper by Michael Fish storm of 1987BBC weather blooper by Michael Fish night...youtube.com  ring your neck it happened before tupac",2015-03-06T17:39:06+0000,303286023026142_899905293364209,10152336068569259,0
42,94176393532_303286023026142,charges against myself\\\\\\?? pretending to be the prince of wales..spitting in the golf stream and speaking harsh words in a speakeasy..bell weather,2015-03-06T17:42:10+0000,303286023026142_899906010030804,10152336068569259,0
43,94176393532_303286023026142,https://www.youtube.com/watch?v=1TdPRjcG8As Rapes school shootings and things in the paper and rap retarded lopsided lyric orders?,2015-03-06T17:44:43+0000,303286023026142_899906753364063,10152336068569259,0
44,94176393532_303286023026142,Mr. Mokel (moi) please sit down dear..im the blind deaf guy??  mokel and agreements and raphael in the rap lyrics 2001..https://www.youtube.com/watch?v=qN4kbng5pPU im the detective at the grande hotel!!,2015-03-06T17:47:58+0000,303286023026142_899907713363967,10152336068569259,0
45,94176393532_303286023026142,Europes agreements yours Mokel..https://open.spotify.com/track/33KfVexcvpwQ4f7UsdvuXo,2015-03-06T17:51:01+0000,303286023026142_899908493363889,10152336068569259,0
46,94176393532_303286023026142,You do what you have to do to give people closure; it makes them feel better and it doesn't cost you much to do it. I'd rather apologize for something I didn't really care about and leave someone on Earth wishing me well.,2015-07-28T07:12:52+0000,303286023026142_968450656509672,643560505763622,0
47,94176393532_303286023026142,Pat Pat Lally,2015-10-10T00:20:38+0000,303286023026142_1003935329627871,10152911858982938,0
