,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,342216712203_10153943571747204,And I was there getting the 60mm lightweight line going. My suggestion of ceramic tooling in the performs was critical in reducing machine time. Unfortunately it wasn't enough recognition to secure a permanent position there being a term temp during a year where politics played a major role in the across the board budget cuts including defense spending eliminating my position there. I had so many more ideas that I was already implementing in the mortar line to increase the workflow per shift that no doubt was appreciated but wasn't recognized enough by management to secure a permanent position.,2016-11-29T01:03:41+0000,10153943571747204_10153943696707204,724899264199037,0
1,342216712203_10153943571747204,Vince is still there  he is a good man,2016-11-29T01:50:54+0000,10153943571747204_10153943756127204,656515664511370,0
2,342216712203_10153942746242204,bipod i carried back in the day was 42lbs it was murder!,2016-11-28T19:48:42+0000,10153942746242204_10153943151392204,10152865562677641,1
3,342216712203_10153942746242204,Great news....congratulations..,2016-11-28T17:44:26+0000,10153942746242204_10153942970317204,967562523255862,1
4,342216712203_10153942746242204,Yes!  Great news!,2016-11-28T15:25:38+0000,10153942746242204_10153942772962204,1530238550557226,1
5,342216712203_10153942746242204,"Congrats, Commander Morrow.",2016-11-29T02:49:20+0000,10153942746242204_10153943825832204,299933953709082,1
6,342216712203_10153942746242204,Way to go Watervliet Arsenal!,2016-11-29T04:09:08+0000,10153942746242204_10153943922077204,10202700532104468,1
7,342216712203_10153917259592204,Good to see,2016-11-17T14:00:37+0000,10153917259592204_10153917389357204,10153041071072524,0
8,342216712203_10153909028897204,Great job Johnny I love you cape!,2016-11-14T19:41:00+0000,10153909028897204_10153909910567204,1688356937856557,0
9,342216712203_10153902310557204,Another great parade!,2016-11-11T22:51:21+0000,10153902310557204_10153902316952204,1687376798196778,1
10,342216712203_10153902310557204,"A Local Tradition for many Years ! Proud to be a Veteran, Proud to have Worked for the Mission !",2016-11-11T23:27:14+0000,10153902310557204_10153902381702204,933085956727340,1
11,342216712203_10153896850897204,I worked with Michael on that entire system what a terrific man he is sorely missed,2016-11-09T20:02:23+0000,10153896850897204_10153896974112204,886567958035666,2
12,342216712203_10153896850897204,We all miss Mike everyday. Thanks to the  float crew for putting together a nice tribute our friend.,2016-11-09T22:09:03+0000,10153896850897204_10153897292412204,10204075663224894,2
