,Post_ID,Comment,Created_Time,Comment_ID,Commenter_ID,Likes
0,408185632542621_1424415610919613,Great to be a military city.,2016-11-14T18:57:51+0000,1424415610919613_1424476027580238,10204134661580085,0
1,408185632542621_1417861841574990,Thank you Joe Cardenez for your service.,2016-11-10T13:05:30+0000,1417861841574990_1418887711472403,10204134661580085,0
2,408185632542621_1417861841574990,Thank you sir for your service. May you Rest in Peace. Thank you SSG Cliff Warner for making me an Army Mom of 14+ years.  I am very proud of you and your accomplishments! HOOAH!,2016-11-11T16:51:20+0000,1417861841574990_1420727961288378,830777820276132,0
3,408185632542621_1410536915640816,Love it...Gary Gary Rowe...big crew Cheif...,2016-11-03T21:47:12+0000,1410536915640816_1410581252303049,229941920733061,0
4,408185632542621_1410536915640816,"Thanks big mike, awesome memories with awesome friends.",2016-11-04T02:17:22+0000,1410536915640816_1410798802281294,10207100587305725,0
5,408185632542621_1410536915640816,"6600, everything in the green, sorry to see you go!!!",2016-11-05T01:11:21+0000,1410536915640816_1411947528833088,947999361889042,1
6,408185632542621_1410536915640816,At least some of them will get a new home with new tasks to successfully complete.   Thats a good thing.,2016-11-29T02:28:18+0000,1410536915640816_1441281312566376,10203135485215250,0
7,408185632542621_1393562347338273,I was a 67N Utility Helicopter Repairer....   sad to see them go...,2016-10-20T23:50:53+0000,1393562347338273_1393567537337754,10203209303378764,1
8,408185632542621_1393562347338273,This makes me sad.  Spent 3 years at LAAF (74-77) and loved every minute of it. Thanks for the memories,2016-10-21T00:05:13+0000,1393562347338273_1393577050670136,671637139601522,0
9,408185632542621_1393562347338273,,2016-10-21T00:52:59+0000,1393562347338273_1393624590665382,10152103738724163,0
10,408185632542621_1393562347338273,Kermit Okamura (y),2016-10-21T00:53:11+0000,1393562347338273_1393624793998695,10152103738724163,0
11,408185632542621_1393562347338273,What will be replacing the Huey?,2016-10-21T01:26:12+0000,1393562347338273_1393656863995488,10103946908839941,0
12,408185632542621_1393562347338273,It was a great flight and jump today. I'm going to miss these birds.,2016-10-21T01:48:41+0000,1393562347338273_1393689393992235,10205230048621168,4
13,408185632542621_1393562347338273,"I got to jump out of one as an ATFer in the early 90s, great jumps. Dewey, Larry, David, Aaron, Rob, Perry, Don.",2016-10-21T02:48:30+0000,1393562347338273_1393730873988087,10205194307160096,1
14,408185632542621_1393562347338273,"The UH-1 is the ""Harley Davidson""
of of the helicopter groups....way cool.",2016-10-21T03:59:51+0000,1393562347338273_1393791513982023,10206454115820292,1
15,408185632542621_1393562347338273,I was glad to see this last formation flight!,2016-10-21T04:06:42+0000,1393562347338273_1393796030648238,4916234640893,1
16,408185632542621_1393562347338273,Looking good Warner!  Oh so PROUD of you and your accomplishments!,2016-10-21T04:30:12+0000,1393562347338273_1393826467311861,830777820276132,0
17,408185632542621_1393562347338273,i want one !!!,2016-10-21T05:20:13+0000,1393562347338273_1393852543975920,1489810764671098,0
18,408185632542621_1393562347338273,I remember when I was stationed at Yuma Proving Ground taking that trip to Ft. Huachuca to get my knee operation on a Huey what a flight and flying in a Huey doing maneuvers at Yuma Proving Ground in the hot desert year of 91,2016-10-21T05:28:57+0000,1393562347338273_1393855720642269,150311642015288,0
19,408185632542621_1393562347338273,Nice picture!,2016-10-21T06:43:12+0000,1393562347338273_1393898433971331,335857223275014,0
20,408185632542621_1393562347338273,Interesting they were retired on the 60th anniversary of the XH-40's first flight.,2016-10-21T06:43:25+0000,1393562347338273_1393898823971292,10204634479335636,1
21,408185632542621_1393562347338273,Nice to see the airfield again and the Huey's there......,2016-10-21T12:46:48+0000,1393562347338273_1394136283947546,10203578454955406,0
22,408185632542621_1393562347338273,Going to miss them flying over my house everyday on their way to YPG,2016-10-21T22:40:13+0000,1393562347338273_1394600940567747,903980489627180,0
23,408185632542621_1393562347338273,Omg the number of jumps static line  and halo I've made from that aircraft..! As I'm sure is the same for a lot you out there,2016-10-22T03:08:11+0000,1393562347338273_1394810687213439,10207849070372633,0
