,Unnamed: 0,Unnamed: 0.1,Post_ID,Comment,Likes,Comment_ID,Commenter_ID,created_time,keys
0,0,1,105314739733_10154474314119734,Have fun you all!!!,0,10154474314119734_10154487214934734,5.79929e+14,2016-07-05T16:30:00+0000,105314739733
1,1,2,105314739733_10154483900349734,Especially when it's fort carsons finance,0,10154483900349734_10154483926119734,1.06631e+15,2016-07-05T13:51:19+0000,105314739733
2,2,3,105314739733_10154483782909734,Love your photo Army,0,10154483782809734_10154486267824734,5.16207e+14,2016-07-05T12:45:18+0000,105314739733
3,3,4,105314739733_10154483782909734,Great picture.,0,10154483782809734_10154486850494734,5.73455e+14,2016-07-05T12:45:18+0000,105314739733
4,4,5,105314739733_10154483782909734,Nice one there,0,10154483782809734_10154485967329734,1.59985e+14,2016-07-05T12:45:18+0000,105314739733
5,5,6,105314739733_10154483782909734,Tomahawk Assault!,0,10154483782809734_10154484714149734,1.3691e+15,2016-07-05T12:45:18+0000,105314739733
6,6,7,105314739733_10154483782909734,Like reply,0,10154483782809734_10154484648364734,2.64158e+14,2016-07-05T12:45:18+0000,105314739733
7,7,8,105314739733_10154482670834734,loving the  post,0,10154482670834734_10154482767234734,1.2729e+15,2016-07-05T01:03:40+0000,105314739733
8,8,9,105314739733_10154474186689734,Same to u all. Thanks!,0,10154474186689734_10154481626604734,1.16777e+15,2016-07-04T15:00:00+0000,105314739733
9,9,10,105314739733_10154474186689734,Like reply,0,10154474186689734_10154483873274734,2.64158e+14,2016-07-04T15:00:00+0000,105314739733
10,10,11,105314739733_10154480289924734,We were there and the show was great.  Wish they had the speakers hooked up so we could have heard the band better.,0,10154480289924734_10154481654734734,1.01543e+16,2016-07-04T03:05:33+0000,105314739733
11,11,12,105314739733_10154480289924734,So sorry dawn Marie. Glad kiddos got to go though. Feel better! We are packing so can't go.,1,10154480289924734_10154480313974734,1.02098e+16,2016-07-04T03:05:33+0000,105314739733
12,12,13,105314739733_10154480289924734,There it cleared up really well. Awesome!,0,10154480289924734_10154480308444734,1.02098e+16,2016-07-04T03:05:33+0000,105314739733
13,13,14,105314739733_10154480289924734,Best hometown in the Army!,0,10154480289924734_10154480415669734,1.82709e+15,2016-07-04T03:05:33+0000,105314739733
14,14,15,105314739733_10154480289924734,ON this day 4 years ago I became a great uncle to a little girl named Candie Neavah Simpson.,0,10154480289924734_10154480579584734,1.71862e+15,2016-07-04T03:05:33+0000,105314739733
15,15,16,105314739733_10154480289924734,We're literally at the front of that airballon last night ☺,0,10154480289924734_10154482542669734,1.02093e+16,2016-07-04T03:05:33+0000,105314739733
16,16,17,105314739733_10154480289924734,My heart goes out to all the armed forces Blessings God Bless. America,4,10154480289924734_10154480316544734,1.54812e+15,2016-07-04T03:05:33+0000,105314739733
