,Unnamed: 0,Unnamed: 0.1,Post_ID,Comment,Likes,Comment_ID,Commenter_ID,created_time,keys
223645,223645,223691,101027597230_10153611739737231,Mindy Wolf Ì†ΩÌ∏ï,0,10153611739737231_10153611762237231,1.58695e+14,2016-07-03T17:26:11+0000,101027597230
223646,223646,223692,101027597230_10153611739737231,Ì†ΩÌ∏¢Ì†ΩÌπÅ,0,10153611739737231_10153611792662231,1.01544e+16,2016-07-03T17:26:11+0000,101027597230
223647,223647,223693,101027597230_10153611739737231,I know it won't happen but I wish it would be rescheduled for the weekend!,3,10153611739737231_10153611850797231,1.01543e+16,2016-07-03T17:26:11+0000,101027597230
223648,223648,223694,101027597230_10153611739737231,Matt,0,10153611739737231_10153611855932231,1.01536e+16,2016-07-03T17:26:11+0000,101027597230
223649,223649,223695,101027597230_10153611739737231,David Gleitz this is too bad... :(,0,10153611739737231_10153611987357231,1.0102e+16,2016-07-03T17:26:11+0000,101027597230
223650,223650,223696,101027597230_10153611739737231,"Jimmy Merritt, we can go to the bar after mums?",0,10153611739737231_10153612042632231,1.65052e+15,2016-07-03T17:26:11+0000,101027597230
223651,223651,223697,101027597230_10153611739737231,Did they ever reschedule the fire works,0,10153611739737231_10153622428292231,1.24053e+15,2016-07-03T17:26:11+0000,101027597230
223652,223652,223698,101027597230_10153611739737231,Have they rescheduled the fireworks?,0,10153611739737231_10153623106087231,1.10891e+15,2016-07-03T17:26:11+0000,101027597230
223653,223653,223699,101027597230_10153605508777231,Civilians are welcome? I have a DD214 if that matters.,0,10153605508707231_10153605568597231,1.02088e+16,2016-06-30T12:53:33+0000,101027597230
223654,223654,223700,101027597230_10153605508777231,"Thanks! Oh, just one more thing while I have your attention. How long does it take to get on post now if you don't have a CAC or military ID? Gonna be visiting the area soon and want to go to the Chapel services.",0,10153605508707231_10153605575942231,1.02088e+16,2016-06-30T12:53:33+0000,101027597230
223655,223655,223701,101027597230_10153605508777231,Robert,0,10153605508707231_10153605586267231,1.01543e+16,2016-06-30T12:53:33+0000,101027597230
223656,223656,223702,101027597230_10153605508777231,"It depends. Normally between 5-10 if you need to go to the Welcome Center to get vetted. But every visit after you get vetted, you can go straight the the gate and they will scan your license there.",1,10153605508707231_10153605588847231,1.01028e+11,2016-06-30T12:53:33+0000,101027597230
223657,223657,223703,101027597230_10153605508777231,"Awesome. One time I was there, it took them over 45 minutes (the welcome center was new). Last time, they just wanted a license from each person and a reason - Patton Museum.
I love Fort Knox - was my first duty station, it's home to me.",0,10153605508707231_10153605592687231,1.02088e+16,2016-06-30T12:53:33+0000,101027597230
223658,223658,223704,101027597230_10153605508777231,That is awesome. Whosoever idea that was deserves an award!!! lol,2,10153605508707231_10153605676717231,1.02101e+16,2016-06-30T12:53:33+0000,101027597230
223659,223659,223705,101027597230_10153605508777231,I was in basic training when movie was being filmed.  My training brigade was in the graduation scene.  The movie company paid us 35 bucks for being part of it.  Not sure it was worth the sore feet. I think we stood out there all day.  Not sure how many times we had to march around that lot.,4,10153605508707231_10153605787637231,1.0205e+16,2016-06-30T12:53:33+0000,101027597230
223660,223660,223706,101027597230_10153605508777231,I didn't know this!Ì†ΩÌ∏Ç,0,10153605508707231_10153605807227231,1.74332e+15,2016-06-30T12:53:33+0000,101027597230
223661,223661,223707,101027597230_10153605508777231,"See All You Fort Knox Vets there.
Phil Handyside",0,10153605508707231_10153605897377231,1.0205e+16,2016-06-30T12:53:33+0000,101027597230
223662,223662,223708,101027597230_10153605508777231,That movie was in the theater when I was there for Basic!,0,10153605508707231_10153606363807231,1.01539e+16,2016-06-30T12:53:33+0000,101027597230
223663,223663,223709,101027597230_10153605508777231,"I was there in Basic Aug. 1981. We got a sneak peek viewing of the movie before the release. My Barracks was only a few barracks down from the one they filmed in. Some of the drills from my Company were in the movie. Also, My Dad was in the same area were I went to basic when he went there for Basic. He is know 85 years old.",0,10153605508707231_10153623193707231,1.02086e+16,2016-06-30T12:53:33+0000,101027597230
223664,223664,223710,101027597230_10153605504232231,"Where is that posted at, or did you photoshoped it?  We must go as a Family for a picture.",2,10153605504232231_10153605841637231,1.33293e+15,2016-06-30T12:52:03+0000,101027597230
223665,223665,223711,101027597230_10153605504232231,It is at Chaffee Gate. It is really there! Great Photo Op for the Arnold family!,4,10153605504232231_10153605909112231,1.01028e+11,2016-06-30T12:52:03+0000,101027597230
223666,223666,223712,101027597230_10153605504232231,Viviane Arnold i thought about you all the other day when I saw it :) a photo is a must!!!,1,10153605504232231_10153605994182231,1.1333e+15,2016-06-30T12:52:03+0000,101027597230
223667,223667,223713,101027597230_10153605504232231,I was so confused...lol,1,10153605504232231_10153606596947231,1.02086e+16,2016-06-30T12:52:03+0000,101027597230
223668,223668,223714,101027597230_10153605504232231,Well now you have to stay! LOL,1,10153605504232231_10153607249062231,1.02101e+16,2016-06-30T12:52:03+0000,101027597230
223669,223669,223715,101027597230_10153601801327231,Is this on July 4?,0,10153601801327231_10153601844572231,1.01059e+16,2016-06-28T19:38:24+0000,101027597230
223670,223670,223716,101027597230_10153601801327231,what day is this talking about?,0,10153601801327231_10153601993877231,1.02101e+16,2016-06-28T19:38:24+0000,101027597230
223671,223671,223717,101027597230_10153601801327231,"Where? It's says ""The Park"" but which Park?",1,10153601801327231_10153602040037231,1.0207e+16,2016-06-28T19:38:24+0000,101027597230
223672,223672,223718,101027597230_10153601801327231,July 4th,0,10153601801327231_10153602040347231,1.05969e+15,2016-06-28T19:38:24+0000,101027597230
223673,223673,223719,101027597230_10153601801327231,Please visit this link for more information about this event: http://www.elizabethtownky.org/founders-day.asp,0,10153601801327231_10153605575707231,1.01028e+11,2016-06-28T19:38:24+0000,101027597230
223674,223674,223720,101027597230_10153599354982231,Why?,0,10153599354982231_10153599472027231,1.02071e+16,2016-06-27T16:09:37+0000,101027597230
223675,223675,223721,101027597230_10153599098827231,Mandie Clem!,1,10153599098827231_10153599165397231,1.01059e+16,2016-06-27T14:11:10+0000,101027597230
223676,223676,223722,101027597230_10153599098827231,James Bunch,0,10153599098827231_10153599175437231,1.10353e+15,2016-06-27T14:11:10+0000,101027597230
223677,223677,223723,101027597230_10153599098827231,Kyle Brownell,0,10153599098827231_10153599182852231,1.02057e+16,2016-06-27T14:11:10+0000,101027597230
223678,223678,223724,101027597230_10153599098827231,Eric Massengale,0,10153599098827231_10153599291627231,1.02069e+16,2016-06-27T14:11:10+0000,101027597230
223679,223679,223725,101027597230_10153599098827231,Kaileen Capriola,0,10153599098827231_10153599341992231,1.02018e+16,2016-06-27T14:11:10+0000,101027597230
223680,223680,223726,101027597230_10153599098827231,Wayne Brzoska,0,10153599098827231_10153601105272231,1.02079e+16,2016-06-27T14:11:10+0000,101027597230
223681,223681,223727,101027597230_10153590300322231,Thank you for letting us know.,0,10153590300322231_10153594045917231,1.02077e+16,2016-06-23T19:17:57+0000,101027597230
223682,223682,223728,101027597230_10153589734627231,We were stationed there.,0,10153589734487231_10153589916262231,5.51832e+14,2016-06-23T14:07:30+0000,101027597230
223683,223683,223729,101027597230_10153589734627231,"God bless you all, be safe at all times",0,10153589734487231_10153590366647231,2.79989e+14,2016-06-23T14:07:30+0000,101027597230
223684,223684,223730,101027597230_10153589734627231,"What is the caption? I'm sure whatever it is, if HRC is involved it's a great accomplishment or event!",0,10153589734487231_10153590591542231,1.02086e+16,2016-06-23T14:07:30+0000,101027597230
223685,223685,223731,101027597230_10153589734627231,Did someone get 'moved' out? All looking like a funeral.,0,10153589734487231_10153590700452231,1.2977e+15,2016-06-23T14:07:30+0000,101027597230
223686,223686,223732,101027597230_10153589734627231,"I'm sure that whatever is happening, it must be good with those two great leaders involved (CG and CSM)!",0,10153589734487231_10153591237282231,2.42311e+14,2016-06-23T14:07:30+0000,101027597230
223687,223687,223733,101027597230_10153587844102231,Why would you not want to blend in with your surroundings? In!,0,10153587844102231_10153587873062231,1.02055e+16,2016-06-22T17:38:51+0000,101027597230
223688,223688,223734,101027597230_10153587844102231,Camo out,0,10153587844102231_10153587917447231,1.38773e+15,2016-06-22T17:38:51+0000,101027597230
223689,223689,223735,101027597230_10153587844102231,"This isn't the Marine Corp, definitely out.",1,10153587844102231_10153587929727231,1.021e+16,2016-06-22T17:38:51+0000,101027597230
223690,223690,223736,101027597230_10153587844102231,In,0,10153587844102231_10153587935322231,1.02068e+16,2016-06-22T17:38:51+0000,101027597230
223691,223691,223737,101027597230_10153587844102231,In. We aren't Marines.,0,10153587844102231_10153588032352231,1.02095e+16,2016-06-22T17:38:51+0000,101027597230
223692,223692,223738,101027597230_10153587844102231,Camo out. We are not Marines,0,10153587844102231_10153588050092231,1.13853e+15,2016-06-22T17:38:51+0000,101027597230
223693,223693,223739,101027597230_10153587844102231,Yes Ì†ΩÌ±ç,0,10153587844102231_10153588053182231,1.02083e+16,2016-06-22T17:38:51+0000,101027597230
223694,223694,223740,101027597230_10153587844102231,in in in to much money to change and I like to look like a tree,0,10153587844102231_10153588136297231,1.40505e+15,2016-06-22T17:38:51+0000,101027597230
223695,223695,223741,101027597230_10153587844102231,"I've been out since 1989.  But since I was asked for an opinion, I like camo in.  Some will say it looks like the USMC but I like the look of it.",0,10153587844102231_10153588365502231,1.01544e+16,2016-06-22T17:38:51+0000,101027597230
223696,223696,223742,101027597230_10153587844102231,Camo out!,0,10153587844102231_10153588491712231,1.02083e+16,2016-06-22T17:38:51+0000,101027597230
223697,223697,223743,101027597230_10153587844102231,"As far as I remember, one of the benefits for wearing the camo out (before the ACU) was because it made it a whole lot easier to quickly pull down the sleeves in one move when you had to.  With camo in, you have to labor a lot more to pull them down.  And we're not Marines...",0,10153587844102231_10153588626662231,1.02089e+16,2016-06-22T17:38:51+0000,101027597230
223698,223698,223744,101027597230_10153587844102231,"I'm so sorry, are the photos showing something different? I'll look again. It's like a spot the differences game!",0,10153587844102231_10153588650132231,9.28471e+14,2016-06-22T17:38:51+0000,101027597230
223699,223699,223745,101027597230_10153587844102231,"Ok, looked again. You're talking about whether the sleeves are inside out or not when rolled up? Wow. I don't have a dog in this fight.  Ok, both look fine.  I think it should be about utility, whichever makes it easier to deal.",0,10153587844102231_10153588652872231,9.28471e+14,2016-06-22T17:38:51+0000,101027597230
223700,223700,223746,101027597230_10153587844102231,Camo out,0,10153587844102231_10153588770372231,1.30213e+15,2016-06-22T17:38:51+0000,101027597230
223701,223701,223747,101027597230_10153587844102231,Out!!!!!,0,10153587844102231_10153589856987231,1.03502e+15,2016-06-22T17:38:51+0000,101027597230
223702,223702,223748,101027597230_10153587844102231,"I say, let it go both ways. Soldier's choice.",0,10153587844102231_10153590090537231,1.02065e+16,2016-06-22T17:38:51+0000,101027597230
223703,223703,223749,101027597230_10153587844102231,Out,0,10153587844102231_10153590440827231,1.02064e+16,2016-06-22T17:38:51+0000,101027597230
223704,223704,223750,101027597230_10153587844102231,Camo out...cleaner appearance. Army not Marines.....let's be unique!,0,10153587844102231_10153590596167231,1.02086e+16,2016-06-22T17:38:51+0000,101027597230
223705,223705,223751,101027597230_10153587844102231,Camo in.,0,10153587844102231_10153591595782231,1.01539e+16,2016-06-22T17:38:51+0000,101027597230
223706,223706,223752,101027597230_10153587844102231,"I am an instructor at Ft Knox and I am sure I will be the minority on this, but I believe neither should be allowed. I wore the BDUs and they were better suited for rolling, but even then Soldiers still were not consistent in its appearance, and it looked unprofessional. Just like the beret, it will  never look the same on everyone and therefore it should not be done.",0,10153587844102231_10153591753507231,1.02094e+16,2016-06-22T17:38:51+0000,101027597230
223707,223707,223753,101027597230_10153587844102231,Camo in. Easier to execute properly.,0,10153587844102231_10153592099607231,1.01038e+16,2016-06-22T17:38:51+0000,101027597230
223708,223708,223754,101027597230_10153587377477231,Thank you for sharing!,0,10153587377477231_10153587514012231,8.26492e+14,2016-06-22T13:50:35+0000,101027597230
223709,223709,223755,101027597230_10153587377477231,What about the cyclist that smokes while operating vehicle;,0,10153587377477231_10153589450702231,1.10136e+15,2016-06-22T13:50:35+0000,101027597230
223710,223710,223756,101027597230_10153585628732231,Working...,0,10153585628732231_10153586095277231,1.021e+16,2016-06-21T18:28:09+0000,101027597230
223711,223711,223757,101027597230_10153585051922231,Cassie Ruttledge,0,10153585051922231_10153585059087231,8.15856e+14,2016-06-21T12:39:50+0000,101027597230
223712,223712,223758,101027597230_10153585051922231,Tatjana,0,10153585051922231_10153585067287231,1.75898e+15,2016-06-21T12:39:50+0000,101027597230
223713,223713,223759,101027597230_10153585051922231,"We like to do a concert on Fort Knox for the Troops, who can make this happen?",0,10153585051922231_10153585074242231,1.44203e+15,2016-06-21T12:39:50+0000,101027597230
223714,223714,223760,101027597230_10153585051922231,Bryant Carruth,0,10153585051922231_10153585082352231,1.01538e+16,2016-06-21T12:39:50+0000,101027597230
223715,223715,223761,101027597230_10153585051922231,Yanny Luna,1,10153585051922231_10153585084822231,1.01543e+16,2016-06-21T12:39:50+0000,101027597230
